city_id,city_name,state_id,latitude,longitude
1,San Jose,1,37.3382,-121.8863
2,San Francisco,1,37.7749,-122.4194
3,Los Angeles,1,34.0522,-118.2437
4,Sacramento,1,38.5816,-121.4944
5,Austin,2,30.2672,-97.7431
6,Houston,2,29.7604,-95.3698
7,Dallas,2,32.7767,-96.797
8,Phoenix,3,33.4484,-112.074
9,Tempe,3,33.4255,-111.94
10,Tucson,3,32.2226,-110.9747
11,New York City,4,40.7128,-74.006
12,Buffalo,4,42.8864,-78.8784
13,Albany,4,42.6526,-73.7562
14,Miami,5,25.7617,-80.1918
15,Orlando,5,28.5383,-81.3792
16,Tampa,5,27.9506,-82.4572
17,Seattle,6,47.6062,-122.3321
18,Spokane,6,47.6588,-117.426
19,Chicago,7,41.8781,-87.6298
20,Springfield,7,39.7817,-89.6501
21,Atlanta,8,33.749,-84.388
22,Savannah,8,32.0809,-81.0912
23,Denver,9,39.7392,-104.9903
24,Boulder,9,40.015,-105.2705
25,Boston,10,42.3601,-71.0589
26,Cambridge,10,42.3736,-71.1097
27,Toronto,11,43.6532,-79.3832
28,Ottawa,11,45.4215,-75.6972
29,Vancouver,12,49.2827,-123.1207
30,Victoria,12,48.4284,-123.3656
31,Montreal,13,45.5019,-73.5674
32,Quebec City,13,46.8139,-71.208
33,Mumbai,14,19.076,72.8777
34,Pune,14,18.5204,73.8567
35,Bengaluru,15,12.9716,77.5946
36,Mysuru,15,12.2958,76.6394
37,Hyderabad,16,17.385,78.4867
38,Warangal,16,17.9689,79.5941
