cat_id,cat_name,description
1,Education & Tutoring,Assistance and resources related to education & tutoring.
2,Food & Groceries,Assistance and resources related to food & groceries.
3,Housing & Shelter,Assistance and resources related to housing & shelter.
4,Healthcare Access,Assistance and resources related to healthcare access.
5,Legal Assistance,Assistance and resources related to legal assistance.
6,Employment & Job Search,Assistance and resources related to employment & job search.
7,Financial Assistance,Assistance and resources related to financial assistance.
8,Mental Health Support,Assistance and resources related to mental health support.
9,Transportation,Assistance and resources related to transportation.
10,Elder Care,Assistance and resources related to elder care.
11,Childcare Support,Assistance and resources related to childcare support.
12,Technology Help,Assistance and resources related to technology help.
13,Immigration Support,Assistance and resources related to immigration support.
14,Disaster Relief,Assistance and resources related to disaster relief.
15,Community Outreach,Assistance and resources related to community outreach.
