user_id,prev_loc,curr_loc,last_updated_at
SID-00-000-001-007,SRID=4326;POINT(-81.161371 32.205685),SRID=4326;POINT(-81.124212 32.146799),2026-08-11 19:18:50
SID-00-000-002-014,SRID=4326;POINT(-76.505155 39.031041),SRID=4326;POINT(-76.495137 39.085107),2026-08-05 08:55:22
SID-00-000-003-021,,SRID=4326;POINT(-77.330587 37.685363),2026-08-29 12:42:53
SID-00-000-004-028,SRID=4326;POINT(-76.573092 39.150845),SRID=4326;POINT(-76.600751 39.165986),2026-04-30 07:51:23
SID-00-000-005-035,,SRID=4326;POINT(-121.447615 38.561129),2026-03-30 19:17:38
SID-00-000-006-042,SRID=4326;POINT(-76.402058 36.88242),SRID=4326;POINT(-76.442991 36.866158),2026-04-17 00:51:17
SID-00-000-007-049,,SRID=4326;POINT(-96.898255 32.68024),2026-06-12 10:19:30
SID-00-000-008-056,,SRID=4326;POINT(-81.716892 41.463635),2026-07-21 11:48:02
SID-00-000-009-063,SRID=4326;POINT(-76.62311 39.165918),SRID=4326;POINT(-76.585904 39.190283),2026-05-15 14:03:16
SID-00-000-010-070,,SRID=4326;POINT(-77.309889 37.678455),2026-03-09 03:34:45
SID-00-000-011-077,SRID=4326;POINT(-79.82538 37.223237),SRID=4326;POINT(-79.861064 37.204693),2026-09-06 17:55:50
SID-00-000-012-084,SRID=4326;POINT(-121.919267 37.376402),SRID=4326;POINT(-121.890297 37.351888),2026-07-31 12:46:00
SID-00-000-013-091,SRID=4326;POINT(-80.76137 35.206551),SRID=4326;POINT(-80.777806 35.257306),2026-07-31 12:17:26
SID-00-000-014-098,SRID=4326;POINT(-82.514376 28.120251),SRID=4326;POINT(-82.546766 28.073307),2026-07-03 13:57:31
SID-00-000-015-105,,SRID=4326;POINT(-79.941654 37.309093),2026-08-23 02:40:04
SID-00-000-016-112,,SRID=4326;POINT(-78.781666 42.799182),2026-08-17 05:05:29
SID-00-000-017-119,SRID=4326;POINT(-97.654839 30.348852),SRID=4326;POINT(-97.655215 30.373149),2026-05-25 23:01:01
SID-00-000-018-126,SRID=4326;POINT(-96.628905 32.674488),SRID=4326;POINT(-96.6915 32.693309),2026-06-03 20:14:00
SID-00-000-019-133,SRID=4326;POINT(-97.759789 30.35002),SRID=4326;POINT(-97.723612 30.340788),2026-05-29 16:23:37
SID-00-000-020-140,SRID=4326;POINT(-81.53795 28.529712),SRID=4326;POINT(-81.525807 28.532252),2026-05-11 11:21:48
SID-00-000-021-147,SRID=4326;POINT(-81.05872 32.244182),SRID=4326;POINT(-80.999033 32.203138),2026-07-14 23:48:12
SID-00-000-022-154,,SRID=4326;POINT(-82.900714 39.88911),2026-04-20 10:22:30
SID-00-000-023-161,SRID=4326;POINT(-97.730623 30.206748),SRID=4326;POINT(-97.709989 30.176999),2026-05-21 17:45:45
SID-00-000-024-168,SRID=4326;POINT(-81.215203 32.232013),SRID=4326;POINT(-81.213258 32.224411),2026-03-15 11:52:39
SID-00-000-025-175,SRID=4326;POINT(-82.976564 39.930634),SRID=4326;POINT(-82.986619 39.928208),2026-08-19 00:04:36
SID-00-000-026-182,SRID=4326;POINT(-78.959883 42.963075),SRID=4326;POINT(-79.007522 42.924189),2026-05-22 14:01:43
SID-00-000-027-189,SRID=4326;POINT(-81.610199 41.549888),SRID=4326;POINT(-81.557104 41.536901),2026-05-26 08:59:52
SID-00-000-028-196,,SRID=4326;POINT(-82.455679 27.954228),2026-05-08 05:45:12
SID-00-000-029-203,,SRID=4326;POINT(-82.303118 27.814128),2026-08-04 03:40:02
SID-00-000-030-210,SRID=4326;POINT(-75.093951 39.931696),SRID=4326;POINT(-75.046095 39.923465),2026-05-14 16:32:55
SID-00-000-031-217,,SRID=4326;POINT(-77.537188 37.618836),2026-08-16 03:22:43
SID-00-000-032-224,,SRID=4326;POINT(-80.96403 32.203209),2026-04-19 13:49:45
SID-00-000-033-231,SRID=4326;POINT(-79.879456 40.51053),SRID=4326;POINT(-79.90949 40.496661),2026-08-04 08:18:55
SID-00-000-034-238,SRID=4326;POINT(-121.425405 38.532684),SRID=4326;POINT(-121.369296 38.545661),2026-05-15 18:06:02
SID-00-000-035-245,SRID=4326;POINT(-81.683688 41.448751),SRID=4326;POINT(-81.718351 41.445511),2026-08-06 12:54:42
SID-00-000-036-252,SRID=4326;POINT(-77.168404 38.811224),SRID=4326;POINT(-77.111104 38.816876),2026-04-22 13:57:17
SID-00-000-037-259,SRID=4326;POINT(-81.762242 41.354851),SRID=4326;POINT(-81.730471 41.363683),2026-07-31 02:54:53
SID-00-000-038-266,SRID=4326;POINT(-83.059376 39.805857),SRID=4326;POINT(-83.016088 39.819496),2026-05-30 23:56:44
SID-00-000-039-273,,SRID=4326;POINT(-81.606347 41.559162),2026-08-21 18:10:44
SID-00-000-040-280,,SRID=4326;POINT(-76.487703 39.383838),2026-08-14 11:40:55
SID-00-000-041-287,SRID=4326;POINT(-121.459763 38.670462),SRID=4326;POINT(-121.396591 38.634022),2026-09-08 11:54:34
SID-00-000-042-294,SRID=4326;POINT(-96.751049 32.745718),SRID=4326;POINT(-96.738263 32.741322),2026-07-25 06:28:11
SID-00-000-043-301,SRID=4326;POINT(-81.400469 28.492819),SRID=4326;POINT(-81.41974 28.503463),2026-05-30 08:17:23
SID-00-000-044-308,,SRID=4326;POINT(-78.89923 42.934655),2026-04-01 00:19:15
SID-00-000-045-315,SRID=4326;POINT(-82.518129 27.928039),SRID=4326;POINT(-82.547109 27.908044),2026-05-05 03:43:20
SID-00-000-046-322,SRID=4326;POINT(-73.815611 42.691888),SRID=4326;POINT(-73.806192 42.660279),2026-06-14 01:37:27
SID-00-000-047-329,,SRID=4326;POINT(-121.409636 38.586683),2026-07-06 16:31:38
SID-00-000-048-336,,SRID=4326;POINT(-121.528582 38.616884),2026-05-06 17:28:15
SID-00-000-049-343,,SRID=4326;POINT(-96.908918 32.716939),2026-07-29 22:05:21
SID-00-000-050-350,SRID=4326;POINT(-79.886771 40.551382),SRID=4326;POINT(-79.858385 40.499181),2026-07-31 14:30:51
SID-00-000-051-357,SRID=4326;POINT(-97.857799 30.3054),SRID=4326;POINT(-97.840059 30.319847),2026-03-07 13:02:16
SID-00-000-052-364,SRID=4326;POINT(-96.866125 32.756661),SRID=4326;POINT(-96.840001 32.766675),2026-07-26 21:58:28
SID-00-000-053-371,SRID=4326;POINT(-76.27968 36.790763),SRID=4326;POINT(-76.26681 36.752847),2026-06-30 11:28:41
SID-00-000-054-378,,SRID=4326;POINT(-79.840901 40.560274),2026-03-30 17:12:49
SID-00-000-055-385,,SRID=4326;POINT(-97.844985 30.150645),2026-08-11 12:02:43
SID-00-000-056-392,SRID=4326;POINT(-96.813942 32.82249),SRID=4326;POINT(-96.798059 32.839001),2026-07-26 16:02:56
SID-00-000-057-399,,SRID=4326;POINT(-121.792433 37.479105),2026-05-11 07:11:13
SID-00-000-058-406,,SRID=4326;POINT(-96.792683 32.9032),2026-06-27 15:15:47
SID-00-000-059-413,SRID=4326;POINT(-76.466559 39.433481),SRID=4326;POINT(-76.522873 39.414794),2026-04-13 03:03:53
SID-00-000-060-420,,SRID=4326;POINT(-79.958719 40.357388),2026-04-19 03:41:41
