location_id,user_id,curr_lat,curr_lng,prev_lat,prev_lng,updated_at
1,2,42.342897,-71.047593,42.3061,-70.980401,2026-08-12 18:32:41
2,4,33.434872,-111.939269,33.427054,-111.941625,2026-05-11 10:47:38
3,5,39.779189,-89.698436,39.754698,-89.712563,2026-07-05 05:22:17
4,6,33.729768,-84.348123,33.808536,-84.367318,2026-07-10 18:57:08
5,8,12.948153,77.610159,13.047129,77.607156,2025-08-05 15:02:33
6,9,42.894752,-78.911349,42.907044,-78.859242,2025-12-19 16:37:50
7,10,45.453666,-75.72298,45.433111,-75.665117,2025-06-12 21:29:44
8,11,18.514504,73.848578,18.506474,73.809323,2026-07-27 22:16:29
9,12,12.333082,76.662984,12.225765,76.581493,2026-08-20 16:49:00
10,14,39.997505,-105.254277,40.019076,-105.3003,2026-05-07 13:06:12
11,15,32.122112,-81.106967,32.057586,-81.047682,2026-08-17 00:08:03
12,17,45.516231,-73.548069,45.519512,-73.616638,2026-02-13 04:30:21
13,18,33.431309,-111.967513,33.501166,-111.972382,2026-05-14 05:34:49
14,19,12.266528,76.659899,12.266527,76.615209,2026-07-28 19:24:00
15,20,18.499179,73.864048,18.527311,73.920022,2026-03-17 11:30:21
16,21,38.627061,-121.463938,38.548072,-121.528379,2026-07-17 08:42:36
17,24,39.999636,-105.276262,39.976031,-105.273847,2026-07-30 06:38:26
18,25,46.791013,-71.201798,46.777359,-71.270524,2026-08-27 22:54:56
19,27,38.555528,-121.539323,38.646429,-121.538293,2025-08-10 14:53:35
20,29,28.49832,-81.396171,28.533885,-81.350209,2025-04-21 19:09:36
21,30,40.061452,-105.222709,39.960271,-105.246037,2026-07-09 21:49:35
22,32,46.828954,-71.182409,46.779859,-71.242334,2025-04-26 10:32:20
23,33,18.53563,73.829922,18.55859,73.912753,2025-06-14 22:44:00
24,37,25.753488,-80.15804,25.831128,-80.265986,2026-05-16 17:49:39
25,39,39.983631,-105.2456,40.074567,-105.304185,2025-02-06 07:10:21
26,43,32.202439,-110.964422,32.291153,-111.001093,2026-08-25 23:08:43
27,45,42.65693,-73.756809,42.72277,-73.70003,2026-04-15 11:33:55
28,47,43.622481,-79.421935,43.599199,-79.389774,2025-12-11 10:46:01
29,49,12.923008,77.578311,12.938804,77.622504,2025-10-14 08:14:58
30,51,40.026095,-105.256627,39.999878,-105.282067,2025-10-16 09:27:01
31,52,40.005083,-105.310961,40.09207,-105.274107,2025-07-17 23:15:19
32,53,46.789979,-71.234448,46.854501,-71.135354,2026-04-06 17:36:21
33,55,48.450688,-123.414456,48.452989,-123.334757,2026-07-21 22:31:00
34,57,33.410222,-112.093319,33.433267,-112.073597,2026-07-31 15:53:05
35,59,17.987929,79.607971,18.039402,79.572907,2025-12-08 17:46:52
36,61,32.126636,-81.093382,32.073697,-81.012986,2026-03-28 16:50:01
37,62,48.448594,-123.32432,48.469576,-123.317281,2025-12-28 20:34:38
38,63,48.446434,-123.356019,48.474379,-123.361519,2026-07-05 17:56:23
39,64,45.37931,-75.690783,45.351381,-75.689576,2026-04-17 03:11:57
40,66,42.65987,-73.791215,42.625099,-73.752945,2025-09-07 19:49:55
41,71,42.381792,-71.060017,42.423922,-71.067623,2026-01-31 09:43:01
42,72,28.501494,-81.387658,28.548526,-81.369792,2026-08-24 21:32:52
43,73,42.340917,-71.106723,42.320813,-71.138418,2025-08-14 23:20:37
44,75,17.923429,79.578553,17.899102,79.67316,2026-02-25 06:39:18
45,76,47.559373,-122.341213,47.649236,-122.289568,2026-08-21 19:26:49
46,81,19.122378,72.865146,19.138613,72.869466,2026-03-16 02:18:43
47,82,46.771925,-71.161586,46.873829,-71.266722,2025-11-13 04:38:30
48,83,18.488247,73.860426,18.525015,73.893157,2025-06-25 15:59:35
49,84,32.802318,-96.749151,32.770781,-96.761945,2026-06-21 00:18:00
50,85,41.866028,-87.656834,41.8718,-87.684981,2025-08-23 01:06:23
51,86,47.559422,-122.31608,47.624588,-122.262302,2025-07-19 02:00:12
52,87,33.419008,-112.11391,33.373772,-112.058354,2026-07-05 23:37:48
53,90,12.946073,77.549024,12.961834,77.600962,2026-08-30 21:55:40
54,91,39.766806,-105.026286,39.818157,-105.032834,2026-08-20 03:41:28
55,92,33.73089,-84.378208,33.776605,-84.416694,2026-07-29 16:36:58
56,94,42.337926,-71.093679,42.328967,-71.14162,2026-04-25 18:18:37
57,95,42.418452,-71.071729,42.439452,-71.089541,2026-07-02 16:29:58
58,96,17.968462,79.641329,18.039554,79.621515,2026-06-16 03:31:13
59,100,47.678431,-117.435174,47.626782,-117.476579,2026-05-25 18:28:01
