"country_id","country_name","phone_code","country_code","last_update_date"
1,"AFGHANISTAN","93","AFG",NULL
2,"ALAND_ISLANDS","358","ALA",NULL
3,"ALBANIA","355","ALB",NULL
4,"ALGERIA","213","DZA",NULL
5,"AMERICAN_SAMOA","1-684","ASM",NULL
6,"ANDORRA","376","AND",NULL
7,"ANGOLA","244","AGO",NULL
8,"ANGUILLA","1-264","AIA",NULL
9,"ANTARCTICA","672","ATA",NULL
10,"ANTIGUA_AND_BARBUDA","1-268","ATG",NULL
11,"ARGENTINA","54","ARG",NULL
12,"ARMENIA","374","ARM",NULL
13,"ARUBA","297","ABW",NULL
14,"AUSTRALIA","61","AUS",NULL
15,"AUSTRIA","43","AUT",NULL
16,"AZERBAIJAN","994","AZE",NULL
17,"BAHAMAS","1-242","BHS",NULL
18,"BAHRAIN","973","BHR",NULL
19,"BANGLADESH","880","BGD",NULL
20,"BARBADOS","1-246","BRB",NULL
21,"BELARUS","375","BLR",NULL
22,"BELGIUM","32","BEL",NULL
23,"BELIZE","501","BLZ",NULL
24,"BENIN","229","BEN",NULL
25,"BERMUDA","1-441","BMU",NULL
26,"BHUTAN","975","BTN",NULL
27,"BOLIVIA","591","BOL",NULL
28,"BOSNIA_AND_HERZEGOVINA","387","BIH",NULL
29,"BOTSWANA","267","BWA",NULL
30,"BOUVET_ISLAND","47","BVT",NULL
31,"BRAZIL","55","BRA",NULL
32,"BRITISH_VIRGIN_ISLANDS","1-284","VGB",NULL
33,"BRITISH_INDIAN_OCEAN_TERRITORY","246","IOT",NULL
34,"BRUNEI_DARUSSALAM","673","BRN",NULL
35,"BULGARIA","359","BGR",NULL
36,"BURKINA_FASO","226","BFA",NULL
37,"BURUNDI","257","BDI",NULL
38,"CAMBODIA","855","KHM",NULL
39,"CAMEROON","237","CMR",NULL
40,"CANADA","1","CAN",NULL
41,"CAPE_VERDE","238","CV",NULL
42,"CAYMAN_ISLANDS","1-345","CYM",NULL
43,"CENTRAL_AFRICAN_REPUBLIC","236","CAF",NULL
44,"CHAD","235","TCD",NULL
45,"CHILE","56","CHL",NULL
46,"CHINA","86","CHN",NULL
47,"HONG_KONG_SAR_CHINA","852","HK",NULL
48,"MACAO_SAR_CHINA","853","MO",NULL
49,"CHRISTMAS_ISLAND","61","CXR",NULL
50,"COCOS_(KEELING)_ISLANDS","61","CCK",NULL
51,"COLOMBIA","57","COL",NULL
52,"COMOROS","269","COM",NULL
53,"CONGO_(BRAZZAVILLE)","242","CG",NULL
54,"CONGO_(KINSHASA)","243","CD",NULL
55,"COOK_ISLANDS","682","COK",NULL
56,"COSTA_RICA","506","CRI",NULL
57,"CÃ¯TE_D'IVOIRE","225","CIV",NULL
58,"CROATIA","385","HRV",NULL
59,"CUBA","53","CUB",NULL
60,"CYPRUS","357","CYP",NULL
61,"CZECH_REPUBLIC","420","CZE",NULL
62,"DENMARK","45","DNK",NULL
63,"DJIBOUTI","253","DJI",NULL
64,"DOMINICA","1-767","DMA",NULL
65,"DOMINICAN_REPUBLIC","1-829","DOM",NULL
66,"ECUADOR","593","ECU",NULL
67,"EGYPT","20","EGY",NULL
68,"EL_SALVADOR","503","SLV",NULL
69,"EQUATORIAL_GUINEA","240","GNQ",NULL
70,"ERITREA","291","ERI",NULL
71,"ESTONIA","372","EST",NULL
72,"ETHIOPIA","251","ETH",NULL
73,"FALKLAND_ISLANDS_(MALVINAS)","500","FLK",NULL
74,"FAROE_ISLANDS","298","FRO",NULL
75,"FIJI","679","FJI",NULL
76,"FINLAND","358","FIN",NULL
77,"FRANCE","33","FRA",NULL
78,"FRENCH_GUIANA","594","GUF",NULL
79,"FRENCH_POLYNESIA","689","PYF",NULL
80,"FRENCH_SOUTHERN_TERRITORIES","262","ATF",NULL
81,"GABON","241","GAB",NULL
82,"GAMBIA","220","GMB",NULL
83,"GEORGIA","995","GEO",NULL
84,"GERMANY","49","DEU",NULL
85,"GHANA","233","GHA",NULL
86,"GIBRALTAR","350","GIB",NULL
87,"GREECE","30","GRC",NULL
88,"GREENLAND","299","GRL",NULL
89,"GRENADA","1-473","GRD",NULL
90,"GUADELOUPE","590","GLP",NULL
91,"GUAM","1-671","GUM",NULL
92,"GUATEMALA","502","GTM",NULL
93,"GUERNSEY","44","GGY",NULL
94,"GUINEA","224","GIN",NULL
95,"GUINEA-BISSAU","245","GNB",NULL
96,"GUYANA","592","GUY",NULL
97,"HAITI","509","HTI",NULL
98,"HEARD_AND_MCDONALD_ISLANDS","672","HM",NULL
99,"HOLY_SEE_(VATICAN_CITY_STATE)","379","VAT",NULL
100,"HONDURAS","504","HND",NULL
101,"HUNGARY","36","HUN",NULL
102,"ICELAND","354","ISL",NULL
103,"INDIA","91","IND",NULL
104,"INDONESIA","62","IDN",NULL
105,"IRAN","98","IRN",NULL
106,"IRAQ","964","IRQ",NULL
107,"IRELAND","353","IRL",NULL
108,"ISLE_OF_MAN","44","IMN",NULL
109,"ISRAEL","972","ISR",NULL
110,"ITALY","39","ITA",NULL
111,"JAMAICA","1-876","JAM",NULL
112,"JAPAN","81","JPN",NULL
113,"JERSEY","44","JEY",NULL
114,"JORDAN","962","JOR",NULL
115,"KAZAKHSTAN","7","KAZ",NULL
116,"KENYA","254","KEN",NULL
117,"KIRIBATI","686","KIR",NULL
118,"KOREA_(NORTH)","850","KP",NULL
119,"KOREA_(SOUTH)","82","KR",NULL
120,"KUWAIT","965","KWT",NULL
121,"KYRGYZSTAN","996","KGZ",NULL
122,"LAO_PDR","856","LA",NULL
123,"LATVIA","371","LVA",NULL
124,"LEBANON","961","LBN",NULL
125,"LESOTHO","266","LSO",NULL
126,"LIBERIA","231","LBR",NULL
127,"LIBYA","218","LBY",NULL
128,"LIECHTENSTEIN","423","LIE",NULL
129,"LITHUANIA","370","LTU",NULL
130,"LUXEMBOURG","352","LUX",NULL
131,"MACEDONIA_REPUBLIC_OF","389","MK",NULL
132,"MADAGASCAR","261","MDG",NULL
133,"MALAWI","265","MWI",NULL
134,"MALAYSIA","60","MYS",NULL
135,"MALDIVES","960","MDV",NULL
136,"MALI","223","MLI",NULL
137,"MALTA","356","MLT",NULL
138,"MARSHALL_ISLANDS","692","MHL",NULL
139,"MARTINIQUE","596","MTQ",NULL
140,"MAURITANIA","222","MRT",NULL
141,"MAURITIUS","230","MUS",NULL
142,"MAYOTTE","262","MYT",NULL
143,"MEXICO","52","MEX",NULL
144,"MICRONESIA","691","FSM",NULL
145,"MOLDOVA","373","MDA",NULL
146,"MONACO","377","MCO",NULL
147,"MONGOLIA","976","MNG",NULL
148,"MONTENEGRO","382","MNE",NULL
149,"MONTSERRAT","1-664","MSR",NULL
150,"MOROCCO","212","MAR",NULL
151,"MOZAMBIQUE","258","MOZ",NULL
152,"MYANMAR","95","MMR",NULL
153,"NAMIBIA","264","NAM",NULL
154,"NAURU","674","NRU",NULL
155,"NEPAL","977","NPL",NULL
156,"NETHERLANDS","31","NLD",NULL
157,"NETHERLANDS_ANTILLES","599","AN",NULL
158,"NEW_CALEDONIA","687","NCL",NULL
159,"NEW_ZEALAND","64","NZL",NULL
160,"NICARAGUA","505","NIC",NULL
161,"NIGER","227","NER",NULL
162,"NIGERIA","234","NGA",NULL
163,"NIUE","683","NIU",NULL
164,"NORFOLK_ISLAND","672","NFK",NULL
165,"NORTHERN_MARIANA_ISLANDS","1-670","MNP",NULL
166,"NORWAY","47","NOR",NULL
167,"OMAN","968","OMN",NULL
168,"PAKISTAN","92","PAK",NULL
169,"PALAU","680","PLW",NULL
170,"PALESTINIAN_TERRITORY","970","PS",NULL
171,"PANAMA","507","PAN",NULL
172,"PAPUA_NEW_GUINEA","675","PNG",NULL
173,"PARAGUAY","595","PRY",NULL
174,"PERU","51","PER",NULL
175,"PHILIPPINES","63","PHL",NULL
176,"PITCAIRN","870","PCN",NULL
177,"POLAND","48","POL",NULL
178,"PORTUGAL","351","PRT",NULL
179,"PUERTO_RICO","1","PRI",NULL
180,"QATAR","974","QAT",NULL
181,"RÃƒâ€°UNION","262","REU",NULL
182,"ROMANIA","40","ROU",NULL
183,"RUSSIAN_FEDERATION","7","RUS",NULL
184,"RWANDA","250","RWA",NULL
185,"SAINT_BARTHELEMY","590","BL",NULL
186,"SAINT_HELENA","290","SH-HL",NULL
187,"SAINT_KITTS_AND_NEVIS","1-869","KNA",NULL
188,"SAINT_LUCIA","1-758","LCA",NULL
189,"SAINT_MARTIN","590","MF",NULL
190,"SAINT_PIERRE_AND_MIQUELON","508","SPM",NULL
191,"SAINT_VINCENT_AND_GRENADINES","1-784","VC",NULL
192,"SAMOA","685","WSM",NULL
193,"SAN_MARINO","378","SMR",NULL
194,"SAO_TOME_AND_PRINCIPE","239","STP",NULL
195,"SAUDI_ARABIA","966","SAU",NULL
196,"SENEGAL","221","SEN",NULL
197,"SERBIA","381","SRB",NULL
198,"SEYCHELLES","248","SYC",NULL
199,"SIERRA_LEONE","232","SLE",NULL
200,"SINGAPORE","65","SGP",NULL
201,"SLOVAKIA","421","SVK",NULL
202,"SLOVENIA","386","SVN",NULL
203,"SOLOMON_ISLANDS","677","SLB",NULL
204,"SOMALIA","252","SOM",NULL
205,"SOUTH_AFRICA","27","ZAF",NULL
206,"SOUTH_GEORGIA_AND_SOUTH_SANDWICH_ISLANDS","500","GS",NULL
207,"SOUTH_SUDAN","211","SSD",NULL
208,"SPAIN","34","ESP",NULL
209,"SRI_LANKA","94","LKA",NULL
210,"SUDAN","249","SDN",NULL
211,"SURINAME","597","SUR",NULL
212,"SVALBARD_AND_JAN_MAYEN_ISLANDS","47","SJ",NULL
213,"SWAZILAND","268","SZ",NULL
214,"SWEDEN","46","SWE",NULL
215,"SWITZERLAND","41","CHE",NULL
216,"SYRIA","963","SY",NULL
217,"TAIWAN","886","TW",NULL
218,"TAJIKISTAN","992","TJK",NULL
219,"TANZANIA","255","TZA",NULL
220,"THAILAND","66","THA",NULL
221,"TIMOR-LESTE","670","TLS",NULL
222,"TOGO","228","TGO",NULL
223,"TOKELAU","690","TKL",NULL
224,"TONGA","676","TON",NULL
225,"TRINIDAD_AND_TOBAGO","1-868","TTO",NULL
226,"TUNISIA","216","TUN",NULL
227,"TURKEY","90","TR",NULL
228,"TURKMENISTAN","993","TKM",NULL
229,"TURKS_AND_CAICOS_ISLANDS","1-649","TCA",NULL
230,"TUVALU","688","TUV",NULL
231,"UGANDA","256","UGA",NULL
232,"UKRAINE","380","UKR",NULL
233,"UNITED_ARAB_EMIRATES","971","ARE",NULL
234,"UNITED_KINGDOM","44","GBR",NULL
235,"UNITED_STATES_OF_AMERICA","1","USA",NULL
236,"US_MINOR_OUTLYING_ISLANDS","1","UM",NULL
237,"URUGUAY","598","URY",NULL
238,"UZBEKISTAN","998","UZB",NULL
239,"VANUATU","678","VUT",NULL
240,"VENEZUELA","58","VE",NULL
241,"VIET_NAM","84","VNM",NULL
242,"UNITED_STATES_VIRGIN_ISLANDS","1-340","US_VI",NULL
243,"WALLIS_AND_FUTUNA","681","WF",NULL
244,"WESTERN_SAHARA","212","ESH",NULL
245,"YEMEN","967","YEM",NULL
246,"ZAMBIA","260","ZMB",NULL
247,"ZIMBABWE","263","ZWE",NULL
