org_id,org_name,street,city_name,state_id,zip_code,mission,web_url,phone,email,org_type,org_size,org_rating,is_collaborator,is_contributor,created_at,last_updated_at
ORG-00-000-001-658,Youth Empowerment League TX,9774 Park St,Houston,ST-002,14165,Dedicated to improving lives through community-driven programs.,https://www.org1.example.org,(295) 423-4811,contact@org1.example.org,non_profit,small,5,TRUE,FALSE,2026-06-15 08:15:00,2026-06-22 10:15:00
ORG-00-000-002-263,Family Services Network VA,7024 Elm St,Charlottesville,ST-009,46421,Providing essential services to those in need across the nation.,https://www.org2.example.org,(420) 981-6514,contact@org2.example.org,non_profit,medium,5,FALSE,TRUE,2025-09-21 14:37:00,2025-09-30 02:37:00
ORG-00-000-003-400,Community Garden Project IL,6025 Cedar St,Chicago,ST-005,35203,Empowering underserved communities with education and resources.,https://www.org3.example.org,(246) 877-4733,contact@org3.example.org,for_profit,large,,FALSE,FALSE,2026-06-09 14:34:00,2026-06-12 20:34:00
ORG-00-000-004-373,Family Services Network OH,1269 Cedar St,Cincinnati,ST-007,93227,Providing essential services to those in need across the nation.,https://www.org4.example.org,(746) 946-5010,contact@org4.example.org,non_profit,medium,3,FALSE,FALSE,2026-01-19 20:53:00,2026-01-30 22:53:00
ORG-00-000-005-941,Community Care Network VA,5268 Park St,Virginia Beach,ST-009,45093,Empowering underserved communities with education and resources.,https://www.org5.example.org,(416) 780-6155,contact@org5.example.org,non_profit,medium,,FALSE,FALSE,2026-05-17 10:53:00,2026-06-10 22:53:00
ORG-00-000-006-697,Refugee Support Alliance NY,6030 Oak St,Rochester,ST-003,28131,Fostering innovation in social services delivery.,https://www.org6.example.org,(705) 293-1771,contact@org6.example.org,for_profit,small,4,TRUE,FALSE,2025-08-11 07:47:00,2025-08-28 15:47:00
ORG-00-000-007-111,Substance Recovery Center WA,1976 Maple St,Seattle,ST-010,80381,Creating pathways to self-sufficiency for vulnerable populations.,https://www.org7.example.org,(987) 856-6573,contact@org7.example.org,non_profit,medium,4,FALSE,FALSE,2025-12-15 12:38:00,2025-12-29 20:38:00
ORG-00-000-008-303,Medical Aid Society IL,6226 Pine St,Springfield,ST-005,31174,Fostering innovation in social services delivery.,https://www.org8.example.org,(997) 743-1009,contact@org8.example.org,non_profit,medium,4,TRUE,TRUE,2026-02-15 03:55:00,2026-03-07 07:55:00
ORG-00-000-009-597,Green Earth Initiative IL,8827 Pine St,Springfield,ST-005,26483,Providing essential services to those in need across the nation.,https://www.org9.example.org,(875) 686-3705,contact@org9.example.org,non_profit,large,,FALSE,TRUE,2025-06-30 07:56:00,2025-07-18 08:56:00
ORG-00-000-010-562,Food Bank United VA,4161 Oak St,Virginia Beach,ST-009,18392,Advancing equity and justice through advocacy and direct services.,https://www.org10.example.org,(221) 802-4770,contact@org10.example.org,non_profit,small,5,FALSE,TRUE,2026-06-01 09:25:00,2026-06-22 19:25:00
ORG-00-000-011-235,Transportation Access Fund TX,9455 Cedar St,Houston,ST-002,71953,Building sustainable solutions for social challenges.,https://www.org11.example.org,(684) 616-4119,contact@org11.example.org,non_profit,medium,3,FALSE,TRUE,2025-11-17 02:32:00,2025-11-24 06:32:00
ORG-00-000-012-294,Nutrition Assistance Program CA,7450 Oak St,Los Angeles,ST-001,65296,Providing essential services to those in need across the nation.,https://www.org12.example.org,(485) 673-5092,contact@org12.example.org,for_profit,small,4,FALSE,FALSE,2025-07-02 12:46:00,2025-07-13 00:46:00
ORG-00-000-013-270,Environmental Defense Fund TX,8056 Park St,Houston,ST-002,38016,Connecting resources with communities to create lasting change.,https://www.org13.example.org,(260) 368-7209,contact@org13.example.org,non_profit,medium,5,FALSE,FALSE,2026-04-30 17:53:00,2026-04-30 18:53:00
ORG-00-000-014-403,Disaster Relief Corps IL,1058 Cedar St,Peoria,ST-005,81066,Dedicated to improving lives through community-driven programs.,https://www.org14.example.org,(965) 521-1936,contact@org14.example.org,non_profit,medium,3,FALSE,TRUE,2026-05-23 23:50:00,2026-06-10 09:50:00
ORG-00-000-015-683,Animal Rescue League CA,9585 Cedar St,Los Angeles,ST-001,15209,Strengthening communities through collaboration and partnership.,https://www.org15.example.org,(283) 629-9565,contact@org15.example.org,non_profit,small,4,FALSE,TRUE,2025-09-04 02:38:00,2025-09-06 12:38:00
ORG-00-000-016-174,Hope Foundation IL,7608 Cedar St,Peoria,ST-005,83792,Empowering underserved communities with education and resources.,https://www.org16.example.org,(275) 750-4492,contact@org16.example.org,non_profit,small,5,TRUE,TRUE,2025-08-07 21:41:00,2025-08-17 04:41:00
ORG-00-000-017-926,Digital Literacy Foundation FL,8766 Main St,Tampa,ST-004,97538,Fostering innovation in social services delivery.,https://www.org17.example.org,(506) 879-2697,contact@org17.example.org,for_profit,small,4,TRUE,TRUE,2025-10-24 05:28:00,2025-11-19 13:28:00
ORG-00-000-018-973,Housing Aid Foundation VA,8380 Park St,Virginia Beach,ST-009,42914,Dedicated to improving lives through community-driven programs.,https://www.org18.example.org,(294) 849-7939,contact@org18.example.org,for_profit,small,5,TRUE,TRUE,2025-10-18 09:38:00,2025-10-24 20:38:00
ORG-00-000-019-807,Medical Aid Society IL,9038 Main St,Springfield,ST-005,58393,Strengthening communities through collaboration and partnership.,https://www.org19.example.org,(765) 351-8041,contact@org19.example.org,non_profit,medium,3,FALSE,FALSE,2026-06-15 14:35:00,2026-07-07 20:35:00
ORG-00-000-020-995,Environmental Defense Fund CA,2632 Oak St,San Diego,ST-001,31299,Providing essential services to those in need across the nation.,https://www.org20.example.org,(622) 225-3938,contact@org20.example.org,for_profit,medium,4,FALSE,FALSE,2025-09-16 21:15:00,2025-10-07 22:15:00
ORG-00-000-021-936,Arts and Culture Foundation FL,5828 Elm St,Tampa,ST-004,39831,Building sustainable solutions for social challenges.,https://www.org21.example.org,(224) 875-4164,contact@org21.example.org,non_profit,small,3,TRUE,FALSE,2025-08-21 22:06:00,2025-09-02 22:06:00
ORG-00-000-022-367,Elder Care Alliance PA,9612 Elm St,Erie,ST-006,15014,Empowering underserved communities with education and resources.,https://www.org22.example.org,(810) 644-6663,contact@org22.example.org,for_profit,medium,,FALSE,TRUE,2026-05-14 17:21:00,2026-06-13 17:21:00
ORG-00-000-023-803,Transportation Access Fund OH,3328 Elm St,Cleveland,ST-007,66531,Empowering underserved communities with education and resources.,https://www.org23.example.org,(880) 538-6143,contact@org23.example.org,non_profit,small,5,FALSE,TRUE,2025-10-09 01:45:00,2025-10-22 01:45:00
ORG-00-000-024-780,Women Empowerment Network OH,2951 Cedar St,Cincinnati,ST-007,84593,Creating pathways to self-sufficiency for vulnerable populations.,https://www.org24.example.org,(615) 761-1006,contact@org24.example.org,non_profit,small,,FALSE,FALSE,2025-12-24 22:18:00,2026-01-11 00:18:00
ORG-00-000-025-915,Prison Reform Alliance PA,2880 Maple St,Erie,ST-006,21114,Creating pathways to self-sufficiency for vulnerable populations.,https://www.org25.example.org,(727) 879-6491,contact@org25.example.org,non_profit,large,5,TRUE,TRUE,2026-01-13 14:43:00,2026-01-19 22:43:00
ORG-00-000-026-524,Community Garden Project FL,9531 Oak St,Orlando,ST-004,60328,Supporting individuals and families on their journey to stability.,https://www.org26.example.org,(609) 449-3417,contact@org26.example.org,non_profit,small,2,FALSE,FALSE,2025-06-13 01:15:00,2025-06-28 10:15:00
ORG-00-000-027-355,Food Bank United TX,7578 Oak St,San Antonio,ST-002,70901,Fostering innovation in social services delivery.,https://www.org27.example.org,(772) 809-6198,contact@org27.example.org,for_profit,large,2,FALSE,FALSE,2025-09-21 05:51:00,2025-10-21 16:51:00
ORG-00-000-028-869,Animal Rescue League VA,4643 Pine St,Charlottesville,ST-009,78327,Supporting individuals and families on their journey to stability.,https://www.org28.example.org,(841) 444-5499,contact@org28.example.org,non_profit,medium,4,TRUE,TRUE,2026-03-08 14:57:00,2026-03-14 01:57:00
ORG-00-000-029-319,Green Earth Initiative VA,6897 Park St,Richmond,ST-009,53369,Fostering innovation in social services delivery.,https://www.org29.example.org,(677) 625-2020,contact@org29.example.org,non_profit,medium,,FALSE,FALSE,2025-08-10 04:14:00,2025-08-22 15:14:00
ORG-00-000-030-955,Environmental Defense Fund CA,8918 Maple St,Sacramento,ST-001,81582,Strengthening communities through collaboration and partnership.,https://www.org30.example.org,(425) 699-4595,contact@org30.example.org,non_profit,medium,5,FALSE,FALSE,2026-01-31 00:22:00,2026-02-09 12:22:00
ORG-00-000-031-778,Bright Future Alliance OH,1475 Maple St,Cleveland,ST-007,66179,Providing essential services to those in need across the nation.,https://www.org31.example.org,(672) 386-1823,contact@org31.example.org,non_profit,medium,4,FALSE,TRUE,2026-01-26 04:39:00,2026-02-12 04:39:00
ORG-00-000-032-153,Urban Renewal Initiative OH,3773 Maple St,Cincinnati,ST-007,18993,Dedicated to improving lives through community-driven programs.,https://www.org32.example.org,(972) 231-5051,contact@org32.example.org,non_profit,small,5,TRUE,TRUE,2026-06-21 13:16:00,2026-07-17 14:16:00
ORG-00-000-033-721,Prison Reform Alliance TX,1976 Pine St,Dallas,ST-002,31465,Creating pathways to self-sufficiency for vulnerable populations.,https://www.org33.example.org,(310) 792-1420,contact@org33.example.org,for_profit,medium,,FALSE,TRUE,2026-01-25 22:16:00,2026-02-19 03:16:00
ORG-00-000-034-891,Job Training Center FL,9937 Pine St,Miami,ST-004,25866,Strengthening communities through collaboration and partnership.,https://www.org34.example.org,(242) 555-9728,contact@org34.example.org,non_profit,medium,,FALSE,TRUE,2026-03-31 22:53:00,2026-04-21 01:53:00
ORG-00-000-035-851,Senior Living Foundation OH,4525 Cedar St,Toledo,ST-007,80539,Supporting individuals and families on their journey to stability.,https://www.org35.example.org,(676) 646-5397,contact@org35.example.org,non_profit,small,4,FALSE,TRUE,2025-07-25 13:23:00,2025-08-14 20:23:00
ORG-00-000-036-971,Cultural Bridge Foundation GA,3079 Park St,Savannah,ST-008,37802,Advancing equity and justice through advocacy and direct services.,https://www.org36.example.org,(464) 548-5581,contact@org36.example.org,for_profit,medium,1,TRUE,TRUE,2026-06-20 14:36:00,2026-07-10 00:36:00
ORG-00-000-037-761,Microfinance Partners FL,8141 Park St,Miami,ST-004,12260,Empowering underserved communities with education and resources.,https://www.org37.example.org,(501) 426-7625,contact@org37.example.org,non_profit,medium,5,FALSE,TRUE,2025-10-02 23:26:00,2025-10-18 07:26:00
