"info_id","req_id","field_id","item_id","field_value"
1,"REQ-00-000-000-0149","5.2.A","5.2.A.1",NULL
2,"REQ-00-000-000-0149","5.2.A","5.2.A.2",NULL
3,"REQ-00-000-000-0149","5.2.B",NULL,"CVS Pharmacy on Ashburn Village Blvd"
160,"REQ-00-000-000-0219","5.4.A","5.4.A.1",NULL
161,"REQ-00-000-000-0219","5.4.B",NULL,"03:31"
162,"REQ-00-000-000-0219","5.4.C","5.4.C.1",NULL
163,"REQ-00-000-000-0219","5.4.D","5.4.D.1",NULL
8,"REQ-00-000-000-0154","2.2.A",NULL,"shirt"
9,"REQ-00-000-000-0154","2.2.B","2.2.B.2",NULL
10,"REQ-00-000-000-0155","2.2.A",NULL,"shirt"
11,"REQ-00-000-000-0155","2.2.B","2.2.B.2",NULL
12,"REQ-00-000-000-0156","2.2.A",NULL,"shirt"
13,"REQ-00-000-000-0156","2.2.B","2.2.B.2",NULL
14,"REQ-00-000-000-0157","2.2.A",NULL,"shirt"
15,"REQ-00-000-000-0157","2.2.B","2.2.B.2",NULL
16,"REQ-00-000-000-0159","2.1.A",NULL,"shirt"
17,"REQ-00-000-000-0159","2.1.B","2.1.B.2",NULL
18,"REQ-00-000-000-0159","2.1.C","2.1.C.3",NULL
19,"REQ-00-000-000-0159","2.1.D","2.1.D.2",NULL
20,"REQ-00-000-000-0159","2.1.E",NULL,"1"
21,"REQ-00-000-000-0160","5.2.A","5.2.A.1",NULL
22,"REQ-00-000-000-0160","5.2.A","5.2.A.2",NULL
23,"REQ-00-000-000-0160","5.2.B",NULL,"CVS Pharmacy on Ashburn Village Blvd"
24,"REQ-00-000-000-0162","6.1.A",NULL,"nyc"
25,"REQ-00-000-000-0162","6.1.B","6.1.B.1","2026-03-24T15:37:00Z"
26,"REQ-00-000-000-0162","6.1.B","6.1.B.2","2026-03-31T16:37:00Z"
27,"REQ-00-000-000-0162","6.1.C","6.1.C.1",NULL
28,"REQ-00-000-000-0162","6.1.D","6.1.D.2",NULL
29,"REQ-00-000-000-0163","2.2.A",NULL,"shirt"
30,"REQ-00-000-000-0163","2.2.B","2.2.B.2",NULL
31,"REQ-00-000-000-0164","5.2.A","5.2.A.1",NULL
32,"REQ-00-000-000-0164","5.2.A","5.2.A.2",NULL
33,"REQ-00-000-000-0164","5.2.B",NULL,"CVS Pharmacy Ashburn"
34,"REQ-00-000-000-0165","6.1.A",NULL,"nyc"
35,"REQ-00-000-000-0165","6.1.B","6.1.B.1","2026-03-24T15:37:00Z"
36,"REQ-00-000-000-0165","6.1.B","6.1.B.2","2026-03-31T16:37:00Z"
37,"REQ-00-000-000-0165","6.1.C","6.1.C.1",NULL
38,"REQ-00-000-000-0165","6.1.D","6.1.D.2",NULL
164,"REQ-00-000-000-0219","5.4.E","5.4.E.1",NULL
46,"REQ-00-000-000-0179","2.2.A",NULL,"shirt"
47,"REQ-00-000-000-0179","2.2.B","2.2.B.2",NULL
48,"REQ-00-000-000-0180","5.2.A","5.2.A.1",NULL
49,"REQ-00-000-000-0180","5.2.A","5.2.A.2",NULL
50,"REQ-00-000-000-0180","5.2.B",NULL,"CVS Pharmacy Ashburn"
52,"REQ-00-000-000-0182","1.1.A",NULL,"1.1.A.1"
53,"REQ-00-000-000-0182","1.1.B","1.1.B.1",NULL
54,"REQ-00-000-000-0182","1.1.C",NULL,"4"
55,"REQ-00-000-000-0183","4.1.A","4.1.A.1",NULL
56,"REQ-00-000-000-0184","5.1.1.A",NULL,"5.1.1.A.2"
57,"REQ-00-000-000-0184","5.1.1.B","5.1.1.B.1",NULL
58,"REQ-00-000-000-0184","5.1.1.B","5.1.1.B.2",NULL
59,"REQ-00-000-000-0184","5.1.1.B","5.1.1.B.3",NULL
60,"REQ-00-000-000-0184","5.1.1.B","5.1.1.B.4",NULL
