volunteers_assigned_id,request_id,volunteer_id,volunteer_type,last_update_date
1,REQ-00-000-000-0018,SID-00-000-000-078,LEAD,2026-01-10 09:00:00
2,REQ-00-000-000-0019,SID-00-000-000-079,LEAD,2026-01-11 09:00:00
3,REQ-00-000-000-0019,SID-00-000-000-080,SUPPORT,2026-01-11 10:30:00
4,REQ-00-000-000-0020,SID-00-000-000-081,SUPPORT,2026-01-05 08:00:00
5,REQ-00-000-000-0020,SID-00-000-000-081,LEAD,2026-01-12 14:00:00
6,REQ-00-000-000-0021,SID-00-000-295-001,LEAD,2026-01-13 11:00:00
7,REQ-00-000-000-0022,SID-00-000-295-002,LEAD,2026-01-14 11:00:00
8,REQ-00-000-000-0023,SID-00-000-295-003,LEAD,2026-01-15 11:00:00
9,REQ-00-000-000-0024,SID-00-000-295-999,LEAD,2026-01-16 11:00:00
10,REQ-00-000-295-004,SID-00-000-000-082,LEAD,2026-01-17 11:00:00
11,REQ-00-000-295-005,SID-00-000-000-083,LEAD,2026-01-18 11:00:00
12,REQ-00-000-000-0025,SID-00-000-000-084,SUPPORT,2026-01-19 09:00:00
13,REQ-00-000-000-0025,SID-00-000-000-084,LEAD,2026-01-19 09:00:00
14,REQ-00-000-000-0026,SID-00-000-000-085,LEAD,2026-01-20 08:00:00
15,REQ-00-000-000-0026,SID-00-000-000-086,SUPPORT,2026-01-20 09:15:00
16,REQ-00-000-000-0026,SID-00-000-000-085,SUPPORT,2026-01-21 16:45:00
