user_id,cat_id,created_date,last_update_date
user_id_1339,cat_id_2133,2026-04-13 11:36:33.821832,2026-04-13 11:36:33.821832
user_id_4475,cat_id_4441,2026-04-13 11:36:33.821837,2026-04-13 11:36:33.821837
user_id_3858,cat_id_8239,2026-04-13 11:36:33.821839,2026-04-13 11:36:33.821839
user_id_5781,cat_id_5533,2026-04-13 11:36:33.821840,2026-04-13 11:36:33.821840
user_id_9234,cat_id_6107,2026-04-13 11:36:33.821842,2026-04-13 11:36:33.821842
user_id_4460,cat_id_8149,2026-04-13 11:36:33.821843,2026-04-13 11:36:33.821843
user_id_4728,cat_id_8251,2026-04-13 11:36:33.821844,2026-04-13 11:36:33.821844
user_id_9266,cat_id_2874,2026-04-13 11:36:33.821846,2026-04-13 11:36:33.821846
user_id_1379,cat_id_6925,2026-04-13 11:36:33.821847,2026-04-13 11:36:33.821847
user_id_8430,cat_id_7304,2026-04-13 11:36:33.821848,2026-04-13 11:36:33.821848
user_id_4918,cat_id_6107,2026-04-13 11:36:33.821849,2026-04-13 11:36:33.821849
user_id_5720,cat_id_3579,2026-04-13 11:36:33.821850,2026-04-13 11:36:33.821850
user_id_3852,cat_id_2137,2026-04-13 11:36:33.821851,2026-04-13 11:36:33.821851
user_id_5096,cat_id_5956,2026-04-13 11:36:33.821852,2026-04-13 11:36:33.821852
user_id_3858,cat_id_1009,2026-04-13 11:36:33.821853,2026-04-13 11:36:33.821853
user_id_6085,cat_id_3085,2026-04-13 11:36:33.821854,2026-04-13 11:36:33.821854
user_id_3067,cat_id_5930,2026-04-13 11:36:33.821855,2026-04-13 11:36:33.821855
user_id_5176,cat_id_4613,2026-04-13 11:36:33.821856,2026-04-13 11:36:33.821856
user_id_5911,cat_id_1853,2026-04-13 11:36:33.821858,2026-04-13 11:36:33.821858
user_id_6286,cat_id_3471,2026-04-13 11:36:33.821859,2026-04-13 11:36:33.821859
user_id_9234,cat_id_1993,2026-04-13 11:36:33.821860,2026-04-13 11:36:33.821860
user_id_5843,cat_id_2137,2026-04-13 11:36:33.821861,2026-04-13 11:36:33.821861
user_id_9742,cat_id_8749,2026-04-13 11:36:33.821862,2026-04-13 11:36:33.821862
user_id_8606,cat_id_4501,2026-04-13 11:36:33.821863,2026-04-13 11:36:33.821863
user_id_7523,cat_id_4608,2026-04-13 11:36:33.821864,2026-04-13 11:36:33.821864
user_id_7523,cat_id_2983,2026-04-13 11:36:33.821865,2026-04-13 11:36:33.821865
user_id_8432,cat_id_7211,2026-04-13 11:36:33.821866,2026-04-13 11:36:33.821866
user_id_7141,cat_id_3091,2026-04-13 11:36:33.821867,2026-04-13 11:36:33.821867
user_id_8430,cat_id_6425,2026-04-13 11:36:33.821868,2026-04-13 11:36:33.821868
user_id_3858,cat_id_2137,2026-04-13 11:36:33.821869,2026-04-13 11:36:33.821869
user_id_2874,cat_id_4501,2026-04-13 11:36:33.821870,2026-04-13 11:36:33.821870
user_id_7293,cat_id_2235,2026-04-13 11:36:33.821871,2026-04-13 11:36:33.821871
user_id_8432,cat_id_7543,2026-04-13 11:36:33.821872,2026-04-13 11:36:33.821872
user_id_2108,cat_id_4613,2026-04-13 11:36:33.821873,2026-04-13 11:36:33.821873
user_id_2337,cat_id_5956,2026-04-13 11:36:33.821874,2026-04-13 11:36:33.821874
user_id_3579,cat_id_4346,2026-04-13 11:36:33.821876,2026-04-13 11:36:33.821876
user_id_5911,cat_id_2876,2026-04-13 11:36:33.821877,2026-04-13 11:36:33.821877
user_id_5583,cat_id_7224,2026-04-13 11:36:33.821878,2026-04-13 11:36:33.821878
user_id_8432,cat_id_5558,2026-04-13 11:36:33.821879,2026-04-13 11:36:33.821879
user_id_3573,cat_id_4346,2026-04-13 11:36:33.821880,2026-04-13 11:36:33.821880
user_id_6724,cat_id_7797,2026-04-13 11:36:33.821881,2026-04-13 11:36:33.821881
user_id_3165,cat_id_3749,2026-04-13 11:36:33.821882,2026-04-13 11:36:33.821882
user_id_6543,cat_id_8397,2026-04-13 11:36:33.821883,2026-04-13 11:36:33.821883
user_id_2480,cat_id_3085,2026-04-13 11:36:33.821884,2026-04-13 11:36:33.821884
user_id_5295,cat_id_4501,2026-04-13 11:36:33.821885,2026-04-13 11:36:33.821885
user_id_5336,cat_id_9786,2026-04-13 11:36:33.821886,2026-04-13 11:36:33.821886
user_id_9167,cat_id_4483,2026-04-13 11:36:33.821887,2026-04-13 11:36:33.821887
user_id_5843,cat_id_2874,2026-04-13 11:36:33.821888,2026-04-13 11:36:33.821888
user_id_8498,cat_id_4510,2026-04-13 11:36:33.821889,2026-04-13 11:36:33.821889
user_id_3240,cat_id_8527,2026-04-13 11:36:33.821890,2026-04-13 11:36:33.821890
user_id_3126,cat_id_5920,2026-04-13 11:36:33.821891,2026-04-13 11:36:33.821891
user_id_8237,cat_id_5681,2026-04-13 11:36:33.821892,2026-04-13 11:36:33.821892
user_id_7248,cat_id_8527,2026-04-13 11:36:33.821893,2026-04-13 11:36:33.821893
user_id_5352,cat_id_5533,2026-04-13 11:36:33.821894,2026-04-13 11:36:33.821894
user_id_8504,cat_id_5558,2026-04-13 11:36:33.821895,2026-04-13 11:36:33.821895
user_id_9266,cat_id_6168,2026-04-13 11:36:33.821896,2026-04-13 11:36:33.821896
user_id_6286,cat_id_2983,2026-04-13 11:36:33.821897,2026-04-13 11:36:33.821897
user_id_9167,cat_id_1409,2026-04-13 11:36:33.821898,2026-04-13 11:36:33.821898
user_id_3273,cat_id_9201,2026-04-13 11:36:33.821899,2026-04-13 11:36:33.821899
user_id_4460,cat_id_7797,2026-04-13 11:36:33.821900,2026-04-13 11:36:33.821900
user_id_9266,cat_id_2137,2026-04-13 11:36:33.821901,2026-04-13 11:36:33.821901
user_id_8292,cat_id_5342,2026-04-13 11:36:33.821902,2026-04-13 11:36:33.821902
user_id_3363,cat_id_2528,2026-04-13 11:36:33.821903,2026-04-13 11:36:33.821903
user_id_9619,cat_id_2528,2026-04-13 11:36:33.821904,2026-04-13 11:36:33.821904
user_id_2929,cat_id_6925,2026-04-13 11:36:33.821905,2026-04-13 11:36:33.821905
user_id_5911,cat_id_4598,2026-04-13 11:36:33.821907,2026-04-13 11:36:33.821907
user_id_8292,cat_id_6085,2026-04-13 11:36:33.821908,2026-04-13 11:36:33.821908
user_id_7248,cat_id_3085,2026-04-13 11:36:33.821909,2026-04-13 11:36:33.821909
user_id_5681,cat_id_1853,2026-04-13 11:36:33.821910,2026-04-13 11:36:33.821910
user_id_8753,cat_id_1009,2026-04-13 11:36:33.821911,2026-04-13 11:36:33.821911
user_id_6802,cat_id_1009,2026-04-13 11:36:33.821912,2026-04-13 11:36:33.821912
user_id_8753,cat_id_5462,2026-04-13 11:36:33.821914,2026-04-13 11:36:33.821914
user_id_7171,cat_id_6038,2026-04-13 11:36:33.821915,2026-04-13 11:36:33.821915
user_id_5728,cat_id_1960,2026-04-13 11:36:33.821916,2026-04-13 11:36:33.821916
user_id_8753,cat_id_2424,2026-04-13 11:36:33.821917,2026-04-13 11:36:33.821917
user_id_7523,cat_id_9445,2026-04-13 11:36:33.821918,2026-04-13 11:36:33.821918
user_id_9151,cat_id_4483,2026-04-13 11:36:33.821921,2026-04-13 11:36:33.821921
user_id_8504,cat_id_2528,2026-04-13 11:36:33.821923,2026-04-13 11:36:33.821923
user_id_6085,cat_id_3471,2026-04-13 11:36:33.821924,2026-04-13 11:36:33.821924
user_id_2337,cat_id_5920,2026-04-13 11:36:33.821925,2026-04-13 11:36:33.821925
user_id_7171,cat_id_7304,2026-04-13 11:36:33.821926,2026-04-13 11:36:33.821926
user_id_8967,cat_id_7267,2026-04-13 11:36:33.821928,2026-04-13 11:36:33.821928
