en_id,country_id,state_id,en_name,is_country,police,ambulance,fire,non_emergency,cyber_police,medicare_support,gas_leak,electricity_outage,water_department,disaster_recovery,flood_help,earthquake_info,hurricane_info,emergency_mgmt,environmental_hazards,transportation_assistance,roadside_assistance,highway_patrol,suicide,help_women,child_abuse,domestic_abuse,mental_health,elderly_abuse,poison_control,animal_control,wildlife_rescue,homeless_services,food_assistance
621,915,state_id_9446,en_name_3290,False,police_6218,ambulance_3662,fire_7438,non_emergency_5902,cyber_police_6511,medicare_support_9311,gas_leak_9351,electricity_outage_9721,water_department_9025,disaster_recovery_5911,flood_help_8780,earthquake_info_1272,hurricane_info_7035,emergency_mgmt_6427,environmental_hazards_2795,transportation_assistance_7824,roadside_assistance_6040,highway_patrol_1436,suicide_8775,help_women_5350,child_abuse_4728,domestic_abuse_1841,mental_health_8871,elderly_abuse_3793,poison_control_9589,animal_control_7229,wildlife_rescue_3421,homeless_services_4968,food_assistance_1517
587,971,state_id_2800,en_name_4125,True,police_8225,ambulance_6139,fire_7861,non_emergency_3481,cyber_police_7765,medicare_support_4340,gas_leak_7723,electricity_outage_9221,water_department_8726,disaster_recovery_2020,flood_help_3262,earthquake_info_9498,hurricane_info_4397,emergency_mgmt_6325,environmental_hazards_8837,transportation_assistance_9609,roadside_assistance_7173,highway_patrol_6140,suicide_3837,help_women_8531,child_abuse_9734,domestic_abuse_6608,mental_health_9950,elderly_abuse_6804,poison_control_5331,animal_control_8932,wildlife_rescue_4150,homeless_services_5038,food_assistance_5571
572,306,state_id_4684,en_name_5876,False,police_4396,ambulance_9011,fire_6194,non_emergency_8861,cyber_police_6714,medicare_support_5480,gas_leak_5715,electricity_outage_2996,water_department_9899,disaster_recovery_7220,flood_help_7464,earthquake_info_6654,hurricane_info_3399,emergency_mgmt_5758,environmental_hazards_1689,transportation_assistance_5712,roadside_assistance_2294,highway_patrol_6674,suicide_8247,help_women_5201,child_abuse_8849,domestic_abuse_4505,mental_health_4310,elderly_abuse_9824,poison_control_5442,animal_control_5450,wildlife_rescue_3249,homeless_services_2789,food_assistance_4920
249,52,state_id_9700,en_name_4697,True,police_1860,ambulance_2641,fire_7771,non_emergency_6411,cyber_police_8739,medicare_support_2647,gas_leak_3252,electricity_outage_1084,water_department_3587,disaster_recovery_7666,flood_help_8793,earthquake_info_8822,hurricane_info_4267,emergency_mgmt_5706,environmental_hazards_6262,transportation_assistance_5676,roadside_assistance_1969,highway_patrol_2465,suicide_4804,help_women_9767,child_abuse_1611,domestic_abuse_3868,mental_health_7846,elderly_abuse_3880,poison_control_1595,animal_control_7504,wildlife_rescue_9116,homeless_services_4052,food_assistance_5742
898,39,state_id_1151,en_name_5888,True,police_6489,ambulance_5662,fire_8444,non_emergency_9901,cyber_police_9590,medicare_support_9092,gas_leak_3198,electricity_outage_9261,water_department_8668,disaster_recovery_5470,flood_help_4159,earthquake_info_2845,hurricane_info_6417,emergency_mgmt_3662,environmental_hazards_8518,transportation_assistance_5215,roadside_assistance_4050,highway_patrol_1230,suicide_6523,help_women_5833,child_abuse_4164,domestic_abuse_3875,mental_health_7643,elderly_abuse_8007,poison_control_9442,animal_control_6372,wildlife_rescue_2421,homeless_services_7567,food_assistance_2562
190,144,state_id_8822,en_name_6301,True,police_1111,ambulance_5272,fire_7284,non_emergency_4858,cyber_police_8319,medicare_support_5374,gas_leak_6400,electricity_outage_5947,water_department_1187,disaster_recovery_5285,flood_help_6890,earthquake_info_4871,hurricane_info_2017,emergency_mgmt_2936,environmental_hazards_8625,transportation_assistance_6026,roadside_assistance_3616,highway_patrol_7642,suicide_9233,help_women_6095,child_abuse_2923,domestic_abuse_5833,mental_health_7021,elderly_abuse_4618,poison_control_4590,animal_control_3188,wildlife_rescue_8834,homeless_services_3509,food_assistance_8454
766,621,state_id_7121,en_name_7813,False,police_9806,ambulance_4578,fire_5054,non_emergency_2341,cyber_police_9609,medicare_support_8319,gas_leak_9653,electricity_outage_6927,water_department_2279,disaster_recovery_2838,flood_help_2011,earthquake_info_9972,hurricane_info_9281,emergency_mgmt_4312,environmental_hazards_9792,transportation_assistance_3455,roadside_assistance_3695,highway_patrol_6375,suicide_9525,help_women_8239,child_abuse_2904,domestic_abuse_4365,mental_health_9008,elderly_abuse_2489,poison_control_9361,animal_control_8298,wildlife_rescue_1911,homeless_services_8429,food_assistance_3161
526,426,state_id_8484,en_name_1945,False,police_6049,ambulance_1356,fire_7487,non_emergency_5169,cyber_police_1049,medicare_support_4570,gas_leak_2196,electricity_outage_1742,water_department_7941,disaster_recovery_6644,flood_help_2044,earthquake_info_9866,hurricane_info_1987,emergency_mgmt_2130,environmental_hazards_8734,transportation_assistance_1519,roadside_assistance_5703,highway_patrol_7698,suicide_3948,help_women_3218,child_abuse_7887,domestic_abuse_7135,mental_health_7266,elderly_abuse_8348,poison_control_7184,animal_control_7154,wildlife_rescue_2314,homeless_services_9835,food_assistance_3178
670,881,state_id_6697,en_name_2943,True,police_9802,ambulance_7439,fire_9664,non_emergency_3086,cyber_police_4648,medicare_support_1056,gas_leak_1372,electricity_outage_5888,water_department_8585,disaster_recovery_9920,flood_help_7948,earthquake_info_9715,hurricane_info_7214,emergency_mgmt_4762,environmental_hazards_5055,transportation_assistance_8546,roadside_assistance_6671,highway_patrol_3541,suicide_5516,help_women_4088,child_abuse_2848,domestic_abuse_1527,mental_health_7868,elderly_abuse_1256,poison_control_4943,animal_control_4376,wildlife_rescue_2102,homeless_services_2653,food_assistance_1550
458,613,state_id_1797,en_name_5009,True,police_7590,ambulance_8191,fire_4839,non_emergency_9843,cyber_police_4559,medicare_support_1924,gas_leak_3295,electricity_outage_9255,water_department_5739,disaster_recovery_4836,flood_help_6224,earthquake_info_6253,hurricane_info_4881,emergency_mgmt_5944,environmental_hazards_3347,transportation_assistance_9540,roadside_assistance_4621,highway_patrol_7775,suicide_5923,help_women_5508,child_abuse_1998,domestic_abuse_3869,mental_health_7999,elderly_abuse_9120,poison_control_1768,animal_control_6642,wildlife_rescue_7244,homeless_services_9592,food_assistance_6222
