fraud_request_id,user_id,request_datetime,reason
342,user_id_9027,2026-07-22 08:10:00,reason_1301
356,user_id_6765,2026-07-02 05:19:00,reason_4869
514,user_id_5519,2026-02-02 05:16:00,reason_7343
912,user_id_1482,2026-10-12 17:14:00,reason_3485
350,user_id_7436,2026-12-03 13:05:00,reason_7262
534,user_id_4726,2026-08-02 16:36:00,reason_3502
437,user_id_6118,2026-11-06 19:28:00,reason_9883
135,user_id_4387,2026-12-01 13:37:00,reason_9869
701,user_id_4314,2026-03-12 18:44:00,reason_9582
932,user_id_3215,2026-08-09 13:41:00,reason_3589
326,user_id_2111,2026-10-14 02:46:00,reason_2939
189,user_id_6203,2026-03-17 08:01:00,reason_6221
902,user_id_7783,2026-07-30 18:28:00,reason_5485
156,user_id_4079,2026-02-24 13:11:00,reason_1429
781,user_id_5372,2026-11-08 03:39:00,reason_4783
611,user_id_4804,2026-04-30 06:01:00,reason_6886
82,user_id_8808,2026-03-11 01:54:00,reason_8680
730,user_id_7126,2026-04-05 21:31:00,reason_8763
141,user_id_3683,2026-04-09 16:02:00,reason_7694
783,user_id_1245,2026-05-19 22:14:00,reason_4323
776,user_id_4351,2026-02-03 14:59:00,reason_8197
888,user_id_9027,2026-12-19 19:55:00,reason_8496
909,user_id_5043,2026-08-07 21:49:00,reason_1685
623,user_id_7232,2026-06-10 21:39:00,reason_9784
538,user_id_1630,2026-09-24 12:28:00,reason_8485
847,user_id_1694,2026-05-07 01:34:00,reason_7481
753,user_id_1643,2026-10-13 21:33:00,reason_1807
195,user_id_5770,2026-08-14 21:56:00,reason_5989
793,user_id_5684,2026-08-25 14:27:00,reason_5823
628,user_id_1893,2026-12-21 01:57:00,reason_3330
475,user_id_8400,2026-02-17 08:32:00,reason_2854
185,user_id_9952,2026-03-11 21:26:00,reason_6299
462,user_id_1408,2026-04-02 23:37:00,reason_4308
904,user_id_8449,2026-02-16 17:20:00,reason_3686
736,user_id_3024,2026-02-16 12:45:00,reason_8362
650,user_id_6946,2026-02-14 01:45:00,reason_7292
745,user_id_9383,2026-11-10 14:24:00,reason_7235
45,user_id_3799,2026-06-22 03:55:00,reason_3459
167,user_id_3369,2026-04-03 07:03:00,reason_7874
316,user_id_6071,2026-08-17 18:40:00,reason_3960
121,user_id_3155,2026-04-14 09:39:00,reason_5146
13,user_id_8514,2026-09-13 00:34:00,reason_1094
623,user_id_9084,2026-05-02 15:37:00,reason_8794
465,user_id_7719,2026-08-15 11:38:00,reason_1107
251,user_id_9967,2026-05-24 04:40:00,reason_4401
51,user_id_4028,2026-03-17 10:41:00,reason_6718
38,user_id_3381,2026-01-18 06:36:00,reason_5889
340,user_id_2436,2026-01-26 12:26:00,reason_3920
166,user_id_5659,2026-11-10 06:44:00,reason_3906
990,user_id_8460,2026-10-24 20:59:00,reason_1587
96,user_id_5903,2026-06-15 20:57:00,reason_7208
840,user_id_2108,2026-08-08 02:04:00,reason_5797
483,user_id_3204,2026-03-05 07:55:00,reason_5496
338,user_id_9635,2026-08-01 01:13:00,reason_4425
627,user_id_1953,2026-02-26 03:46:00,reason_9666
90,user_id_8924,2026-12-20 04:59:00,reason_5705
438,user_id_6185,2026-05-14 01:36:00,reason_6797
950,user_id_3125,2026-11-12 03:31:00,reason_9514
747,user_id_9154,2026-09-10 14:56:00,reason_4812
726,user_id_5759,2026-04-10 09:07:00,reason_1392
477,user_id_2932,2026-04-18 04:26:00,reason_7783
47,user_id_6468,2026-06-30 02:51:00,reason_4478
12,user_id_4296,2026-12-20 18:16:00,reason_2111
316,user_id_5919,2026-09-18 02:20:00,reason_1100
