cat_id,cat_name,cat_desc
cat_id_5624,cat_name_6711,cat_desc_3087
cat_id_9322,cat_name_2686,cat_desc_7646
cat_id_2752,cat_name_6339,cat_desc_2162
cat_id_5949,cat_name_9728,cat_desc_8552
cat_id_7566,cat_name_7773,cat_desc_4908
cat_id_4992,cat_name_9977,cat_desc_3605
cat_id_8903,cat_name_7288,cat_desc_2082
cat_id_6582,cat_name_4411,cat_desc_8063
cat_id_8132,cat_name_6606,cat_desc_9921
cat_id_4869,cat_name_3835,cat_desc_2276
cat_id_8972,cat_name_2873,cat_desc_8584
cat_id_6330,cat_name_2599,cat_desc_8294
cat_id_3886,cat_name_6046,cat_desc_7648
cat_id_2140,cat_name_2781,cat_desc_7208
cat_id_6364,cat_name_9098,cat_desc_2007
cat_id_2483,cat_name_4565,cat_desc_3276
cat_id_1003,cat_name_3403,cat_desc_3444
cat_id_8421,cat_name_9704,cat_desc_5775
cat_id_7389,cat_name_8326,cat_desc_4205
cat_id_4369,cat_name_6187,cat_desc_5910
cat_id_5989,cat_name_8122,cat_desc_6640
cat_id_2462,cat_name_1133,cat_desc_9362
cat_id_7622,cat_name_3089,cat_desc_5819
cat_id_2022,cat_name_7049,cat_desc_9992
cat_id_1870,cat_name_1013,cat_desc_6885
cat_id_2797,cat_name_5623,cat_desc_1510
cat_id_4854,cat_name_8073,cat_desc_7459
cat_id_6212,cat_name_7271,cat_desc_7652
cat_id_7251,cat_name_8130,cat_desc_9931
cat_id_4460,cat_name_3841,cat_desc_8780
cat_id_3278,cat_name_4083,cat_desc_7301
cat_id_6902,cat_name_7835,cat_desc_3527
cat_id_5726,cat_name_3056,cat_desc_3200
cat_id_1190,cat_name_2175,cat_desc_1257
cat_id_3359,cat_name_8974,cat_desc_8155
cat_id_3224,cat_name_2387,cat_desc_3248
cat_id_7813,cat_name_8471,cat_desc_7974
cat_id_3945,cat_name_8444,cat_desc_9346
cat_id_7948,cat_name_8373,cat_desc_7303
cat_id_6821,cat_name_4698,cat_desc_4044
cat_id_7959,cat_name_1121,cat_desc_9161
cat_id_4878,cat_name_9220,cat_desc_5411
cat_id_7731,cat_name_9948,cat_desc_7012
cat_id_1548,cat_name_1620,cat_desc_8917
cat_id_7038,cat_name_2854,cat_desc_8889
cat_id_2311,cat_name_3327,cat_desc_9624
cat_id_5578,cat_name_8617,cat_desc_9469
cat_id_2281,cat_name_9574,cat_desc_2449
cat_id_5017,cat_name_8740,cat_desc_2279
cat_id_9834,cat_name_6119,cat_desc_1864
cat_id_6628,cat_name_9765,cat_desc_1176
cat_id_8681,cat_name_8438,cat_desc_9399
cat_id_8687,cat_name_6431,cat_desc_7897
cat_id_6782,cat_name_5827,cat_desc_5738
cat_id_3744,cat_name_1578,cat_desc_5981
cat_id_5267,cat_name_2006,cat_desc_8752
cat_id_3770,cat_name_1845,cat_desc_5780
cat_id_1447,cat_name_5699,cat_desc_8942
cat_id_2351,cat_name_3077,cat_desc_9283
cat_id_2259,cat_name_5552,cat_desc_5129
cat_id_3171,cat_name_5603,cat_desc_5509
cat_id_5209,cat_name_1232,cat_desc_2827
cat_id_3860,cat_name_3476,cat_desc_8317
cat_id_7058,cat_name_3873,cat_desc_5280
cat_id_4869,cat_name_8944,cat_desc_3962
cat_id_9640,cat_name_1542,cat_desc_6617
cat_id_2382,cat_name_3376,cat_desc_3525
cat_id_9125,cat_name_7765,cat_desc_7277
cat_id_4898,cat_name_8211,cat_desc_3740
cat_id_4454,cat_name_6653,cat_desc_1890
cat_id_5331,cat_name_2900,cat_desc_1860
cat_id_3745,cat_name_8602,cat_desc_7533
cat_id_8802,cat_name_5937,cat_desc_8803
cat_id_9724,cat_name_4828,cat_desc_7222
cat_id_7390,cat_name_8775,cat_desc_5302
cat_id_3378,cat_name_9690,cat_desc_8122
cat_id_1194,cat_name_5731,cat_desc_8353
cat_id_7258,cat_name_6172,cat_desc_9687
cat_id_1672,cat_name_2595,cat_desc_9704
cat_id_6797,cat_name_8074,cat_desc_5466
cat_id_6488,cat_name_5429,cat_desc_5375
cat_id_2610,cat_name_5183,cat_desc_7408
cat_id_8554,cat_name_4961,cat_desc_4193
cat_id_9518,cat_name_6528,cat_desc_3947
cat_id_6132,cat_name_9972,cat_desc_1173
cat_id_1138,cat_name_2113,cat_desc_1195
cat_id_7737,cat_name_2600,cat_desc_9605
cat_id_2702,cat_name_8306,cat_desc_6759
cat_id_4594,cat_name_5641,cat_desc_5127
cat_id_4163,cat_name_1557,cat_desc_1388
cat_id_2506,cat_name_1931,cat_desc_4552
cat_id_2995,cat_name_2965,cat_desc_2415
cat_id_3128,cat_name_7159,cat_desc_4027
cat_id_2816,cat_name_4018,cat_desc_5150
cat_id_5826,cat_name_8650,cat_desc_2240
cat_id_8429,cat_name_5528,cat_desc_7995
cat_id_6298,cat_name_5216,cat_desc_3653
cat_id_2212,cat_name_5543,cat_desc_2022
cat_id_7271,cat_name_7366,cat_desc_6450
cat_id_1984,cat_name_5230,cat_desc_5336
