parent_id,child_id
parent_id_3915,child_id_8218
parent_id_2137,child_id_9056
parent_id_4287,child_id_7432
parent_id_3923,child_id_9061
parent_id_2776,child_id_3357
parent_id_9857,child_id_8065
parent_id_4578,child_id_2740
parent_id_8234,child_id_5243
parent_id_2692,child_id_1571
parent_id_2194,child_id_2153
parent_id_5105,child_id_8305
parent_id_1307,child_id_9154
parent_id_3438,child_id_1014
parent_id_1619,child_id_7397
parent_id_5365,child_id_3483
parent_id_6403,child_id_7411
parent_id_1060,child_id_9444
parent_id_9039,child_id_8833
parent_id_8144,child_id_7617
parent_id_2148,child_id_9849
parent_id_4700,child_id_1054
parent_id_7298,child_id_8898
parent_id_2985,child_id_9770
parent_id_6880,child_id_6463
parent_id_5961,child_id_7563
parent_id_1904,child_id_2485
parent_id_6985,child_id_9759
parent_id_6571,child_id_2318
parent_id_8530,child_id_5750
parent_id_4327,child_id_3893
parent_id_1644,child_id_7294
parent_id_4129,child_id_5896
parent_id_7391,child_id_2749
parent_id_6886,child_id_8970
parent_id_2390,child_id_8175
parent_id_4104,child_id_3292
parent_id_1584,child_id_4163
parent_id_1415,child_id_4907
parent_id_9015,child_id_7369
parent_id_2032,child_id_9856
parent_id_6041,child_id_9186
parent_id_9748,child_id_8361
parent_id_1268,child_id_1606
parent_id_6558,child_id_1918
parent_id_6533,child_id_1701
parent_id_7643,child_id_2936
parent_id_4468,child_id_9570
parent_id_8509,child_id_9791
parent_id_3440,child_id_4817
parent_id_2180,child_id_1604
parent_id_3319,child_id_9010
parent_id_1312,child_id_8720
parent_id_1750,child_id_4976
parent_id_3138,child_id_1235
parent_id_3822,child_id_1818
parent_id_6035,child_id_2594
parent_id_8474,child_id_3796
parent_id_2047,child_id_2742
parent_id_2870,child_id_9145
parent_id_4613,child_id_2033
parent_id_4320,child_id_7983
parent_id_6527,child_id_7586
parent_id_6312,child_id_2979
parent_id_9943,child_id_3250
parent_id_6268,child_id_4493
parent_id_1746,child_id_3841
parent_id_6496,child_id_2035
parent_id_2978,child_id_5487
parent_id_3314,child_id_7801
parent_id_3753,child_id_7060
parent_id_3703,child_id_8187
parent_id_4991,child_id_1666
parent_id_3185,child_id_2637
parent_id_7162,child_id_3584
parent_id_1256,child_id_8978
parent_id_2322,child_id_1104
parent_id_1118,child_id_3939
parent_id_2460,child_id_5648
parent_id_7819,child_id_8798
parent_id_3079,child_id_4377
parent_id_3344,child_id_5439
parent_id_9570,child_id_8379
parent_id_7750,child_id_4919
parent_id_3859,child_id_1616
parent_id_3949,child_id_9190
parent_id_2442,child_id_5934
parent_id_6699,child_id_7861
parent_id_1074,child_id_4860
parent_id_4144,child_id_2925
parent_id_9686,child_id_2567
parent_id_6929,child_id_9842
parent_id_9315,child_id_4592
parent_id_8605,child_id_4409
parent_id_5528,child_id_1869
parent_id_4173,child_id_2846
parent_id_3444,child_id_8772
parent_id_9151,child_id_3888
parent_id_3617,child_id_1706
parent_id_1885,child_id_6966
parent_id_5670,child_id_4433
