item_id,field_id,item_value,item_type
item_id_2287,field_id_7960,item_value_2830,item_type_2273
item_id_1308,field_id_8934,item_value_8065,item_type_1696
item_id_4217,field_id_2766,item_value_1537,item_type_9412
item_id_1971,field_id_8685,item_value_2948,item_type_5145
item_id_1709,field_id_2085,item_value_5942,item_type_1168
item_id_2581,field_id_3028,item_value_4365,item_type_4277
item_id_4027,field_id_6759,item_value_1479,item_type_2487
item_id_3384,field_id_5544,item_value_6698,item_type_6770
item_id_3630,field_id_9202,item_value_4962,item_type_9272
item_id_2119,field_id_2623,item_value_1229,item_type_9664
item_id_4555,field_id_4138,item_value_5617,item_type_3814
item_id_9800,field_id_1070,item_value_2616,item_type_4506
item_id_9260,field_id_8777,item_value_7004,item_type_4033
item_id_8203,field_id_2758,item_value_3963,item_type_6813
item_id_7219,field_id_7948,item_value_4510,item_type_9425
item_id_4728,field_id_7677,item_value_2848,item_type_6149
item_id_3025,field_id_8633,item_value_2807,item_type_9515
item_id_3226,field_id_9123,item_value_6918,item_type_5723
item_id_1665,field_id_2347,item_value_6375,item_type_9088
item_id_2895,field_id_7304,item_value_5646,item_type_8486
item_id_6111,field_id_8273,item_value_4700,item_type_7672
item_id_5761,field_id_8011,item_value_4093,item_type_2140
item_id_8793,field_id_7020,item_value_3937,item_type_1209
item_id_9055,field_id_2723,item_value_7494,item_type_8177
item_id_9563,field_id_2392,item_value_2953,item_type_3348
item_id_7468,field_id_7563,item_value_2666,item_type_3764
item_id_2060,field_id_6959,item_value_4261,item_type_6548
item_id_4281,field_id_7623,item_value_3011,item_type_4815
item_id_7958,field_id_9177,item_value_5563,item_type_5472
item_id_7557,field_id_6834,item_value_8795,item_type_7626
item_id_8938,field_id_9379,item_value_5569,item_type_3414
item_id_8448,field_id_2770,item_value_3001,item_type_5107
item_id_9017,field_id_9147,item_value_4781,item_type_3205
item_id_1486,field_id_2631,item_value_1865,item_type_2117
item_id_9161,field_id_1438,item_value_3934,item_type_7269
item_id_6356,field_id_3502,item_value_5960,item_type_2578
item_id_2253,field_id_9518,item_value_9064,item_type_8635
item_id_4308,field_id_5809,item_value_9157,item_type_9032
item_id_9270,field_id_5287,item_value_9887,item_type_6629
item_id_9856,field_id_9955,item_value_1289,item_type_1517
item_id_8051,field_id_2951,item_value_7285,item_type_8374
item_id_6153,field_id_7165,item_value_8250,item_type_8531
item_id_1589,field_id_1538,item_value_3897,item_type_5965
item_id_3689,field_id_9052,item_value_8056,item_type_3203
item_id_6119,field_id_7374,item_value_8986,item_type_2792
item_id_9037,field_id_9837,item_value_8697,item_type_8797
item_id_3560,field_id_9301,item_value_1913,item_type_7412
item_id_5315,field_id_9105,item_value_7189,item_type_6779
item_id_5660,field_id_6250,item_value_2006,item_type_1461
item_id_1739,field_id_3100,item_value_7003,item_type_6715
item_id_1440,field_id_6591,item_value_7235,item_type_2594
item_id_8014,field_id_6654,item_value_6855,item_type_7749
item_id_6755,field_id_1924,item_value_5001,item_type_5056
item_id_4844,field_id_6113,item_value_2391,item_type_2073
item_id_5995,field_id_2875,item_value_6531,item_type_3781
item_id_1322,field_id_9821,item_value_6343,item_type_1612
item_id_8551,field_id_7921,item_value_9433,item_type_7900
item_id_5368,field_id_1334,item_value_8695,item_type_1364
item_id_6185,field_id_7188,item_value_7394,item_type_6282
item_id_2601,field_id_9001,item_value_2639,item_type_4373
item_id_6504,field_id_9138,item_value_9237,item_type_6563
item_id_3730,field_id_5907,item_value_6952,item_type_8143
item_id_4305,field_id_9142,item_value_2234,item_type_9779
item_id_4507,field_id_5708,item_value_5344,item_type_1778
item_id_5871,field_id_7586,item_value_4700,item_type_2506
item_id_2552,field_id_6518,item_value_5478,item_type_2102
item_id_9700,field_id_8786,item_value_7997,item_type_4436
item_id_6690,field_id_2256,item_value_5945,item_type_9268
item_id_5913,field_id_8092,item_value_9846,item_type_6133
item_id_4278,field_id_7788,item_value_7591,item_type_5116
item_id_9443,field_id_8425,item_value_9971,item_type_3958
item_id_1304,field_id_9457,item_value_4056,item_type_9178
item_id_4489,field_id_8656,item_value_5389,item_type_9728
item_id_8106,field_id_1981,item_value_9556,item_type_4287
item_id_6968,field_id_8577,item_value_3420,item_type_4938
item_id_3465,field_id_5919,item_value_8133,item_type_7721
item_id_6220,field_id_2055,item_value_4335,item_type_7757
item_id_5373,field_id_5702,item_value_3631,item_type_5201
item_id_4868,field_id_7649,item_value_4907,item_type_2860
item_id_3456,field_id_4144,item_value_1453,item_type_5023
item_id_6087,field_id_8604,item_value_8952,item_type_8145
item_id_7914,field_id_1606,item_value_4309,item_type_3610
item_id_5468,field_id_3235,item_value_1477,item_type_5233
item_id_5551,field_id_3883,item_value_1691,item_type_8960
item_id_1326,field_id_1906,item_value_2375,item_type_6143
item_id_5882,field_id_2041,item_value_7668,item_type_6954
item_id_2479,field_id_7502,item_value_3302,item_type_4867
item_id_2833,field_id_9196,item_value_2976,item_type_9551
item_id_9605,field_id_5125,item_value_9133,item_type_2478
item_id_4900,field_id_3003,item_value_6134,item_type_6395
item_id_7388,field_id_4865,item_value_7928,item_type_4571
item_id_3363,field_id_2750,item_value_3869,item_type_4507
item_id_5498,field_id_8200,item_value_7690,item_type_5166
item_id_1916,field_id_9034,item_value_9740,item_type_7139
item_id_2850,field_id_6185,item_value_9941,item_type_7943
item_id_8780,field_id_5036,item_value_5550,item_type_3374
item_id_6947,field_id_8786,item_value_7025,item_type_6049
item_id_1345,field_id_1570,item_value_1895,item_type_4926
item_id_5144,field_id_7302,item_value_6067,item_type_6945
item_id_2999,field_id_9763,item_value_4872,item_type_8248
