news_id,headline,snippet_text,image_path,profile_links,event_date,created_at,last_updated_at
754,headline_5544,snippet_text_2450,image_path_3713,{},2026-01-01,2026-12-29 09:36:00,2026-11-20 07:19:00
575,headline_3028,snippet_text_2395,image_path_4152,{},2026-01-01,2026-11-14 02:36:00,2026-01-29 03:33:00
194,headline_8796,snippet_text_9235,image_path_1305,{},2026-01-01,2026-03-04 06:59:00,2026-09-30 14:01:00
282,headline_4371,snippet_text_5018,image_path_8278,{},2026-01-01,2026-02-14 02:38:00,2026-06-14 21:37:00
47,headline_9052,snippet_text_1381,image_path_6569,{},2026-01-01,2026-08-12 14:26:00,2026-01-14 01:20:00
392,headline_5213,snippet_text_2491,image_path_2878,{},2026-01-01,2026-02-21 02:10:00,2026-05-27 13:11:00
262,headline_2468,snippet_text_3526,image_path_6026,{},2026-01-01,2026-07-29 06:10:00,2026-02-01 04:20:00
186,headline_1445,snippet_text_1958,image_path_5882,{},2026-01-01,2026-07-19 12:20:00,2026-03-14 22:57:00
332,headline_5225,snippet_text_7152,image_path_2981,{},2026-01-01,2026-01-27 15:15:00,2026-11-03 03:15:00
505,headline_9333,snippet_text_9264,image_path_7308,{},2026-01-01,2026-02-28 17:03:00,2026-06-12 23:35:00
417,headline_2072,snippet_text_8932,image_path_1473,{},2026-01-01,2026-07-29 05:14:00,2026-01-10 17:35:00
987,headline_2663,snippet_text_5035,image_path_3057,{},2026-01-01,2026-06-06 03:26:00,2026-08-17 11:54:00
652,headline_9199,snippet_text_4333,image_path_3332,{},2026-01-01,2026-07-12 02:10:00,2026-05-07 02:27:00
985,headline_8401,snippet_text_1684,image_path_1016,{},2026-01-01,2026-08-27 04:18:00,2026-12-01 14:00:00
62,headline_8900,snippet_text_5477,image_path_5110,{},2026-01-01,2026-12-15 21:22:00,2026-11-20 15:37:00
861,headline_9361,snippet_text_5609,image_path_1745,{},2026-01-01,2026-03-25 08:34:00,2026-10-16 11:19:00
92,headline_7476,snippet_text_3014,image_path_3288,{},2026-01-01,2026-10-12 17:56:00,2026-08-10 15:39:00
517,headline_6215,snippet_text_6613,image_path_5282,{},2026-01-01,2026-12-29 23:17:00,2026-05-07 06:20:00
350,headline_4450,snippet_text_8533,image_path_6381,{},2026-01-01,2026-01-10 07:08:00,2026-11-27 09:38:00
488,headline_1070,snippet_text_1156,image_path_3843,{},2026-01-01,2026-08-01 02:57:00,2026-12-24 07:31:00
