channel_id,channel_name,description
640,channel_name_4393,description_9875
405,channel_name_8010,description_2979
238,channel_name_4502,description_2734
366,channel_name_6298,description_3844
16,channel_name_7588,description_6181
13,channel_name_7376,description_4485
470,channel_name_4606,description_2081
674,channel_name_5562,description_7045
45,channel_name_2103,description_4580
421,channel_name_5940,description_9185
105,channel_name_9784,description_3809
258,channel_name_2552,description_6314
647,channel_name_7366,description_3177
341,channel_name_3872,description_6209
872,channel_name_8899,description_2106
344,channel_name_1289,description_8354
392,channel_name_9372,description_4808
516,channel_name_1217,description_4811
22,channel_name_3032,description_6060
243,channel_name_8020,description_4990
635,channel_name_2300,description_1981
141,channel_name_7136,description_9171
304,channel_name_4309,description_3484
385,channel_name_4348,description_1621
244,channel_name_8270,description_6385
138,channel_name_5556,description_6202
660,channel_name_1648,description_9533
811,channel_name_7797,description_5726
769,channel_name_1388,description_4752
868,channel_name_6427,description_6615
249,channel_name_4372,description_9836
56,channel_name_5068,description_4644
623,channel_name_7250,description_9543
330,channel_name_4007,description_8247
645,channel_name_1099,description_2058
891,channel_name_9055,description_2146
977,channel_name_4153,description_1853
650,channel_name_3318,description_4345
129,channel_name_2503,description_3845
607,channel_name_9992,description_4348
242,channel_name_9313,description_2280
437,channel_name_8652,description_6103
169,channel_name_4236,description_5012
435,channel_name_3890,description_5079
311,channel_name_5675,description_8344
991,channel_name_4299,description_5454
884,channel_name_8883,description_2310
974,channel_name_6891,description_7524
387,channel_name_3748,description_8712
452,channel_name_7925,description_9278
625,channel_name_8101,description_3553
840,channel_name_8897,description_1324
781,channel_name_7249,description_8002
875,channel_name_2363,description_5918
610,channel_name_9801,description_3503
567,channel_name_3878,description_5215
390,channel_name_8596,description_6011
465,channel_name_5640,description_7146
576,channel_name_8878,description_2178
342,channel_name_3238,description_8688
201,channel_name_3535,description_4106
5,channel_name_1210,description_9203
748,channel_name_7131,description_9051
415,channel_name_7812,description_7465
994,channel_name_7113,description_7292
502,channel_name_6043,description_2167
419,channel_name_1636,description_3039
395,channel_name_3660,description_4182
782,channel_name_8148,description_5182
790,channel_name_6711,description_9349
727,channel_name_9005,description_7032
714,channel_name_1945,description_7313
949,channel_name_7947,description_5043
249,channel_name_8827,description_1565
944,channel_name_6921,description_1462
715,channel_name_3422,description_5281
620,channel_name_8462,description_3414
261,channel_name_5053,description_3644
13,channel_name_2912,description_2512
660,channel_name_7297,description_7515
724,channel_name_2316,description_9495
932,channel_name_4093,description_7929
170,channel_name_7993,description_5143
709,channel_name_5951,description_9202
991,channel_name_9735,description_7271
601,channel_name_6045,description_7743
771,channel_name_2456,description_2790
652,channel_name_6642,description_3338
276,channel_name_4432,description_7520
716,channel_name_6047,description_1105
173,channel_name_9056,description_1025
100,channel_name_2144,description_7845
538,channel_name_7829,description_5724
751,channel_name_8060,description_3795
181,channel_name_7138,description_4053
721,channel_name_3200,description_4244
499,channel_name_3981,description_9234
972,channel_name_2806,description_8383
581,channel_name_4482,description_4041
206,channel_name_1966,description_3993
