type_id,type_name,description
829,type_name_4143,description_5249
924,type_name_7697,description_8220
642,type_name_2789,description_3721
82,type_name_5802,description_2404
387,type_name_3042,description_5534
66,type_name_6605,description_1486
600,type_name_4846,description_8829
497,type_name_2651,description_1155
63,type_name_5359,description_1118
682,type_name_1685,description_2586
217,type_name_9557,description_1118
385,type_name_9520,description_5355
955,type_name_8961,description_8753
776,type_name_6521,description_8036
345,type_name_7074,description_6620
323,type_name_4925,description_6918
682,type_name_7528,description_7200
626,type_name_1937,description_6833
895,type_name_6410,description_2641
4,type_name_8486,description_7583
743,type_name_3275,description_1420
617,type_name_3013,description_9693
287,type_name_5072,description_7036
463,type_name_8785,description_9436
424,type_name_4079,description_1051
654,type_name_6278,description_1272
649,type_name_6901,description_1749
993,type_name_6333,description_8279
240,type_name_8938,description_7556
757,type_name_2333,description_6707
439,type_name_8800,description_2645
752,type_name_7305,description_5814
622,type_name_4196,description_3345
891,type_name_9520,description_9267
33,type_name_3094,description_9158
816,type_name_2426,description_5937
853,type_name_9990,description_8648
173,type_name_8311,description_2895
494,type_name_9858,description_4946
250,type_name_4467,description_3792
772,type_name_2465,description_2728
446,type_name_1478,description_3625
952,type_name_6349,description_7283
785,type_name_5593,description_4610
737,type_name_5220,description_8803
975,type_name_3016,description_3224
945,type_name_9757,description_9060
93,type_name_6452,description_4666
955,type_name_2059,description_6623
387,type_name_7252,description_8159
828,type_name_4823,description_4662
266,type_name_2895,description_5767
90,type_name_2824,description_2460
349,type_name_4082,description_2902
587,type_name_7025,description_3087
874,type_name_6134,description_7229
591,type_name_1027,description_6092
64,type_name_9775,description_4110
868,type_name_7359,description_7941
328,type_name_6980,description_3069
533,type_name_4639,description_2746
405,type_name_1150,description_9819
873,type_name_8546,description_6176
149,type_name_5863,description_4586
512,type_name_8467,description_3415
616,type_name_5643,description_3389
765,type_name_1562,description_6245
317,type_name_9230,description_3022
281,type_name_8836,description_4534
507,type_name_5775,description_7171
61,type_name_6458,description_3501
848,type_name_4450,description_4687
718,type_name_1861,description_3933
878,type_name_8987,description_7419
307,type_name_3608,description_1353
562,type_name_7427,description_6528
433,type_name_8756,description_6706
776,type_name_7412,description_7407
74,type_name_9648,description_5637
290,type_name_4196,description_9978
404,type_name_2594,description_3144
332,type_name_1886,description_5981
469,type_name_3681,description_3253
453,type_name_8904,description_5769
919,type_name_3372,description_4436
224,type_name_4205,description_1149
371,type_name_2670,description_3418
386,type_name_7997,description_3756
949,type_name_1922,description_2573
365,type_name_8763,description_3943
968,type_name_1859,description_2922
528,type_name_6545,description_8107
994,type_name_3434,description_7619
251,type_name_1556,description_2946
247,type_name_7498,description_9005
310,type_name_3826,description_7150
795,type_name_2468,description_8596
886,type_name_7260,description_5509
648,type_name_8292,description_7018
12,type_name_2966,description_2910
