notification_id,user_id,type_id,channel_id,message,status,created_at,last_update_date
85,user_id_2999,501,657,message_9351,,2026-04-26 09:37:00,2026-10-22 03:30:00
281,user_id_2549,814,608,message_3967,,2026-07-17 00:41:00,2026-12-26 22:19:00
586,user_id_3051,102,334,message_2040,,2027-01-02 02:11:00,2026-07-28 07:01:00
404,user_id_9788,803,832,message_9684,,2026-09-08 11:33:00,2026-10-28 02:45:00
839,user_id_3033,772,772,message_4399,,2026-12-04 12:11:00,2026-11-04 07:11:00
6,user_id_8327,820,322,message_3015,,2026-01-21 13:36:00,2026-04-17 05:10:00
90,user_id_5206,872,772,message_1573,,2026-02-13 12:32:00,2026-06-02 20:34:00
176,user_id_7931,968,674,message_1001,,2026-05-08 18:02:00,2026-09-23 18:42:00
547,user_id_8289,144,591,message_9035,,2026-12-22 19:33:00,2026-07-01 04:34:00
523,user_id_4438,705,102,message_1732,,2026-05-02 10:12:00,2026-03-14 18:54:00
853,user_id_4526,981,138,message_4539,,2026-10-30 20:17:00,2026-03-08 08:39:00
433,user_id_2218,564,262,message_5270,,2026-07-16 05:57:00,2026-03-25 21:29:00
86,user_id_5164,693,436,message_3346,,2026-10-02 15:04:00,2026-11-20 08:17:00
649,user_id_4156,732,382,message_9379,,2026-11-06 14:26:00,2026-03-20 19:50:00
445,user_id_7208,27,988,message_5055,,2026-02-09 17:07:00,2026-09-30 12:43:00
562,user_id_7664,68,338,message_2457,,2026-07-05 19:49:00,2026-05-20 13:55:00
818,user_id_4698,281,11,message_2604,,2026-07-13 16:24:00,2026-02-23 12:11:00
540,user_id_6022,603,842,message_9021,,2026-02-19 01:22:00,2026-12-26 03:55:00
289,user_id_5440,623,102,message_1785,,2026-03-29 19:48:00,2026-07-19 14:22:00
826,user_id_9711,565,609,message_7597,,2026-09-03 03:08:00,2026-05-13 09:43:00
526,user_id_3547,674,130,message_3337,,2026-07-14 03:47:00,2026-05-17 10:58:00
743,user_id_7064,725,797,message_5081,,2026-12-15 04:26:00,2026-12-28 23:11:00
450,user_id_6799,818,480,message_9228,,2026-05-27 17:27:00,2026-09-25 07:56:00
946,user_id_4748,313,651,message_2424,,2026-06-06 22:49:00,2026-06-10 11:40:00
82,user_id_2256,748,246,message_2534,,2026-03-27 03:03:00,2026-02-14 08:18:00
568,user_id_9074,828,896,message_1175,,2026-08-07 06:32:00,2026-03-12 00:31:00
528,user_id_9722,715,128,message_7643,,2026-01-09 04:12:00,2026-01-05 07:27:00
720,user_id_9754,768,354,message_5001,,2026-12-06 01:43:00,2026-11-08 10:38:00
460,user_id_3761,691,953,message_9577,,2026-04-26 14:04:00,2026-07-07 13:32:00
362,user_id_1834,433,508,message_7211,,2026-03-29 20:07:00,2026-06-24 06:15:00
852,user_id_9832,872,785,message_2931,,2026-05-29 18:30:00,2026-05-31 17:13:00
3,user_id_7449,223,946,message_5994,,2026-11-27 01:52:00,2026-01-19 23:57:00
633,user_id_8999,59,365,message_1096,,2026-11-12 23:21:00,2026-06-02 20:06:00
6,user_id_6729,912,740,message_4050,,2026-07-25 20:00:00,2026-02-21 22:31:00
203,user_id_2388,542,527,message_3518,,2026-07-30 12:58:00,2026-09-07 09:09:00
788,user_id_5098,232,482,message_7477,,2026-07-11 18:23:00,2026-08-08 14:34:00
832,user_id_5415,112,450,message_8198,,2026-03-24 13:22:00,2026-08-11 09:22:00
905,user_id_4251,114,195,message_5667,,2026-01-21 13:25:00,2026-08-05 08:21:00
923,user_id_1517,165,683,message_4260,,2026-09-04 06:17:00,2026-03-02 22:31:00
