request_id,cat_id,field_name_key,field_value
request_id_8614,cat_id_6224,field_name_key_2860,field_value_6694
request_id_7522,cat_id_3098,field_name_key_8925,field_value_9014
request_id_7750,cat_id_4847,field_name_key_1474,field_value_5766
request_id_5389,cat_id_9314,field_name_key_4524,field_value_7701
request_id_1996,cat_id_6295,field_name_key_5286,field_value_6203
request_id_7737,cat_id_7412,field_name_key_8240,field_value_7966
request_id_7531,cat_id_5271,field_name_key_1895,field_value_5396
request_id_8954,cat_id_4587,field_name_key_6567,field_value_1747
request_id_6054,cat_id_8334,field_name_key_7714,field_value_4625
request_id_3728,cat_id_9782,field_name_key_4378,field_value_2807
request_id_6401,cat_id_3117,field_name_key_9843,field_value_1326
request_id_1345,cat_id_7212,field_name_key_2478,field_value_6460
request_id_6778,cat_id_2039,field_name_key_1806,field_value_9497
request_id_4448,cat_id_6932,field_name_key_9773,field_value_4251
request_id_3572,cat_id_9776,field_name_key_7480,field_value_4757
request_id_5754,cat_id_3644,field_name_key_7125,field_value_6431
request_id_7773,cat_id_4532,field_name_key_5074,field_value_1223
request_id_1591,cat_id_1328,field_name_key_9627,field_value_2679
request_id_9216,cat_id_7519,field_name_key_8944,field_value_1692
request_id_3571,cat_id_5638,field_name_key_5939,field_value_1397
request_id_4768,cat_id_5051,field_name_key_1553,field_value_5463
request_id_3025,cat_id_7190,field_name_key_7565,field_value_3149
request_id_5423,cat_id_2391,field_name_key_2253,field_value_2210
request_id_9265,cat_id_7805,field_name_key_1330,field_value_1241
request_id_9875,cat_id_3487,field_name_key_2565,field_value_7408
request_id_4183,cat_id_6114,field_name_key_6303,field_value_7965
request_id_9394,cat_id_1383,field_name_key_5950,field_value_5490
request_id_8518,cat_id_4320,field_name_key_2633,field_value_5329
request_id_8723,cat_id_7169,field_name_key_5771,field_value_8037
request_id_2524,cat_id_4641,field_name_key_7657,field_value_5563
request_id_8919,cat_id_5659,field_name_key_9736,field_value_9300
request_id_5007,cat_id_7265,field_name_key_1282,field_value_9143
request_id_7449,cat_id_7106,field_name_key_9955,field_value_2774
request_id_8409,cat_id_4671,field_name_key_1407,field_value_7510
request_id_4802,cat_id_8325,field_name_key_7059,field_value_8811
request_id_2785,cat_id_6089,field_name_key_6446,field_value_3355
request_id_2370,cat_id_2562,field_name_key_3773,field_value_4402
request_id_9025,cat_id_5095,field_name_key_2374,field_value_3315
request_id_7605,cat_id_8758,field_name_key_9575,field_value_4808
request_id_1965,cat_id_9084,field_name_key_5129,field_value_7747
request_id_6102,cat_id_6535,field_name_key_3467,field_value_1598
request_id_6266,cat_id_7660,field_name_key_1091,field_value_5393
request_id_4427,cat_id_9007,field_name_key_9938,field_value_9188
request_id_6128,cat_id_4862,field_name_key_6272,field_value_8559
request_id_8913,cat_id_9428,field_name_key_2334,field_value_2721
request_id_7974,cat_id_2269,field_name_key_7155,field_value_3085
request_id_1223,cat_id_3655,field_name_key_9518,field_value_2990
request_id_3722,cat_id_4233,field_name_key_8169,field_value_2862
request_id_1639,cat_id_7949,field_name_key_9113,field_value_3797
request_id_9594,cat_id_8982,field_name_key_3291,field_value_9963
request_id_7850,cat_id_7543,field_name_key_1151,field_value_5861
request_id_2926,cat_id_8134,field_name_key_5820,field_value_5441
request_id_9560,cat_id_6281,field_name_key_7088,field_value_3718
request_id_3318,cat_id_5754,field_name_key_9572,field_value_4349
request_id_7082,cat_id_9509,field_name_key_5116,field_value_8735
request_id_8583,cat_id_4450,field_name_key_6409,field_value_3217
request_id_3690,cat_id_9591,field_name_key_8763,field_value_1160
request_id_6205,cat_id_7820,field_name_key_3936,field_value_3463
request_id_8708,cat_id_2098,field_name_key_1091,field_value_6109
request_id_4074,cat_id_4264,field_name_key_2537,field_value_9810
request_id_8513,cat_id_6423,field_name_key_2551,field_value_2001
request_id_8679,cat_id_3563,field_name_key_2093,field_value_6741
request_id_4703,cat_id_6651,field_name_key_1231,field_value_4156
request_id_5498,cat_id_5656,field_name_key_7982,field_value_6009
request_id_7017,cat_id_7607,field_name_key_5173,field_value_9864
request_id_4319,cat_id_2269,field_name_key_3497,field_value_2687
request_id_4546,cat_id_5587,field_name_key_3921,field_value_5307
request_id_2676,cat_id_3075,field_name_key_9557,field_value_7274
request_id_6409,cat_id_5542,field_name_key_8756,field_value_4429
request_id_3754,cat_id_1043,field_name_key_4798,field_value_4546
request_id_2496,cat_id_3400,field_name_key_3348,field_value_3700
