req_id,req_user_id,req_for_id,req_islead_id,req_cat_id,req_type_id,req_priority_id,req_status_id,req_loc,iscalamity,req_subj,req_desc,req_doc_link,audio_req_desc,submission_date,serviced_date,last_update_date,to_public
req_id_1431,req_user_id_9101,230,854,req_cat_id_4587,252,897,232,req_loc_8214,True,req_subj_3381,req_desc_1203,req_doc_link_5862,audio_req_desc_4992,2026-01-12 04:30:00,2026-08-13 22:35:00,2026-10-11 03:12:00,False
req_id_4048,req_user_id_9496,595,410,req_cat_id_7342,765,268,724,req_loc_6963,False,req_subj_8066,req_desc_7065,req_doc_link_6972,audio_req_desc_4845,2026-06-14 02:22:00,2026-02-10 07:08:00,2026-06-15 07:15:00,True
req_id_2583,req_user_id_9314,726,488,req_cat_id_9771,322,108,827,req_loc_4732,False,req_subj_4669,req_desc_8623,req_doc_link_5409,audio_req_desc_1871,2026-08-25 04:28:00,2026-09-13 03:27:00,2026-02-03 14:01:00,False
req_id_1942,req_user_id_6695,489,889,req_cat_id_3422,66,699,363,req_loc_2071,False,req_subj_5128,req_desc_1451,req_doc_link_9041,audio_req_desc_8058,2026-12-27 13:25:00,2026-04-22 06:28:00,2026-06-09 02:44:00,False
req_id_6415,req_user_id_4810,584,818,req_cat_id_9322,969,417,148,req_loc_9841,False,req_subj_1111,req_desc_1867,req_doc_link_6871,audio_req_desc_2960,2026-02-07 04:04:00,2026-09-29 22:46:00,2026-03-25 08:12:00,True
req_id_3938,req_user_id_3969,31,665,req_cat_id_9109,747,123,340,req_loc_2459,True,req_subj_7611,req_desc_7347,req_doc_link_7677,audio_req_desc_7247,2026-12-24 00:08:00,2026-06-25 14:06:00,2026-06-09 20:11:00,False
req_id_5128,req_user_id_9186,93,189,req_cat_id_5268,412,206,233,req_loc_6754,True,req_subj_6565,req_desc_8401,req_doc_link_2540,audio_req_desc_9583,2026-05-12 09:56:00,2026-11-07 10:35:00,2026-02-01 06:23:00,True
req_id_3760,req_user_id_1028,987,542,req_cat_id_1206,5,335,394,req_loc_6017,True,req_subj_7141,req_desc_2136,req_doc_link_3824,audio_req_desc_4088,2026-11-23 04:31:00,2026-04-05 02:13:00,2026-06-26 12:55:00,True
req_id_7130,req_user_id_3898,913,452,req_cat_id_3908,520,153,834,req_loc_8292,True,req_subj_1635,req_desc_9807,req_doc_link_2970,audio_req_desc_6106,2026-05-30 12:22:00,2026-12-16 14:37:00,2026-09-23 14:57:00,True
req_id_9153,req_user_id_4164,618,159,req_cat_id_6527,961,466,951,req_loc_9978,False,req_subj_8338,req_desc_2906,req_doc_link_2072,audio_req_desc_6543,2026-05-07 20:09:00,2026-05-04 00:12:00,2026-07-26 10:22:00,True
req_id_8871,req_user_id_2618,869,533,req_cat_id_2490,680,671,329,req_loc_9639,False,req_subj_9951,req_desc_4292,req_doc_link_5629,audio_req_desc_6248,2026-03-11 23:48:00,2026-04-12 18:40:00,2026-08-07 21:27:00,False
req_id_2349,req_user_id_9035,25,504,req_cat_id_2709,330,575,496,req_loc_7370,False,req_subj_9152,req_desc_5705,req_doc_link_1903,audio_req_desc_9643,2026-01-22 15:05:00,2026-06-08 03:47:00,2026-10-21 02:11:00,False
req_id_1785,req_user_id_9753,29,49,req_cat_id_5963,395,193,361,req_loc_9810,True,req_subj_8107,req_desc_9329,req_doc_link_9584,audio_req_desc_3921,2026-09-18 20:43:00,2026-12-24 10:58:00,2026-04-20 12:29:00,True
req_id_4630,req_user_id_6247,75,732,req_cat_id_4335,508,212,585,req_loc_1255,True,req_subj_7250,req_desc_4375,req_doc_link_2905,audio_req_desc_5758,2026-01-03 16:42:00,2026-06-19 14:24:00,2026-04-27 20:58:00,False
req_id_1733,req_user_id_3554,146,614,req_cat_id_5033,637,685,265,req_loc_7927,False,req_subj_4356,req_desc_5466,req_doc_link_7704,audio_req_desc_1167,2026-08-01 22:24:00,2026-05-23 15:52:00,2026-09-07 17:38:00,True
req_id_7479,req_user_id_1684,713,786,req_cat_id_8358,132,679,707,req_loc_4653,True,req_subj_2874,req_desc_2888,req_doc_link_3603,audio_req_desc_9004,2026-02-04 14:34:00,2026-06-17 14:47:00,2026-05-13 06:45:00,False
req_id_5666,req_user_id_9786,294,292,req_cat_id_5284,112,780,123,req_loc_7470,True,req_subj_2417,req_desc_9158,req_doc_link_4289,audio_req_desc_3082,2026-09-23 10:30:00,2026-09-03 12:07:00,2026-04-28 10:53:00,False
req_id_4022,req_user_id_2369,781,711,req_cat_id_2104,248,447,631,req_loc_7076,False,req_subj_3338,req_desc_8242,req_doc_link_1672,audio_req_desc_9251,2026-04-07 15:46:00,2026-06-12 10:36:00,2026-01-08 13:21:00,False
req_id_3875,req_user_id_6736,474,206,req_cat_id_1924,401,390,157,req_loc_5780,True,req_subj_4690,req_desc_4014,req_doc_link_4184,audio_req_desc_6503,2026-12-04 08:28:00,2026-01-13 23:04:00,2026-05-07 04:33:00,False
req_id_3639,req_user_id_3348,561,988,req_cat_id_6202,59,115,702,req_loc_2067,False,req_subj_9487,req_desc_9753,req_doc_link_1286,audio_req_desc_3783,2026-06-14 20:02:00,2026-03-15 12:43:00,2026-04-30 09:24:00,True
req_id_1957,req_user_id_7349,788,581,req_cat_id_2960,878,230,781,req_loc_1576,True,req_subj_1324,req_desc_8805,req_doc_link_7325,audio_req_desc_5627,2026-12-19 04:24:00,2026-08-20 08:15:00,2026-12-17 00:39:00,False
req_id_6654,req_user_id_8454,491,942,req_cat_id_3509,466,550,901,req_loc_6900,True,req_subj_3365,req_desc_5699,req_doc_link_3856,audio_req_desc_7364,2026-05-12 14:23:00,2026-01-11 22:51:00,2026-06-03 13:02:00,False
req_id_7723,req_user_id_9871,873,233,req_cat_id_7590,129,861,642,req_loc_6782,True,req_subj_7648,req_desc_7899,req_doc_link_7844,audio_req_desc_8546,2026-08-20 23:24:00,2026-08-26 20:21:00,2026-06-17 06:25:00,True
req_id_9682,req_user_id_4373,252,223,req_cat_id_4128,583,200,971,req_loc_6954,False,req_subj_9981,req_desc_7688,req_doc_link_7140,audio_req_desc_6028,2026-04-20 21:09:00,2026-08-29 12:34:00,2026-11-30 23:19:00,False
req_id_1833,req_user_id_4267,223,346,req_cat_id_3567,676,394,960,req_loc_9478,False,req_subj_3954,req_desc_8257,req_doc_link_1390,audio_req_desc_4382,2026-07-18 03:42:00,2026-03-30 17:47:00,2026-12-16 03:49:00,True
req_id_7584,req_user_id_4240,155,422,req_cat_id_6185,480,252,889,req_loc_3139,False,req_subj_6180,req_desc_9693,req_doc_link_1578,audio_req_desc_2590,2026-02-03 11:01:00,2026-01-05 10:21:00,2026-02-16 19:59:00,False
req_id_4326,req_user_id_3467,981,219,req_cat_id_6039,861,68,372,req_loc_6169,False,req_subj_8783,req_desc_6547,req_doc_link_3870,audio_req_desc_5747,2026-06-05 12:51:00,2026-10-15 14:57:00,2026-03-19 14:26:00,True
req_id_9721,req_user_id_7712,163,576,req_cat_id_8693,717,288,707,req_loc_5086,True,req_subj_3402,req_desc_8289,req_doc_link_2590,audio_req_desc_1645,2026-03-11 21:30:00,2026-07-15 00:10:00,2026-01-12 03:44:00,False
req_id_8224,req_user_id_3979,459,916,req_cat_id_1325,994,504,970,req_loc_6633,False,req_subj_2392,req_desc_7061,req_doc_link_2128,audio_req_desc_3903,2026-03-12 04:19:00,2026-12-13 21:58:00,2026-03-18 12:59:00,True
req_id_6254,req_user_id_5789,729,812,req_cat_id_2361,364,618,819,req_loc_9105,True,req_subj_7844,req_desc_3769,req_doc_link_6983,audio_req_desc_5140,2026-04-10 01:17:00,2026-09-24 09:31:00,2026-06-13 14:03:00,True
req_id_6023,req_user_id_5310,460,444,req_cat_id_6529,42,280,768,req_loc_8505,True,req_subj_6454,req_desc_1514,req_doc_link_3140,audio_req_desc_1174,2026-10-21 09:19:00,2026-07-14 15:57:00,2026-08-29 21:24:00,True
req_id_5428,req_user_id_7146,344,376,req_cat_id_9398,875,803,435,req_loc_7671,False,req_subj_3168,req_desc_6672,req_doc_link_5285,audio_req_desc_4160,2026-09-08 18:17:00,2026-02-12 23:58:00,2026-12-10 11:51:00,False
req_id_9336,req_user_id_2859,24,831,req_cat_id_3105,826,781,110,req_loc_4980,True,req_subj_3901,req_desc_7117,req_doc_link_2064,audio_req_desc_3523,2026-10-20 16:49:00,2026-02-14 11:00:00,2026-01-08 08:51:00,False
req_id_2153,req_user_id_3559,597,642,req_cat_id_8549,647,895,339,req_loc_2733,True,req_subj_1920,req_desc_3272,req_doc_link_4268,audio_req_desc_2329,2026-04-06 11:45:00,2026-02-16 09:27:00,2026-12-18 16:13:00,True
req_id_2301,req_user_id_7338,329,641,req_cat_id_9672,198,488,838,req_loc_4232,False,req_subj_4048,req_desc_8687,req_doc_link_5719,audio_req_desc_2003,2026-08-15 14:32:00,2026-01-04 11:11:00,2026-04-12 17:09:00,True
