comment_id,req_id,commenter_id,comment_desc,created_at,last_updated_at,isdeleted
251,req_id_8572,commenter_id_2144,comment_desc_1112,2026-01-18 06:43:00,2026-07-29 01:30:00,False
73,req_id_7833,commenter_id_5260,comment_desc_9803,2026-03-04 07:49:00,2026-11-08 05:34:00,True
450,req_id_8877,commenter_id_1979,comment_desc_5799,2026-07-24 08:49:00,2026-01-21 20:25:00,False
439,req_id_3032,commenter_id_2697,comment_desc_3391,2026-05-16 03:48:00,2026-02-28 08:10:00,False
423,req_id_6567,commenter_id_3325,comment_desc_4982,2026-09-05 15:16:00,2026-02-19 19:41:00,True
470,req_id_9053,commenter_id_5009,comment_desc_5259,2026-06-25 18:44:00,2026-08-16 19:50:00,False
717,req_id_5225,commenter_id_5510,comment_desc_1585,2026-03-13 13:33:00,2026-05-28 09:14:00,False
578,req_id_6942,commenter_id_5771,comment_desc_6024,2026-03-24 03:40:00,2026-06-07 00:45:00,False
690,req_id_5831,commenter_id_3530,comment_desc_3106,2026-03-18 04:18:00,2026-07-16 17:40:00,True
29,req_id_4467,commenter_id_5963,comment_desc_3430,2026-10-27 09:16:00,2026-07-07 08:32:00,False
489,req_id_3791,commenter_id_6639,comment_desc_3553,2026-10-29 01:20:00,2026-09-25 20:24:00,False
664,req_id_3770,commenter_id_9605,comment_desc_8897,2026-04-01 00:57:00,2026-07-14 09:42:00,True
351,req_id_4683,commenter_id_6067,comment_desc_4382,2026-04-25 13:17:00,2026-11-09 08:50:00,True
666,req_id_4226,commenter_id_6840,comment_desc_9172,2026-08-25 03:58:00,2026-11-23 09:53:00,True
760,req_id_4318,commenter_id_6956,comment_desc_1538,2026-07-25 05:06:00,2026-06-19 01:04:00,False
567,req_id_9761,commenter_id_9810,comment_desc_2301,2026-01-29 23:36:00,2026-09-25 16:15:00,False
817,req_id_3993,commenter_id_5015,comment_desc_4741,2026-12-21 07:29:00,2026-04-01 10:38:00,False
566,req_id_5546,commenter_id_2496,comment_desc_4113,2026-02-02 13:33:00,2026-06-05 10:13:00,True
250,req_id_8819,commenter_id_8606,comment_desc_2610,2026-10-02 10:20:00,2026-11-21 11:12:00,False
120,req_id_8240,commenter_id_2366,comment_desc_8799,2026-04-12 12:34:00,2026-10-29 15:38:00,False
308,req_id_1157,commenter_id_8041,comment_desc_2827,2026-08-16 05:12:00,2026-10-30 05:39:00,False
1,req_id_5124,commenter_id_7671,comment_desc_5435,2026-09-11 05:11:00,2026-06-19 01:30:00,False
975,req_id_5909,commenter_id_5328,comment_desc_9719,2026-05-08 19:17:00,2026-12-15 02:32:00,False
641,req_id_8209,commenter_id_2826,comment_desc_3984,2026-09-07 09:20:00,2026-09-19 00:31:00,True
184,req_id_2074,commenter_id_8078,comment_desc_5991,2026-02-18 23:21:00,2026-11-24 06:34:00,True
199,req_id_2781,commenter_id_4797,comment_desc_4493,2026-06-08 01:19:00,2026-06-14 01:30:00,True
