req_priority_id,req_priority,req_priority_desc,last_updated_date
404,req_priority_6039,req_priority_desc_2445,2026-06-16 18:29:00
111,req_priority_6353,req_priority_desc_6370,2026-04-14 12:13:00
747,req_priority_3842,req_priority_desc_6998,2026-11-14 15:52:00
430,req_priority_8796,req_priority_desc_9593,2026-02-19 16:51:00
437,req_priority_8329,req_priority_desc_6198,2026-01-24 09:39:00
273,req_priority_3452,req_priority_desc_2787,2026-05-26 11:02:00
795,req_priority_6797,req_priority_desc_3905,2026-08-22 21:39:00
542,req_priority_2999,req_priority_desc_9580,2026-09-01 02:03:00
620,req_priority_3156,req_priority_desc_8831,2026-01-04 17:23:00
133,req_priority_4850,req_priority_desc_9425,2026-09-28 02:54:00
786,req_priority_6706,req_priority_desc_7589,2026-03-25 13:59:00
339,req_priority_8014,req_priority_desc_7817,2026-01-30 19:55:00
792,req_priority_9297,req_priority_desc_7807,2026-08-20 02:28:00
287,req_priority_5893,req_priority_desc_3745,2026-03-13 00:45:00
346,req_priority_9359,req_priority_desc_6526,2026-12-09 17:34:00
648,req_priority_6562,req_priority_desc_7913,2026-07-06 19:50:00
730,req_priority_5719,req_priority_desc_3912,2026-09-15 13:19:00
981,req_priority_2944,req_priority_desc_2359,2026-12-21 22:21:00
27,req_priority_3230,req_priority_desc_1102,2026-01-21 10:09:00
821,req_priority_6027,req_priority_desc_7103,2026-11-24 16:37:00
663,req_priority_4802,req_priority_desc_2191,2026-05-02 13:41:00
899,req_priority_2896,req_priority_desc_6340,2026-06-12 11:13:00
6,req_priority_6308,req_priority_desc_6569,2026-09-04 10:33:00
209,req_priority_7974,req_priority_desc_3984,2026-12-16 12:18:00
311,req_priority_5659,req_priority_desc_9516,2026-09-27 04:24:00
396,req_priority_9038,req_priority_desc_3360,2026-09-14 07:59:00
228,req_priority_7931,req_priority_desc_8356,2026-11-23 23:46:00
973,req_priority_5795,req_priority_desc_7771,2026-03-19 08:00:00
133,req_priority_7001,req_priority_desc_9442,2026-12-27 14:58:00
378,req_priority_5717,req_priority_desc_4426,2026-02-06 01:13:00
825,req_priority_3832,req_priority_desc_9902,2026-02-25 08:08:00
195,req_priority_2030,req_priority_desc_3069,2026-04-14 04:09:00
900,req_priority_1116,req_priority_desc_5994,2026-11-16 11:03:00
387,req_priority_1132,req_priority_desc_2472,2026-09-24 16:26:00
269,req_priority_9020,req_priority_desc_3623,2026-04-16 07:35:00
475,req_priority_6652,req_priority_desc_1396,2026-09-30 14:49:00
483,req_priority_7619,req_priority_desc_9498,2026-12-28 11:42:00
467,req_priority_3899,req_priority_desc_3960,2026-06-30 00:29:00
329,req_priority_5265,req_priority_desc_6950,2026-10-16 05:17:00
496,req_priority_3222,req_priority_desc_7208,2026-03-22 03:02:00
334,req_priority_3333,req_priority_desc_2478,2026-09-20 06:47:00
465,req_priority_7265,req_priority_desc_4950,2026-02-22 21:03:00
563,req_priority_3976,req_priority_desc_8201,2026-03-04 05:30:00
180,req_priority_2037,req_priority_desc_8490,2026-12-18 15:12:00
454,req_priority_4559,req_priority_desc_4049,2026-01-15 19:11:00
177,req_priority_3542,req_priority_desc_4507,2026-07-30 14:06:00
751,req_priority_7997,req_priority_desc_6356,2026-12-04 03:04:00
656,req_priority_5967,req_priority_desc_4871,2026-10-12 02:09:00
243,req_priority_3728,req_priority_desc_6326,2026-12-01 20:44:00
988,req_priority_5006,req_priority_desc_9850,2026-04-15 19:35:00
963,req_priority_6047,req_priority_desc_5370,2026-08-02 12:31:00
743,req_priority_8586,req_priority_desc_9078,2026-04-23 14:51:00
403,req_priority_5748,req_priority_desc_5049,2026-01-12 03:21:00
268,req_priority_5159,req_priority_desc_9161,2026-11-10 07:46:00
120,req_priority_3956,req_priority_desc_8320,2026-11-07 03:28:00
3,req_priority_4060,req_priority_desc_3856,2026-08-14 11:10:00
57,req_priority_6424,req_priority_desc_5038,2026-12-09 04:29:00
778,req_priority_9634,req_priority_desc_9154,2026-02-27 15:31:00
725,req_priority_6355,req_priority_desc_3265,2026-10-25 02:58:00
532,req_priority_4981,req_priority_desc_3140,2026-03-18 09:51:00
692,req_priority_2614,req_priority_desc_3207,2026-07-06 21:46:00
810,req_priority_1889,req_priority_desc_9978,2026-04-07 14:02:00
905,req_priority_1728,req_priority_desc_5346,2026-10-12 00:38:00
831,req_priority_8628,req_priority_desc_9497,2026-09-16 01:55:00
583,req_priority_8182,req_priority_desc_6723,2026-12-17 15:44:00
758,req_priority_7098,req_priority_desc_9426,2026-07-02 14:15:00
653,req_priority_9765,req_priority_desc_7460,2026-02-01 10:12:00
18,req_priority_5556,req_priority_desc_5949,2026-05-01 21:41:00
84,req_priority_6254,req_priority_desc_2793,2026-08-24 11:22:00
856,req_priority_3670,req_priority_desc_4441,2026-10-20 11:01:00
798,req_priority_3444,req_priority_desc_3743,2026-10-29 08:22:00
680,req_priority_1393,req_priority_desc_2515,2026-06-05 15:30:00
284,req_priority_9378,req_priority_desc_4159,2026-01-31 04:52:00
202,req_priority_1080,req_priority_desc_7808,2026-08-29 11:13:00
704,req_priority_9189,req_priority_desc_2522,2026-11-08 12:09:00
408,req_priority_1793,req_priority_desc_3472,2026-03-19 12:13:00
162,req_priority_2934,req_priority_desc_8542,2026-07-29 23:48:00
677,req_priority_3287,req_priority_desc_1876,2026-03-01 04:49:00
764,req_priority_2462,req_priority_desc_2899,2026-02-27 21:25:00
108,req_priority_3121,req_priority_desc_3960,2026-01-22 12:39:00
739,req_priority_1522,req_priority_desc_8315,2026-03-12 08:21:00
678,req_priority_9669,req_priority_desc_8170,2026-05-08 15:59:00
638,req_priority_4507,req_priority_desc_1606,2026-06-01 03:12:00
442,req_priority_7230,req_priority_desc_6526,2026-04-18 02:00:00
677,req_priority_3930,req_priority_desc_8460,2026-12-01 06:51:00
