req_status_id,req_status,req_status_desc,last_updated_date
883,req_status_1366,req_status_desc_7755,2026-04-27 13:08:00
881,req_status_5610,req_status_desc_9700,2026-11-29 12:21:00
328,req_status_5277,req_status_desc_3598,2026-12-18 05:41:00
8,req_status_4634,req_status_desc_5676,2026-01-17 16:03:00
128,req_status_1276,req_status_desc_6950,2026-07-28 00:36:00
937,req_status_8396,req_status_desc_7038,2026-08-05 18:39:00
67,req_status_7076,req_status_desc_8255,2026-10-31 06:49:00
357,req_status_7094,req_status_desc_5670,2026-08-06 14:15:00
258,req_status_8857,req_status_desc_2743,2026-03-12 17:29:00
445,req_status_1044,req_status_desc_2811,2026-01-24 02:03:00
788,req_status_2941,req_status_desc_9424,2026-03-04 10:13:00
28,req_status_7759,req_status_desc_4765,2026-02-21 23:25:00
283,req_status_2474,req_status_desc_9011,2026-03-24 22:33:00
44,req_status_9919,req_status_desc_1215,2026-09-22 12:51:00
745,req_status_7000,req_status_desc_8336,2026-02-24 13:37:00
32,req_status_2772,req_status_desc_6615,2026-12-27 10:29:00
87,req_status_4202,req_status_desc_9329,2026-01-22 22:28:00
105,req_status_5038,req_status_desc_1882,2026-08-26 07:14:00
341,req_status_2305,req_status_desc_1783,2026-05-28 20:33:00
977,req_status_5514,req_status_desc_9061,2026-06-03 15:51:00
411,req_status_3866,req_status_desc_2871,2026-12-27 15:01:00
18,req_status_8128,req_status_desc_3977,2026-06-29 02:55:00
541,req_status_6821,req_status_desc_8320,2026-08-08 07:27:00
611,req_status_5157,req_status_desc_9129,2026-01-16 15:07:00
575,req_status_1089,req_status_desc_6468,2026-04-13 06:51:00
894,req_status_4282,req_status_desc_7595,2026-03-22 23:59:00
261,req_status_8167,req_status_desc_7449,2026-08-12 13:05:00
362,req_status_2049,req_status_desc_9595,2026-05-04 13:44:00
875,req_status_8782,req_status_desc_1310,2026-01-17 10:17:00
413,req_status_7796,req_status_desc_7972,2026-02-21 18:21:00
642,req_status_1408,req_status_desc_2111,2026-03-01 10:28:00
603,req_status_8956,req_status_desc_8657,2026-03-05 17:02:00
21,req_status_5303,req_status_desc_4865,2026-10-07 02:04:00
