req_type_id,req_type,req_type_desc,last_updated_date
740,req_type_3958,req_type_desc_1959,2026-12-19 00:23:00
253,req_type_7250,req_type_desc_1728,2026-06-29 12:04:00
486,req_type_2287,req_type_desc_7921,2026-12-17 08:03:00
233,req_type_9811,req_type_desc_7469,2026-04-17 22:20:00
255,req_type_7730,req_type_desc_3060,2026-02-22 01:37:00
267,req_type_6368,req_type_desc_7101,2026-11-03 10:24:00
498,req_type_1125,req_type_desc_1805,2026-01-14 04:41:00
667,req_type_5933,req_type_desc_3226,2026-06-03 01:37:00
257,req_type_3931,req_type_desc_1769,2026-05-31 21:24:00
699,req_type_5488,req_type_desc_8125,2026-08-10 00:26:00
52,req_type_6355,req_type_desc_8140,2026-05-15 14:00:00
840,req_type_6091,req_type_desc_6156,2026-08-05 20:31:00
775,req_type_8259,req_type_desc_6569,2026-10-03 09:36:00
462,req_type_6054,req_type_desc_6225,2026-04-24 15:50:00
519,req_type_1473,req_type_desc_7965,2026-03-08 16:54:00
802,req_type_7054,req_type_desc_5228,2026-07-27 21:50:00
134,req_type_4019,req_type_desc_7860,2026-06-23 07:18:00
56,req_type_2776,req_type_desc_7496,2026-11-20 19:38:00
623,req_type_6685,req_type_desc_4750,2026-01-28 09:44:00
955,req_type_7971,req_type_desc_3625,2026-04-06 12:11:00
156,req_type_5818,req_type_desc_3966,2026-08-20 22:56:00
490,req_type_8765,req_type_desc_6089,2026-07-25 13:48:00
324,req_type_2103,req_type_desc_7392,2026-01-15 12:05:00
182,req_type_5602,req_type_desc_2637,2026-02-17 20:58:00
996,req_type_9247,req_type_desc_5115,2026-10-02 01:40:00
398,req_type_1982,req_type_desc_1100,2026-10-02 09:06:00
486,req_type_9458,req_type_desc_7489,2026-09-05 07:31:00
573,req_type_3094,req_type_desc_4209,2026-02-10 14:36:00
610,req_type_6871,req_type_desc_8275,2026-01-07 17:28:00
139,req_type_7693,req_type_desc_5310,2026-03-27 05:51:00
436,req_type_2247,req_type_desc_3412,2026-02-26 14:03:00
209,req_type_9663,req_type_desc_5116,2026-04-29 08:48:00
906,req_type_8843,req_type_desc_6605,2026-04-27 22:22:00
714,req_type_7322,req_type_desc_9721,2026-01-25 23:35:00
359,req_type_3765,req_type_desc_7037,2026-05-17 01:11:00
318,req_type_3095,req_type_desc_3021,2026-12-11 02:44:00
770,req_type_4810,req_type_desc_9248,2026-06-16 17:23:00
817,req_type_5396,req_type_desc_1772,2026-01-18 06:27:00
261,req_type_6005,req_type_desc_7019,2026-05-28 05:29:00
347,req_type_3386,req_type_desc_4224,2026-02-09 12:08:00
968,req_type_4171,req_type_desc_3525,2027-01-01 23:18:00
789,req_type_9802,req_type_desc_9048,2026-12-17 04:46:00
836,req_type_2390,req_type_desc_8385,2026-08-13 21:48:00
212,req_type_4979,req_type_desc_5808,2026-11-28 05:43:00
761,req_type_3725,req_type_desc_9016,2026-03-28 09:12:00
889,req_type_9829,req_type_desc_7217,2026-12-17 14:52:00
75,req_type_8778,req_type_desc_6793,2027-01-01 09:41:00
556,req_type_1995,req_type_desc_2102,2026-11-07 21:15:00
847,req_type_1683,req_type_desc_5176,2026-06-19 07:40:00
200,req_type_1543,req_type_desc_7334,2026-11-08 16:20:00
737,req_type_9934,req_type_desc_9241,2026-03-16 17:39:00
916,req_type_4759,req_type_desc_6423,2026-04-28 18:00:00
