sla_id,sla_hours,sla_description,no_of_cust_impct,last_updated_date
243,130,sla_description_1364,966,2026-02-14 13:27:00
903,719,sla_description_6873,466,2026-11-21 01:36:00
573,851,sla_description_4060,390,2026-01-08 18:05:00
567,876,sla_description_1095,780,2026-10-20 20:59:00
143,964,sla_description_2193,803,2026-08-25 20:21:00
523,322,sla_description_2929,472,2026-09-07 23:18:00
724,93,sla_description_3260,500,2026-06-01 21:38:00
190,803,sla_description_2222,99,2026-10-06 06:51:00
855,661,sla_description_3370,288,2026-02-18 04:45:00
607,413,sla_description_3257,447,2026-05-17 14:10:00
145,618,sla_description_8823,343,2026-09-21 03:04:00
461,55,sla_description_5330,739,2026-07-07 17:58:00
136,108,sla_description_6678,698,2026-05-31 20:31:00
854,856,sla_description_1743,327,2026-08-12 01:08:00
3,866,sla_description_3318,130,2026-07-08 00:53:00
1,728,sla_description_1295,961,2026-01-26 11:40:00
409,225,sla_description_6606,420,2026-05-21 10:29:00
176,217,sla_description_3228,286,2026-08-29 14:32:00
167,942,sla_description_6375,909,2026-05-24 09:03:00
92,498,sla_description_9522,668,2026-09-22 14:10:00
706,269,sla_description_8415,247,2026-02-16 13:26:00
75,399,sla_description_9884,947,2026-07-11 09:30:00
68,61,sla_description_6757,966,2026-10-16 05:44:00
772,972,sla_description_1966,94,2026-03-02 03:23:00
999,2,sla_description_3916,865,2026-08-26 12:52:00
673,89,sla_description_6160,191,2026-08-07 11:47:00
902,45,sla_description_6942,233,2026-08-14 10:52:00
584,140,sla_description_4270,45,2026-01-17 23:04:00
830,441,sla_description_6143,697,2026-01-08 09:30:00
263,928,sla_description_2419,899,2026-09-17 03:50:00
320,576,sla_description_6361,716,2026-05-31 16:51:00
662,145,sla_description_9550,480,2026-08-01 03:35:00
587,219,sla_description_7752,353,2026-03-10 04:16:00
286,980,sla_description_8736,785,2026-03-01 22:53:00
751,91,sla_description_9432,948,2026-03-15 00:12:00
825,319,sla_description_9821,85,2026-04-21 08:49:00
73,37,sla_description_5224,341,2026-01-24 13:22:00
794,575,sla_description_7607,228,2026-12-17 14:04:00
480,914,sla_description_5862,219,2026-07-04 23:16:00
537,783,sla_description_4964,346,2026-03-19 22:33:00
62,416,sla_description_5472,559,2026-08-11 10:47:00
440,459,sla_description_4174,603,2026-10-08 16:45:00
258,913,sla_description_5908,954,2026-10-06 01:12:00
561,311,sla_description_3897,326,2026-04-27 21:58:00
817,930,sla_description_5881,416,2026-03-13 02:03:00
339,343,sla_description_1869,457,2026-08-16 17:45:00
52,403,sla_description_6899,460,2026-11-14 19:22:00
82,373,sla_description_7505,164,2026-04-17 03:11:00
747,845,sla_description_1159,609,2026-01-19 02:59:00
342,924,sla_description_6317,110,2026-01-23 00:40:00
717,317,sla_description_1451,683,2026-11-04 12:56:00
240,103,sla_description_2365,103,2026-08-26 01:24:00
98,616,sla_description_1312,146,2026-06-18 18:45:00
966,456,sla_description_7374,56,2026-12-19 07:11:00
173,650,sla_description_1389,416,2026-11-14 20:58:00
240,323,sla_description_5391,716,2026-02-13 06:11:00
1,915,sla_description_2354,683,2026-03-11 14:28:00
923,322,sla_description_6854,893,2026-01-31 09:10:00
881,428,sla_description_1831,81,2026-06-13 12:21:00
220,884,sla_description_3999,929,2026-06-28 05:43:00
703,603,sla_description_5253,451,2026-11-22 04:21:00
33,449,sla_description_5628,45,2026-09-10 12:48:00
454,722,sla_description_4133,865,2026-03-08 23:38:00
564,51,sla_description_6797,726,2026-10-31 06:23:00
660,29,sla_description_4778,683,2026-02-03 10:00:00
403,295,sla_description_4542,994,2026-06-06 08:00:00
209,707,sla_description_2941,4,2026-05-23 20:08:00
961,33,sla_description_4514,439,2026-01-25 01:39:00
716,996,sla_description_5656,66,2026-02-07 02:19:00
642,629,sla_description_2536,979,2026-04-25 05:21:00
902,631,sla_description_3855,983,2026-10-07 20:22:00
779,769,sla_description_4991,932,2026-07-12 06:36:00
349,151,sla_description_1748,371,2026-07-18 11:02:00
61,418,sla_description_8977,584,2026-10-23 09:41:00
20,408,sla_description_8020,966,2026-10-08 10:04:00
560,397,sla_description_8196,489,2026-05-15 10:49:00
713,917,sla_description_4958,491,2026-09-14 17:44:00
697,129,sla_description_4568,679,2026-04-11 03:54:00
296,315,sla_description_7143,883,2026-04-26 09:00:00
403,503,sla_description_8511,387,2026-03-22 19:20:00
9,224,sla_description_3632,649,2026-06-28 09:04:00
506,218,sla_description_7217,321,2026-05-11 13:57:00
401,189,sla_description_5683,109,2026-08-25 02:16:00
189,597,sla_description_2001,643,2026-04-07 06:36:00
720,798,sla_description_3448,225,2026-04-24 18:21:00
877,98,sla_description_2142,16,2026-01-18 03:02:00
659,917,sla_description_7910,860,2026-12-13 10:22:00
251,6,sla_description_9863,570,2026-08-01 01:16:00
249,15,sla_description_3481,908,2026-03-01 11:24:00
403,455,sla_description_4603,814,2026-03-12 04:59:00
7,289,sla_description_6480,981,2026-08-22 19:48:00
898,577,sla_description_9897,462,2026-06-16 03:55:00
191,90,sla_description_3801,608,2026-10-31 22:19:00
172,405,sla_description_1760,237,2026-05-04 22:42:00
824,904,sla_description_3935,817,2026-01-06 07:09:00
469,379,sla_description_6795,534,2026-04-06 11:16:00
474,475,sla_description_1404,712,2026-11-02 13:00:00
930,456,sla_description_2876,94,2026-06-26 14:14:00
731,770,sla_description_1100,186,2026-04-07 22:44:00
981,173,sla_description_2621,663,2026-11-09 08:42:00
