state_id,country_id,state_name,state_code,last_update_date
state_id_3800,70,state_name_6776,state_code_9592,2026-03-06 01:36:00
state_id_9009,741,state_name_1070,state_code_6997,2026-10-17 12:27:00
state_id_2743,792,state_name_2836,state_code_9243,2026-08-12 15:34:00
state_id_7085,341,state_name_2336,state_code_6127,2026-10-20 08:29:00
state_id_8707,172,state_name_2543,state_code_7254,2026-10-13 01:02:00
state_id_1824,769,state_name_6565,state_code_4872,2026-09-04 02:48:00
state_id_4538,69,state_name_9970,state_code_7151,2026-11-08 13:32:00
state_id_8857,921,state_name_3824,state_code_9340,2026-05-22 19:56:00
state_id_6095,888,state_name_1875,state_code_2572,2026-09-21 13:10:00
state_id_8811,167,state_name_1019,state_code_1884,2026-04-02 02:13:00
state_id_5825,550,state_name_3088,state_code_4746,2026-03-12 06:09:00
state_id_1969,259,state_name_2452,state_code_5545,2026-05-24 00:17:00
state_id_4463,749,state_name_3157,state_code_9599,2026-02-26 11:26:00
state_id_6896,592,state_name_4215,state_code_1167,2026-12-11 13:47:00
state_id_1213,131,state_name_1591,state_code_4405,2026-01-26 17:59:00
state_id_3445,225,state_name_3149,state_code_3139,2026-08-14 00:22:00
state_id_3083,713,state_name_2691,state_code_4992,2026-07-11 07:12:00
state_id_1678,921,state_name_3140,state_code_9246,2026-02-17 22:21:00
state_id_1770,417,state_name_5152,state_code_7485,2026-04-11 09:43:00
state_id_1941,353,state_name_4781,state_code_8208,2026-08-22 23:22:00
state_id_7518,925,state_name_2572,state_code_9802,2026-04-25 13:49:00
state_id_2163,701,state_name_1375,state_code_3652,2026-11-03 11:26:00
state_id_2212,481,state_name_5891,state_code_7195,2026-11-08 10:55:00
state_id_3607,597,state_name_9698,state_code_4574,2026-03-03 09:16:00
state_id_5062,863,state_name_9867,state_code_5520,2026-02-05 04:24:00
state_id_7420,167,state_name_3471,state_code_2329,2026-04-14 12:26:00
state_id_8976,15,state_name_9209,state_code_1915,2026-07-07 21:35:00
state_id_7038,993,state_name_7843,state_code_7443,2026-08-24 10:24:00
