language_id,language_name,iso_639_1_code,locale_code,writing_direction,total_speakers_m,is_active,created_at,last_updated_at
583,language_name_2191,iso_639_1_code_3855,locale_code_2102,writing_direction_7034,,True,,2026-08-09 08:17:00
74,language_name_2269,iso_639_1_code_6606,locale_code_6405,writing_direction_8016,,False,,2026-01-10 03:59:00
687,language_name_2496,iso_639_1_code_7159,locale_code_4465,writing_direction_6259,,False,,2026-10-09 00:22:00
825,language_name_4028,iso_639_1_code_1986,locale_code_8817,writing_direction_1008,,True,,2026-01-10 17:10:00
446,language_name_3593,iso_639_1_code_1244,locale_code_2165,writing_direction_9128,,True,,2026-03-12 08:42:00
92,language_name_3452,iso_639_1_code_6037,locale_code_2200,writing_direction_4306,,True,,2026-08-10 04:25:00
474,language_name_9715,iso_639_1_code_8436,locale_code_7651,writing_direction_1595,,False,,2026-04-21 11:10:00
437,language_name_9037,iso_639_1_code_8927,locale_code_4790,writing_direction_2309,,True,,2026-03-09 23:41:00
399,language_name_1463,iso_639_1_code_8542,locale_code_6556,writing_direction_9690,,False,,2026-11-30 02:26:00
361,language_name_4886,iso_639_1_code_4407,locale_code_6058,writing_direction_4326,,True,,2026-11-05 11:40:00
789,language_name_7262,iso_639_1_code_6387,locale_code_6058,writing_direction_4086,,True,,2026-09-21 06:46:00
805,language_name_6486,iso_639_1_code_3976,locale_code_4820,writing_direction_3042,,True,,2026-01-24 14:07:00
601,language_name_2134,iso_639_1_code_6766,locale_code_1385,writing_direction_6719,,False,,2026-07-13 17:18:00
577,language_name_8472,iso_639_1_code_5654,locale_code_8863,writing_direction_1112,,True,,2026-01-01 13:26:00
992,language_name_8606,iso_639_1_code_7482,locale_code_6016,writing_direction_6065,,False,,2026-09-12 21:19:00
587,language_name_8337,iso_639_1_code_8375,locale_code_6071,writing_direction_2458,,False,,2026-04-14 21:56:00
356,language_name_7989,iso_639_1_code_1553,locale_code_5209,writing_direction_6416,,True,,2026-01-12 22:15:00
362,language_name_6156,iso_639_1_code_4614,locale_code_8704,writing_direction_4263,,True,,2026-10-30 08:24:00
999,language_name_5462,iso_639_1_code_7989,locale_code_4055,writing_direction_8608,,False,,2026-02-10 12:56:00
651,language_name_6867,iso_639_1_code_3250,locale_code_7228,writing_direction_4649,,False,,2026-04-16 10:44:00
380,language_name_8634,iso_639_1_code_1130,locale_code_3936,writing_direction_7029,,False,,2026-02-26 14:33:00
165,language_name_8580,iso_639_1_code_7775,locale_code_4381,writing_direction_7988,,False,,2026-05-01 11:54:00
322,language_name_5751,iso_639_1_code_9593,locale_code_6495,writing_direction_7446,,False,,2026-05-25 22:42:00
446,language_name_5063,iso_639_1_code_5891,locale_code_6413,writing_direction_5288,,False,,2026-04-24 18:45:00
264,language_name_2195,iso_639_1_code_6002,locale_code_2987,writing_direction_7480,,True,,2026-11-08 16:53:00
723,language_name_5234,iso_639_1_code_5518,locale_code_8387,writing_direction_5670,,True,,2026-10-22 17:56:00
420,language_name_5322,iso_639_1_code_1281,locale_code_9615,writing_direction_3807,,True,,2026-04-25 10:37:00
337,language_name_9200,iso_639_1_code_7883,locale_code_3102,writing_direction_8815,,True,,2026-10-23 06:52:00
546,language_name_9558,iso_639_1_code_5417,locale_code_2634,writing_direction_5082,,True,,2026-02-23 09:57:00
779,language_name_8299,iso_639_1_code_3114,locale_code_2002,writing_direction_3839,,True,,2026-09-03 10:30:00
335,language_name_5937,iso_639_1_code_9496,locale_code_6697,writing_direction_4157,,False,,2026-11-20 07:50:00
423,language_name_7070,iso_639_1_code_6516,locale_code_8743,writing_direction_3161,,True,,2026-01-20 16:00:00
44,language_name_5944,iso_639_1_code_5557,locale_code_8091,writing_direction_5987,,False,,2026-02-02 13:46:00
626,language_name_4660,iso_639_1_code_1894,locale_code_1448,writing_direction_3317,,False,,2026-02-24 13:49:00
118,language_name_4342,iso_639_1_code_8560,locale_code_6461,writing_direction_7446,,False,,2026-09-29 07:38:00
402,language_name_4118,iso_639_1_code_6419,locale_code_6527,writing_direction_8722,,True,,2026-10-12 22:51:00
81,language_name_4578,iso_639_1_code_2126,locale_code_5277,writing_direction_6906,,False,,2026-04-07 17:44:00
336,language_name_7497,iso_639_1_code_7355,locale_code_4625,writing_direction_2386,,True,,2026-04-26 02:35:00
380,language_name_1787,iso_639_1_code_4353,locale_code_5859,writing_direction_4007,,True,,2026-07-28 14:59:00
687,language_name_3223,iso_639_1_code_1548,locale_code_5074,writing_direction_4193,,False,,2026-08-23 18:11:00
272,language_name_7661,iso_639_1_code_4406,locale_code_2765,writing_direction_1306,,False,,2026-04-30 06:28:00
732,language_name_7810,iso_639_1_code_9264,locale_code_7492,writing_direction_9851,,True,,2026-01-18 02:50:00
924,language_name_6141,iso_639_1_code_3307,locale_code_5597,writing_direction_7249,,True,,2026-03-21 05:05:00
663,language_name_8983,iso_639_1_code_8178,locale_code_5686,writing_direction_2055,,False,,2026-05-15 15:02:00
310,language_name_4405,iso_639_1_code_6218,locale_code_1957,writing_direction_3542,,True,,2026-10-02 20:03:00
168,language_name_3653,iso_639_1_code_5592,locale_code_7916,writing_direction_7403,,False,,2026-04-03 23:48:00
345,language_name_3612,iso_639_1_code_4259,locale_code_4293,writing_direction_3186,,True,,2026-11-16 16:00:00
140,language_name_1266,iso_639_1_code_3202,locale_code_6409,writing_direction_7574,,True,,2026-04-21 15:56:00
11,language_name_4763,iso_639_1_code_1359,locale_code_4595,writing_direction_4232,,False,,2026-07-29 23:28:00
70,language_name_3012,iso_639_1_code_8008,locale_code_8475,writing_direction_6983,,True,,2026-08-13 22:09:00
795,language_name_8837,iso_639_1_code_6691,locale_code_6164,writing_direction_5081,,True,,2026-03-30 17:41:00
380,language_name_4450,iso_639_1_code_1918,locale_code_2281,writing_direction_3835,,True,,2026-10-26 02:49:00
265,language_name_8989,iso_639_1_code_3795,locale_code_4850,writing_direction_1475,,True,,2026-05-20 07:58:00
974,language_name_3159,iso_639_1_code_1764,locale_code_3081,writing_direction_9850,,False,,2026-08-23 11:51:00
596,language_name_1268,iso_639_1_code_2488,locale_code_8441,writing_direction_3671,,True,,2026-12-05 13:18:00
54,language_name_7116,iso_639_1_code_1958,locale_code_8198,writing_direction_7776,,False,,2026-12-06 02:29:00
748,language_name_2664,iso_639_1_code_8803,locale_code_9113,writing_direction_6261,,False,,2026-07-31 12:39:00
806,language_name_3996,iso_639_1_code_5320,locale_code_1819,writing_direction_7329,,False,,2026-11-25 02:14:00
550,language_name_8220,iso_639_1_code_3524,locale_code_8686,writing_direction_3430,,False,,2026-09-16 11:11:00
160,language_name_6188,iso_639_1_code_1657,locale_code_6623,writing_direction_7312,,False,,2026-10-01 18:45:00
261,language_name_9308,iso_639_1_code_3415,locale_code_5053,writing_direction_8953,,True,,2026-11-18 15:28:00
588,language_name_2250,iso_639_1_code_4052,locale_code_2633,writing_direction_3129,,True,,2026-02-14 10:07:00
544,language_name_8502,iso_639_1_code_9413,locale_code_1687,writing_direction_4861,,False,,2026-12-20 02:26:00
827,language_name_1819,iso_639_1_code_2211,locale_code_8445,writing_direction_1810,,False,,2026-05-31 07:02:00
818,language_name_4695,iso_639_1_code_3474,locale_code_6775,writing_direction_2696,,False,,2026-12-22 20:11:00
613,language_name_6215,iso_639_1_code_2792,locale_code_9093,writing_direction_2671,,True,,2026-03-31 13:57:00
505,language_name_7353,iso_639_1_code_5170,locale_code_5092,writing_direction_4609,,False,,2026-04-04 14:01:00
370,language_name_5739,iso_639_1_code_3451,locale_code_3364,writing_direction_2851,,False,,2026-04-01 21:43:00
329,language_name_5270,iso_639_1_code_7266,locale_code_4151,writing_direction_4199,,True,,2026-12-22 02:52:00
201,language_name_4315,iso_639_1_code_5749,locale_code_5823,writing_direction_5948,,False,,2026-01-10 18:32:00
861,language_name_9496,iso_639_1_code_9177,locale_code_9332,writing_direction_6416,,True,,2026-05-19 23:01:00
824,language_name_3723,iso_639_1_code_1169,locale_code_7130,writing_direction_7185,,False,,2026-02-07 04:49:00
896,language_name_6131,iso_639_1_code_4104,locale_code_8343,writing_direction_9140,,False,,2026-11-17 07:57:00
187,language_name_7508,iso_639_1_code_7998,locale_code_4427,writing_direction_3620,,False,,2026-08-01 16:17:00
190,language_name_8411,iso_639_1_code_9159,locale_code_8768,writing_direction_6224,,True,,2026-03-23 20:36:00
158,language_name_1287,iso_639_1_code_7854,locale_code_2319,writing_direction_7543,,False,,2026-10-05 11:09:00
829,language_name_3192,iso_639_1_code_1455,locale_code_7043,writing_direction_3583,,True,,2026-10-31 18:07:00
74,language_name_6285,iso_639_1_code_7725,locale_code_4577,writing_direction_1688,,True,,2026-10-30 19:20:00
776,language_name_7590,iso_639_1_code_4810,locale_code_8141,writing_direction_5003,,False,,2026-12-10 08:51:00
158,language_name_7694,iso_639_1_code_3823,locale_code_5860,writing_direction_3947,,True,,2026-08-09 21:04:00
344,language_name_5246,iso_639_1_code_9427,locale_code_1443,writing_direction_6564,,True,,2026-04-10 15:46:00
110,language_name_4654,iso_639_1_code_9819,locale_code_1662,writing_direction_1714,,False,,2026-10-22 02:54:00
872,language_name_4677,iso_639_1_code_3572,locale_code_2052,writing_direction_2371,,True,,2026-03-19 12:53:00
178,language_name_2249,iso_639_1_code_7096,locale_code_5850,writing_direction_9378,,True,,2026-12-31 20:34:00
158,language_name_8134,iso_639_1_code_9903,locale_code_7834,writing_direction_9778,,False,,2026-07-25 18:57:00
9,language_name_2703,iso_639_1_code_2797,locale_code_9697,writing_direction_6352,,False,,2026-10-13 02:03:00
399,language_name_6067,iso_639_1_code_6006,locale_code_3188,writing_direction_1015,,True,,2026-07-18 14:36:00
951,language_name_9232,iso_639_1_code_9156,locale_code_8245,writing_direction_9592,,False,,2026-05-06 19:33:00
336,language_name_7352,iso_639_1_code_7581,locale_code_5616,writing_direction_7542,,False,,2026-03-03 04:27:00
742,language_name_3118,iso_639_1_code_4566,locale_code_5852,writing_direction_3953,,True,,2026-11-09 13:45:00
953,language_name_8145,iso_639_1_code_3372,locale_code_3933,writing_direction_2230,,True,,2026-04-04 09:19:00
707,language_name_2047,iso_639_1_code_1745,locale_code_5658,writing_direction_3672,,False,,2026-09-30 15:50:00
996,language_name_2847,iso_639_1_code_5610,locale_code_8956,writing_direction_9373,,True,,2026-02-17 00:55:00
630,language_name_8315,iso_639_1_code_3513,locale_code_7656,writing_direction_5549,,True,,2026-11-30 14:32:00
716,language_name_4263,iso_639_1_code_2816,locale_code_1326,writing_direction_1934,,True,,2026-08-10 22:26:00
22,language_name_3754,iso_639_1_code_1034,locale_code_2022,writing_direction_1088,,False,,2026-04-12 08:10:00
553,language_name_6515,iso_639_1_code_4168,locale_code_9912,writing_direction_7488,,True,,2026-02-19 09:20:00
647,language_name_1760,iso_639_1_code_6351,locale_code_3940,writing_direction_5426,,True,,2026-09-29 16:35:00
727,language_name_1031,iso_639_1_code_6820,locale_code_3651,writing_direction_7847,,True,,2026-12-05 03:49:00
627,language_name_2023,iso_639_1_code_1977,locale_code_8390,writing_direction_7522,,False,,2026-03-25 23:48:00
