user_category_id,user_category,user_category_desc,last_update_date,user_access_level,category_code,is_deprecated,permissions
664,user_category_5667,user_category_desc_8645,2026-09-26 19:55:00,374,category_code_1154,True,{}
79,user_category_4375,user_category_desc_8168,2026-06-24 16:21:00,543,category_code_3713,True,{}
24,user_category_8742,user_category_desc_3727,2026-10-14 01:43:00,889,category_code_8268,True,{}
483,user_category_3254,user_category_desc_8667,2026-11-03 10:45:00,233,category_code_8666,True,{}
969,user_category_7807,user_category_desc_2733,2026-08-07 09:35:00,707,category_code_9388,True,{}
798,user_category_8700,user_category_desc_3533,2026-03-08 15:43:00,611,category_code_7294,False,{}
493,user_category_9034,user_category_desc_2976,2026-10-02 15:31:00,347,category_code_4714,True,{}
459,user_category_7868,user_category_desc_2737,2026-01-04 14:51:00,294,category_code_9962,True,{}
690,user_category_9995,user_category_desc_7002,2026-06-30 23:55:00,994,category_code_9200,True,{}
16,user_category_3780,user_category_desc_5208,2026-12-09 18:12:00,818,category_code_3211,True,{}
898,user_category_7475,user_category_desc_4051,2026-03-25 12:25:00,600,category_code_1623,False,{}
617,user_category_7265,user_category_desc_6773,2026-08-22 17:25:00,683,category_code_8735,True,{}
399,user_category_8249,user_category_desc_6841,2026-02-03 22:39:00,707,category_code_2939,True,{}
592,user_category_6974,user_category_desc_3327,2026-02-15 19:03:00,754,category_code_2891,False,{}
917,user_category_5885,user_category_desc_3378,2026-07-18 11:00:00,492,category_code_1158,True,{}
203,user_category_6963,user_category_desc_1760,2026-11-30 01:49:00,265,category_code_3564,False,{}
869,user_category_4471,user_category_desc_2843,2026-11-15 02:55:00,228,category_code_3243,False,{}
555,user_category_5797,user_category_desc_9247,2026-02-03 16:01:00,11,category_code_5938,True,{}
757,user_category_7964,user_category_desc_2222,2026-01-08 19:54:00,235,category_code_1767,True,{}
104,user_category_7034,user_category_desc_2167,2026-07-14 00:46:00,374,category_code_7359,False,{}
414,user_category_5015,user_category_desc_4786,2026-12-09 04:55:00,338,category_code_4812,False,{}
564,user_category_2486,user_category_desc_2531,2026-01-02 19:01:00,840,category_code_2941,False,{}
934,user_category_9170,user_category_desc_7891,2026-05-13 13:31:00,518,category_code_7954,True,{}
328,user_category_8740,user_category_desc_5043,2026-10-10 19:20:00,763,category_code_2821,True,{}
560,user_category_2251,user_category_desc_8357,2026-09-10 19:51:00,101,category_code_3195,True,{}
607,user_category_7096,user_category_desc_9155,2026-09-17 12:21:00,371,category_code_5253,True,{}
386,user_category_1747,user_category_desc_8567,2026-03-24 16:46:00,393,category_code_1309,True,{}
303,user_category_5795,user_category_desc_8129,2026-07-09 17:27:00,792,category_code_8578,False,{}
145,user_category_1600,user_category_desc_6867,2026-02-03 23:06:00,28,category_code_8547,True,{}
63,user_category_9192,user_category_desc_8599,2026-03-04 20:24:00,825,category_code_5318,False,{}
545,user_category_4766,user_category_desc_8883,2026-12-08 08:03:00,222,category_code_2600,False,{}
326,user_category_6028,user_category_desc_4739,2026-09-29 09:49:00,191,category_code_8246,False,{}
842,user_category_2194,user_category_desc_5943,2026-09-15 19:45:00,471,category_code_3966,False,{}
52,user_category_3654,user_category_desc_3830,2026-06-20 17:49:00,770,category_code_7462,False,{}
152,user_category_8387,user_category_desc_4046,2026-10-13 01:53:00,308,category_code_1748,False,{}
427,user_category_8022,user_category_desc_5107,2026-03-11 09:28:00,669,category_code_7180,True,{}
148,user_category_8835,user_category_desc_2107,2026-12-28 15:21:00,214,category_code_9986,False,{}
488,user_category_7841,user_category_desc_3266,2026-07-04 04:08:00,224,category_code_9667,False,{}
740,user_category_9256,user_category_desc_8785,2026-11-07 10:26:00,918,category_code_1494,False,{}
530,user_category_9574,user_category_desc_7445,2026-10-31 06:14:00,181,category_code_1942,False,{}
799,user_category_7070,user_category_desc_4855,2026-05-13 09:22:00,808,category_code_1416,True,{}
486,user_category_4277,user_category_desc_7850,2026-02-12 19:38:00,875,category_code_8362,False,{}
975,user_category_5216,user_category_desc_1144,2026-06-10 15:43:00,672,category_code_6270,False,{}
462,user_category_1946,user_category_desc_8760,2026-09-15 04:56:00,475,category_code_9188,False,{}
353,user_category_5172,user_category_desc_3601,2026-08-12 11:37:00,722,category_code_1452,True,{}
852,user_category_9633,user_category_desc_5254,2026-03-17 14:30:00,216,category_code_7593,True,{}
467,user_category_4379,user_category_desc_3953,2026-02-01 07:11:00,180,category_code_3412,False,{}
106,user_category_2743,user_category_desc_2228,2026-08-26 20:41:00,909,category_code_9029,False,{}
622,user_category_2977,user_category_desc_9057,2026-02-24 22:10:00,59,category_code_5825,True,{}
632,user_category_9899,user_category_desc_7094,2026-02-28 18:17:00,858,category_code_7621,True,{}
34,user_category_7140,user_category_desc_3879,2026-02-23 22:37:00,9,category_code_4396,True,{}
192,user_category_1484,user_category_desc_3952,2026-08-01 03:50:00,563,category_code_1227,True,{}
912,user_category_5360,user_category_desc_4020,2026-12-14 21:17:00,508,category_code_2268,True,{}
433,user_category_9951,user_category_desc_1414,2026-02-06 23:29:00,905,category_code_1316,True,{}
826,user_category_2317,user_category_desc_7554,2026-04-10 23:56:00,798,category_code_1644,False,{}
702,user_category_1176,user_category_desc_1539,2026-05-31 03:12:00,214,category_code_4026,False,{}
856,user_category_8517,user_category_desc_4007,2026-05-10 17:24:00,592,category_code_4667,True,{}
884,user_category_8218,user_category_desc_3619,2026-10-16 17:50:00,455,category_code_8098,True,{}
938,user_category_1087,user_category_desc_9846,2026-04-25 03:02:00,760,category_code_7515,False,{}
267,user_category_1997,user_category_desc_3560,2026-06-30 04:46:00,628,category_code_6325,True,{}
716,user_category_4587,user_category_desc_4684,2026-03-07 23:44:00,162,category_code_9081,True,{}
554,user_category_2425,user_category_desc_3622,2026-10-21 12:52:00,397,category_code_4640,False,{}
668,user_category_1782,user_category_desc_5890,2026-10-16 22:03:00,129,category_code_8052,False,{}
464,user_category_7473,user_category_desc_6425,2026-03-29 23:55:00,171,category_code_5976,False,{}
211,user_category_9015,user_category_desc_5338,2026-11-17 08:40:00,601,category_code_7121,True,{}
464,user_category_1009,user_category_desc_9284,2026-10-07 22:19:00,836,category_code_1045,False,{}
767,user_category_9112,user_category_desc_6953,2026-07-31 09:10:00,46,category_code_9939,True,{}
682,user_category_2692,user_category_desc_3814,2026-11-01 10:10:00,191,category_code_2273,False,{}
796,user_category_5903,user_category_desc_4902,2026-11-14 10:17:00,266,category_code_9883,True,{}
599,user_category_4689,user_category_desc_3840,2026-03-22 20:12:00,254,category_code_4379,True,{}
7,user_category_3748,user_category_desc_5008,2026-07-03 11:02:00,158,category_code_7131,False,{}
353,user_category_1972,user_category_desc_2859,2026-11-14 08:14:00,346,category_code_5647,False,{}
816,user_category_1547,user_category_desc_4703,2026-07-28 03:32:00,833,category_code_5666,True,{}
639,user_category_4172,user_category_desc_5023,2026-04-09 14:18:00,871,category_code_5035,False,{}
942,user_category_3674,user_category_desc_7991,2026-03-09 09:51:00,551,category_code_1436,False,{}
578,user_category_9820,user_category_desc_4776,2026-03-04 13:53:00,990,category_code_5414,False,{}
93,user_category_3649,user_category_desc_1942,2026-08-16 19:48:00,613,category_code_7435,False,{}
930,user_category_3193,user_category_desc_1924,2026-03-02 13:15:00,991,category_code_9133,False,{}
203,user_category_2232,user_category_desc_8882,2026-08-24 18:37:00,381,category_code_5552,True,{}
68,user_category_1243,user_category_desc_7290,2026-04-05 04:49:00,888,category_code_5394,True,{}
580,user_category_4328,user_category_desc_8342,2026-06-26 04:50:00,101,category_code_3169,True,{}
406,user_category_8312,user_category_desc_2245,2026-12-26 16:06:00,494,category_code_7101,True,{}
