user_id,prev_loc,curr_loc,updated_at
user_id_3605,,,2026-03-30 14:55:00
user_id_6740,,,2026-01-05 12:34:00
user_id_4004,,,2026-07-01 08:50:00
user_id_7647,,,2026-03-28 18:28:00
user_id_3819,,,2026-10-10 22:12:00
user_id_5127,,,2026-04-04 05:00:00
user_id_2485,,,2026-03-28 14:15:00
user_id_5481,,,2026-02-14 18:36:00
user_id_3867,,,2026-11-01 09:50:00
user_id_1220,,,2026-11-08 07:41:00
user_id_7840,,,2026-07-21 14:53:00
user_id_8264,,,2026-01-21 13:26:00
user_id_7529,,,2026-01-01 17:58:00
user_id_6614,,,2026-01-28 03:23:00
user_id_8050,,,2026-04-10 14:04:00
user_id_8818,,,2026-05-27 05:02:00
user_id_1307,,,2026-04-30 04:04:00
user_id_1817,,,2026-02-14 03:14:00
user_id_5024,,,2026-07-09 15:34:00
user_id_3910,,,2026-03-10 14:19:00
user_id_8596,,,2026-02-17 11:37:00
user_id_4640,,,2026-07-15 09:44:00
user_id_1766,,,2026-08-03 09:59:00
user_id_9665,,,2026-03-15 23:31:00
user_id_1610,,,2026-06-14 21:17:00
user_id_7557,,,2026-02-27 06:47:00
user_id_7848,,,2026-01-30 00:27:00
user_id_3126,,,2026-07-20 18:13:00
user_id_9613,,,2027-01-01 20:00:00
user_id_1241,,,2026-10-21 19:14:00
user_id_8586,,,2026-03-30 15:17:00
user_id_7941,,,2026-02-16 23:52:00
user_id_7973,,,2026-12-04 13:54:00
user_id_4652,,,2026-12-11 12:13:00
user_id_4247,,,2026-07-30 12:00:00
user_id_5243,,,2026-05-26 07:05:00
user_id_8131,,,2026-06-03 13:12:00
user_id_2624,,,2026-07-19 20:17:00
user_id_5713,,,2026-03-02 08:12:00
user_id_8532,,,2026-04-02 23:30:00
user_id_7362,,,2026-09-25 20:30:00
user_id_7884,,,2026-01-17 22:54:00
user_id_4414,,,2026-05-10 04:18:00
user_id_3950,,,2026-11-16 10:52:00
user_id_5545,,,2026-08-08 11:30:00
user_id_6370,,,2026-06-24 12:32:00
user_id_8231,,,2026-01-11 11:53:00
user_id_9100,,,2026-11-15 04:36:00
user_id_4093,,,2026-03-30 18:44:00
user_id_3994,,,2026-01-22 14:18:00
user_id_4591,,,2026-08-16 18:17:00
user_id_5379,,,2026-02-10 00:10:00
user_id_4588,,,2026-05-18 20:27:00
user_id_6492,,,2026-04-12 01:52:00
user_id_7368,,,2026-10-21 17:28:00
user_id_1176,,,2026-03-26 20:55:00
user_id_5807,,,2026-10-02 20:47:00
user_id_4692,,,2026-07-13 13:26:00
user_id_1679,,,2026-05-25 07:29:00
user_id_3833,,,2026-04-13 01:27:00
user_id_5361,,,2026-02-03 05:00:00
user_id_1052,,,2026-11-01 19:14:00
user_id_9206,,,2026-06-23 05:56:00
user_id_6127,,,2026-09-05 08:17:00
user_id_3857,,,2026-02-16 21:46:00
user_id_5563,,,2026-05-01 19:49:00
user_id_1262,,,2026-01-18 03:49:00
user_id_4610,,,2026-09-03 02:04:00
user_id_5290,,,2026-12-11 22:03:00
user_id_5992,,,2026-09-09 05:40:00
user_id_7726,,,2026-02-18 18:14:00
user_id_8464,,,2026-09-17 01:16:00
user_id_5518,,,2026-04-19 23:03:00
user_id_7491,,,2026-07-12 11:34:00
user_id_8395,,,2026-11-30 20:56:00
user_id_7809,,,2026-05-12 22:54:00
user_id_8657,,,2026-03-10 06:56:00
user_id_7352,,,2026-04-30 21:35:00
user_id_2100,,,2026-07-09 06:19:00
user_id_2427,,,2026-09-23 20:52:00
user_id_9479,,,2026-11-09 03:02:00
user_id_1979,,,2026-03-18 23:30:00
user_id_3735,,,2026-10-23 12:00:00
user_id_9470,,,2026-06-07 19:02:00
user_id_8445,,,2026-11-30 02:24:00
user_id_1334,,,2026-05-29 16:23:00
user_id_7748,,,2026-08-08 10:21:00
user_id_1598,,,2026-04-28 07:15:00
user_id_8277,,,2026-05-17 22:37:00
user_id_9342,,,2026-05-06 15:01:00
user_id_7493,,,2026-09-06 05:28:00
user_id_4456,,,2026-01-12 21:30:00
user_id_2970,,,2026-10-08 13:11:00
user_id_4004,,,2026-08-04 22:56:00
user_id_8788,,,2026-10-23 05:17:00
user_id_2331,,,2026-11-11 09:49:00
user_id_9386,,,2026-08-21 01:41:00
user_id_9307,,,2026-08-09 19:13:00
user_id_9231,,,2026-06-19 06:38:00
user_id_1764,,,2026-07-19 00:48:00
