user_notification_preferences_id,user_id,channel_id,preference
211,user_id_7794,210,
312,user_id_3771,714,
528,user_id_9252,775,
494,user_id_7550,25,
760,user_id_6159,818,
653,user_id_6286,869,
23,user_id_5959,585,
142,user_id_3277,849,
121,user_id_8461,61,
269,user_id_7923,784,
717,user_id_2273,559,
886,user_id_7577,700,
741,user_id_8254,31,
417,user_id_7402,211,
192,user_id_2002,781,
72,user_id_7589,782,
167,user_id_1242,486,
197,user_id_3905,786,
858,user_id_9338,860,
631,user_id_2312,690,
581,user_id_9790,953,
164,user_id_9036,123,
576,user_id_3521,429,
720,user_id_6289,989,
905,user_id_4343,792,
824,user_id_4823,475,
93,user_id_8496,756,
937,user_id_1099,547,
434,user_id_6045,626,
269,user_id_3811,415,
602,user_id_5783,162,
31,user_id_4379,736,
713,user_id_9774,704,
977,user_id_4840,996,
906,user_id_2427,691,
790,user_id_4889,981,
335,user_id_5955,704,
656,user_id_1315,116,
290,user_id_6878,794,
580,user_id_7857,461,
28,user_id_7232,614,
184,user_id_2040,632,
349,user_id_9824,450,
195,user_id_1032,377,
265,user_id_9691,167,
982,user_id_5449,238,
575,user_id_9398,761,
795,user_id_5553,675,
806,user_id_5019,832,
56,user_id_3403,802,
893,user_id_2234,478,
743,user_id_9827,115,
425,user_id_8724,515,
881,user_id_1091,396,
650,user_id_7175,977,
657,user_id_5441,680,
228,user_id_2866,352,
905,user_id_9645,594,
885,user_id_1848,106,
389,user_id_5138,904,
791,user_id_3325,923,
871,user_id_9372,96,
337,user_id_1024,205,
963,user_id_8352,794,
48,user_id_2874,488,
56,user_id_3557,423,
646,user_id_5888,44,
457,user_id_1785,209,
32,user_id_9407,645,
553,user_id_1515,531,
656,user_id_2074,466,
164,user_id_7588,154,
542,user_id_3713,616,
969,user_id_7793,564,
179,user_id_5849,853,
307,user_id_9627,335,
771,user_id_1494,677,
872,user_id_1315,469,
151,user_id_9459,520,
676,user_id_6552,975,
579,user_id_4012,657,
663,user_id_8650,647,
283,user_id_2455,78,
430,user_id_9844,3,
434,user_id_2840,737,
615,user_id_7305,880,
113,user_id_3809,820,
484,user_id_7654,402,
136,user_id_1254,571,
34,user_id_9689,137,
861,user_id_1274,246,
640,user_id_2966,468,
59,user_id_3870,945,
432,user_id_4188,689,
923,user_id_5334,288,
276,user_id_4577,334,
823,user_id_7250,646,
667,user_id_4012,658,
260,user_id_6472,535,
697,user_id_8938,922,
