signoff_id,reason,is_external_auth
47,reason_6452,True
554,reason_9760,True
32,reason_5554,True
218,reason_5409,True
598,reason_8098,True
844,reason_8792,False
889,reason_8978,True
861,reason_5468,False
157,reason_5402,True
215,reason_6940,False
625,reason_5428,True
306,reason_6206,True
476,reason_4352,False
772,reason_7187,False
307,reason_9346,True
587,reason_6273,False
656,reason_4649,False
694,reason_1308,False
599,reason_9986,True
144,reason_8081,True
173,reason_5111,False
151,reason_1725,True
993,reason_2474,False
934,reason_9690,True
341,reason_9529,False
626,reason_1287,False
196,reason_6114,True
42,reason_4725,True
578,reason_8209,False
483,reason_5680,False
472,reason_6940,False
979,reason_2862,False
69,reason_9412,False
756,reason_5379,True
207,reason_1060,True
860,reason_6242,False
714,reason_9426,False
109,reason_7885,True
251,reason_4600,True
995,reason_8034,True
755,reason_6907,False
734,reason_5586,True
471,reason_7881,False
300,reason_9459,True
102,reason_8265,True
717,reason_1040,False
413,reason_3978,True
673,reason_2416,False
95,reason_9677,True
480,reason_9861,True
302,reason_3403,False
844,reason_6927,False
577,reason_6118,False
638,reason_9990,True
956,reason_7887,True
242,reason_3187,False
743,reason_3366,True
670,reason_8762,True
462,reason_9234,True
156,reason_3805,True
483,reason_1927,True
726,reason_8019,False
844,reason_5468,False
57,reason_5596,False
458,reason_6291,False
73,reason_8293,False
509,reason_6143,False
208,reason_9598,True
839,reason_9923,True
864,reason_8412,True
474,reason_9424,True
362,reason_2061,False
506,reason_1951,False
379,reason_9354,False
172,reason_7635,True
518,reason_5318,False
421,reason_4364,True
882,reason_3548,True
702,reason_8847,False
82,reason_3472,True
608,reason_7539,True
185,reason_2876,True
648,reason_6467,True
561,reason_9959,True
159,reason_9847,False
868,reason_2610,True
836,reason_1435,False
8,reason_7582,False
733,reason_1600,True
49,reason_8449,True
225,reason_8881,True
604,reason_3358,False
567,reason_4784,True
282,reason_9378,False
678,reason_5977,False
944,reason_1757,True
731,reason_6180,True
431,reason_9041,False
472,reason_9372,False
883,reason_9496,True
