user_id,cat_id
user_id_2694,cat_id_4716
user_id_9585,cat_id_4242
user_id_8985,cat_id_5696
user_id_2385,cat_id_5879
user_id_7575,cat_id_3410
user_id_6469,cat_id_4732
user_id_7997,cat_id_4973
user_id_3128,cat_id_2087
user_id_9353,cat_id_6297
user_id_9509,cat_id_5036
user_id_7636,cat_id_8503
user_id_2694,cat_id_1405
user_id_3402,cat_id_3609
user_id_1315,cat_id_1200
user_id_6914,cat_id_3410
user_id_3761,cat_id_8531
user_id_2553,cat_id_8976
user_id_8291,cat_id_9370
user_id_1868,cat_id_2663
user_id_6469,cat_id_1875
user_id_1989,cat_id_4616
user_id_5692,cat_id_5985
user_id_3175,cat_id_6842
user_id_9165,cat_id_4461
user_id_5692,cat_id_5036
user_id_9729,cat_id_4461
user_id_1504,cat_id_5696
user_id_7575,cat_id_8273
user_id_8484,cat_id_3905
user_id_4406,cat_id_1405
user_id_1868,cat_id_5879
user_id_7997,cat_id_9782
user_id_5971,cat_id_4066
user_id_1989,cat_id_5889
user_id_4439,cat_id_5913
user_id_1489,cat_id_2381
user_id_7129,cat_id_1866
user_id_2859,cat_id_7985
user_id_2859,cat_id_7940
user_id_5456,cat_id_1965
user_id_2979,cat_id_9370
user_id_9677,cat_id_8976
user_id_6914,cat_id_5523
user_id_8484,cat_id_6842
user_id_4401,cat_id_5191
user_id_4503,cat_id_3410
user_id_7318,cat_id_4481
user_id_5692,cat_id_5194
user_id_8663,cat_id_4995
user_id_9585,cat_id_8273
user_id_4045,cat_id_3238
user_id_1207,cat_id_1447
user_id_2095,cat_id_4242
user_id_9804,cat_id_3195
user_id_7880,cat_id_5036
user_id_2694,cat_id_9169
user_id_7997,cat_id_5641
user_id_3175,cat_id_2482
user_id_4401,cat_id_4973
user_id_2982,cat_id_7334
user_id_9070,cat_id_2381
user_id_2688,cat_id_5195
user_id_2694,cat_id_9228
user_id_9866,cat_id_5889
user_id_5456,cat_id_5696
user_id_7575,cat_id_6997
user_id_4494,cat_id_5913
user_id_8476,cat_id_9782
user_id_7099,cat_id_5035
user_id_2553,cat_id_4732
user_id_5456,cat_id_9763
user_id_1906,cat_id_8771
user_id_4439,cat_id_5696
user_id_5735,cat_id_6997
user_id_8739,cat_id_2663
user_id_4503,cat_id_3238
user_id_7575,cat_id_8503
user_id_3360,cat_id_1866
user_id_8739,cat_id_9593
user_id_3290,cat_id_2264
user_id_4401,cat_id_8531
user_id_8291,cat_id_9593
user_id_1481,cat_id_8976
user_id_7372,cat_id_5790
user_id_4957,cat_id_7334
user_id_5692,cat_id_3195
user_id_1906,cat_id_6543
user_id_7793,cat_id_2271
user_id_9165,cat_id_3410
user_id_7636,cat_id_9807
user_id_7054,cat_id_2482
user_id_1868,cat_id_5643
user_id_5735,cat_id_5367
user_id_9581,cat_id_8195
user_id_1868,cat_id_5889
user_id_7575,cat_id_1447
user_id_1642,cat_id_4017
user_id_6885,cat_id_1200
user_id_3360,cat_id_2277
user_id_3527,cat_id_9763
