user_id,prev_loc,curr_loc,updated_at
user_id_1233,,,2026-08-03 19:01:00
user_id_8169,,,2026-07-27 12:57:00
user_id_3520,,,2026-03-28 13:58:00
user_id_9864,,,2026-11-29 16:41:00
user_id_1432,,,2026-07-06 21:18:00
user_id_5641,,,2026-08-04 02:44:00
user_id_6778,,,2026-05-09 06:00:00
user_id_5205,,,2026-07-09 20:20:00
user_id_6572,,,2026-10-25 19:03:00
user_id_3065,,,2026-07-28 15:45:00
user_id_6453,,,2026-08-08 09:31:00
user_id_9166,,,2026-09-08 02:38:00
user_id_6105,,,2026-04-21 16:41:00
user_id_3242,,,2026-09-07 22:54:00
user_id_4140,,,2026-10-24 08:38:00
user_id_2011,,,2026-05-16 06:52:00
user_id_7734,,,2026-01-19 09:33:00
user_id_3915,,,2026-12-23 08:52:00
user_id_5000,,,2026-07-25 03:24:00
user_id_3328,,,2026-08-07 03:01:00
user_id_4010,,,2026-12-18 14:09:00
user_id_2016,,,2026-10-16 23:23:00
user_id_6524,,,2026-12-13 09:25:00
user_id_2706,,,2026-08-24 04:02:00
user_id_8072,,,2026-11-26 23:01:00
user_id_2099,,,2026-06-25 06:06:00
user_id_3828,,,2026-01-20 10:13:00
user_id_4420,,,2026-05-10 18:39:00
user_id_1543,,,2026-08-23 22:38:00
user_id_8792,,,2026-03-25 12:24:00
user_id_3987,,,2026-02-08 02:41:00
user_id_4172,,,2026-12-18 16:48:00
user_id_4788,,,2026-10-30 08:40:00
user_id_2188,,,2026-11-02 14:36:00
user_id_7191,,,2026-11-30 04:09:00
user_id_2842,,,2026-01-02 19:14:00
user_id_1407,,,2026-09-03 11:10:00
user_id_3839,,,2026-08-02 10:55:00
user_id_1911,,,2026-10-14 13:56:00
user_id_3380,,,2026-09-19 16:41:00
user_id_8590,,,2026-08-17 08:17:00
user_id_3979,,,2026-08-21 10:20:00
user_id_5687,,,2026-11-15 02:20:00
user_id_9044,,,2026-10-06 02:56:00
user_id_8289,,,2026-03-28 02:59:00
user_id_3380,,,2026-02-01 21:12:00
user_id_3469,,,2026-03-24 07:42:00
user_id_9495,,,2026-12-23 08:47:00
user_id_1422,,,2026-02-10 14:26:00
user_id_1868,,,2026-05-30 17:26:00
user_id_7866,,,2026-07-08 01:37:00
user_id_6309,,,2026-03-13 08:56:00
user_id_5435,,,2026-09-09 22:00:00
user_id_7831,,,2026-12-21 09:41:00
user_id_7989,,,2026-05-16 23:09:00
user_id_5211,,,2026-06-25 14:23:00
user_id_8553,,,2026-04-22 23:35:00
user_id_8631,,,2026-12-22 17:30:00
user_id_9107,,,2026-10-09 02:16:00
user_id_1230,,,2026-08-15 09:51:00
user_id_5466,,,2026-08-02 19:30:00
user_id_8669,,,2026-08-23 10:27:00
user_id_2415,,,2026-03-15 04:32:00
user_id_9194,,,2026-11-07 23:58:00
user_id_3509,,,2026-10-07 18:09:00
user_id_7535,,,2026-09-25 10:50:00
user_id_3233,,,2026-09-20 13:57:00
user_id_7570,,,2026-12-19 08:04:00
user_id_7187,,,2026-05-12 12:28:00
user_id_1439,,,2026-01-01 19:12:00
user_id_9072,,,2026-02-09 05:33:00
user_id_7950,,,2026-01-18 19:24:00
user_id_7517,,,2026-10-06 01:00:00
user_id_4297,,,2026-02-09 07:53:00
user_id_7576,,,2026-07-13 18:30:00
user_id_7024,,,2026-11-22 11:09:00
user_id_8638,,,2026-10-27 01:12:00
user_id_3018,,,2026-03-31 17:08:00
user_id_6914,,,2026-05-02 20:43:00
user_id_5424,,,2026-02-12 21:50:00
user_id_1295,,,2026-02-14 03:38:00
user_id_2402,,,2026-11-13 02:43:00
user_id_5287,,,2026-10-12 09:33:00
user_id_8208,,,2026-01-03 07:07:00
user_id_8721,,,2026-01-02 07:32:00
user_id_7559,,,2026-09-06 12:23:00
user_id_3794,,,2026-01-22 00:29:00
user_id_2695,,,2026-01-30 00:52:00
user_id_5673,,,2026-01-30 18:14:00
user_id_4685,,,2026-08-07 02:37:00
user_id_7111,,,2026-08-16 04:24:00
user_id_8422,,,2026-12-25 13:41:00
user_id_5811,,,2026-07-31 11:42:00
user_id_1879,,,2026-06-17 11:05:00
user_id_1573,,,2026-10-20 09:03:00
user_id_8683,,,2026-01-27 12:31:00
user_id_6932,,,2026-01-16 08:11:00
user_id_1193,,,2026-07-10 10:09:00
user_id_6701,,,2026-12-07 18:36:00
user_id_8758,,,2026-03-26 06:48:00
