action_id,action_desc,created_date,created_by,last_update_by,last_update_date
1,CREATE_REQUEST,2024-06-21 22:43:23,johnsonjoshua,donaldgarcia,2024-06-21 22:43:23
2,UPDATE_REQUEST,2025-03-03 05:50:10,garzaanthony,robinsonwilliam,2025-03-10 05:50:10
3,CANCEL_REQUEST,2024-12-12 17:53:58,hoffmanjennifer,lrobinson,2024-12-16 17:53:58
4,ASSIGN_VOLUNTEER,2024-06-08 05:17:49,lisa02,jpeterson,2024-06-29 05:17:49
5,CLOSE_REQUEST,2024-05-15 01:18:52,susanrogers,jamesmichael,2024-06-02 01:18:52
6,FLAG_FRAUD,2025-10-17 10:23:08,cassandra07,dudleynicholas,2025-10-18 10:23:08
7,SEND_NOTIFICATION,2024-02-16 06:55:15,maria95,janetwilliams,2024-02-18 06:55:15
8,CREATE_REQUEST,2024-12-05 15:24:52,kendragalloway,michellejames,2024-12-12 15:24:52
9,UPDATE_REQUEST,2026-02-24 01:00:38,xreid,mitchellclark,2026-03-15 01:00:38
10,CANCEL_REQUEST,2024-02-11 05:19:57,jacqueline19,amandasanchez,2024-02-28 05:19:57
11,ASSIGN_VOLUNTEER,2024-11-04 21:12:17,ogray,gabriellecameron,2024-11-26 21:12:17
12,CLOSE_REQUEST,2025-10-13 16:49:57,perezantonio,richard13,2025-10-20 16:49:57
13,FLAG_FRAUD,2025-11-28 19:43:37,jason76,ithomas,2025-12-16 19:43:37
14,SEND_NOTIFICATION,2025-03-08 03:42:04,julieryan,zhurst,2025-04-02 03:42:04
15,CREATE_REQUEST,2024-01-11 02:17:28,jeffrey28,ddavis,2024-02-04 02:17:28
16,UPDATE_REQUEST,2024-09-05 00:31:50,hernandezernest,ycarlson,2024-09-27 00:31:50
17,CANCEL_REQUEST,2025-10-18 12:12:24,dcarlson,tasha01,2025-10-28 12:12:24
18,ASSIGN_VOLUNTEER,2025-03-07 15:47:40,kayla51,ryan70,2025-03-11 15:47:40
19,CLOSE_REQUEST,2024-11-30 11:28:43,teresa28,harrellkenneth,2024-12-30 11:28:43
20,FLAG_FRAUD,2025-06-06 21:09:15,ericfarmer,georgetracy,2025-06-09 21:09:15
21,SEND_NOTIFICATION,2024-05-24 01:48:56,hickmannatasha,john39,2024-06-05 01:48:56
22,CREATE_REQUEST,2024-05-30 05:50:52,millertodd,spenceamanda,2024-06-10 05:50:52
23,UPDATE_REQUEST,2025-06-18 07:35:55,davidalvarez,josephbrennan,2025-07-07 07:35:55
24,CANCEL_REQUEST,2025-02-14 22:03:09,ibrandt,jenniferross,2025-03-11 22:03:09
25,ASSIGN_VOLUNTEER,2024-03-08 11:56:59,samuel87,wrightcaleb,2024-03-31 11:56:59
26,CLOSE_REQUEST,2025-12-14 16:36:03,chapmanjerry,adrianzimmerman,2025-12-31 16:36:03
27,FLAG_FRAUD,2024-07-12 21:51:23,perezrebecca,chad34,2024-08-10 21:51:23
28,SEND_NOTIFICATION,2025-08-11 00:47:04,ilewis,esanchez,2025-08-13 00:47:04
29,CREATE_REQUEST,2025-03-31 10:28:42,glee,agomez,2025-04-26 10:28:42
30,UPDATE_REQUEST,2025-07-15 18:43:51,dshields,brownjessica,2025-08-02 18:43:51
