fraud_request_id,user_id,request_datetime,reason
1,U199,2026-03-11 13:51:53,Abnormal account activity detected
2,U715,2026-03-27 17:50:56,Reported unauthorized access
3,U127,2026-02-21 18:37:40,Multiple failed login attempts
4,U013,2025-11-12 15:14:19,Abnormal account activity detected
5,U689,2025-12-03 17:30:12,Identity verification mismatch
6,U557,2025-11-27 13:10:31,Possible account takeover concern
7,U101,2025-12-25 22:22:58,Possible account takeover concern
8,U560,2025-10-19 07:49:11,Unrecognized transaction reported
9,U550,2026-04-13 23:32:21,Reported unauthorized access
10,U121,2026-02-16 17:15:23,Unrecognized transaction reported
11,U327,2026-02-26 02:10:38,Possible account takeover concern
12,U341,2025-12-26 20:01:57,Duplicate suspicious request flagged
13,U016,2026-03-31 07:57:43,Abnormal account activity detected
14,U275,2026-04-09 05:33:56,Abnormal account activity detected
15,U569,2026-04-06 07:31:19,Identity verification mismatch
16,U800,2025-10-24 19:10:56,Reported unauthorized access
17,U240,2025-12-14 14:16:39,Unrecognized transaction reported
18,U094,2025-10-28 06:55:25,Duplicate suspicious request flagged
19,U604,2025-12-21 07:56:38,Possible account takeover concern
20,U019,2026-04-09 09:23:28,Unrecognized transaction reported
21,U150,2026-01-16 13:31:48,Suspicious payment activity detected
22,U719,2026-02-06 02:55:51,Identity verification mismatch
23,U026,2026-04-03 11:34:15,Abnormal account activity detected
24,U057,2026-01-22 07:12:02,Multiple failed login attempts
25,U601,2026-02-22 04:34:49,Possible account takeover concern
26,U103,2025-12-22 18:11:06,Possible account takeover concern
27,U617,2026-01-12 21:53:15,Reported unauthorized access
28,U374,2026-02-22 04:07:50,Identity verification mismatch
29,U485,2026-04-03 16:30:27,Reported unauthorized access
30,U765,2025-11-18 02:40:26,Reported unauthorized access
31,U624,2025-10-27 13:59:07,Identity verification mismatch
32,U286,2026-02-23 03:29:51,Suspicious payment activity detected
33,U693,2026-04-11 05:29:26,Suspicious payment activity detected
34,U052,2025-12-26 04:46:20,Possible account takeover concern
35,U129,2026-01-03 19:13:18,Multiple failed login attempts
36,U356,2026-03-12 21:11:48,Reported unauthorized access
37,U505,2025-12-09 14:56:47,Abnormal account activity detected
38,U503,2025-12-20 06:49:07,Multiple failed login attempts
39,U098,2025-11-27 08:01:38,Reported unauthorized access
40,U002,2026-02-09 21:01:51,Possible account takeover concern
41,U296,2025-10-23 10:46:42,Multiple failed login attempts
42,U187,2026-03-06 01:45:40,Duplicate suspicious request flagged
43,U554,2025-12-15 06:25:45,Multiple failed login attempts
44,U637,2025-11-27 15:02:18,Multiple failed login attempts
45,U546,2026-01-30 06:11:12,Duplicate suspicious request flagged
46,U734,2025-11-10 13:40:38,Duplicate suspicious request flagged
47,U561,2026-01-05 15:24:25,Abnormal account activity detected
48,U727,2026-01-07 00:22:45,Abnormal account activity detected
49,U422,2026-02-16 23:10:36,Duplicate suspicious request flagged
