,user_id,cat_id,created_date,last_update_date
0,U0001,6.6,2025-03-04 21:19:11,2025-03-05 21:19:11
1,U0001,6.4,2025-03-04 21:19:11,2025-03-05 21:19:11
2,U0002,6.5,2025-12-19 08:25:21,2025-12-22 08:25:21
3,U0003,3.6,2025-04-17 22:10:52,2025-04-19 22:10:52
4,U0004,5.4,2025-06-10 23:41:45,2025-06-20 23:41:45
5,U0004,3.3.8,2025-06-10 23:41:45,2025-06-20 23:41:45
6,U0004,6.6,2025-06-10 23:41:45,2025-06-20 23:41:45
7,U0005,1.3.5,2025-04-30 19:35:45,2025-05-06 19:35:45
8,U0006,6.6,2025-09-27 14:53:47,2025-09-28 14:53:47
9,U0007,5.1.8,2025-11-24 14:40:05,2025-12-03 14:40:05
10,U0007,4.2,2025-11-24 14:40:05,2025-12-03 14:40:05
11,U0007,5.1.4,2025-11-24 14:40:05,2025-12-03 14:40:05
12,U0011,4.3.3,2025-02-12 13:18:54,2025-02-22 13:18:54
13,U0011,2.2,2025-02-12 13:18:54,2025-02-22 13:18:54
14,U0011,1.2,2025-02-12 13:18:54,2025-02-22 13:18:54
15,U0011,5.1.8,2025-02-12 13:18:54,2025-02-22 13:18:54
16,U0012,6.4,2025-04-26 06:47:04,2025-04-28 06:47:04
17,U0012,1.2,2025-04-26 06:47:04,2025-04-28 06:47:04
18,U0012,6.7,2025-04-26 06:47:04,2025-04-28 06:47:04
19,U0014,3.3.13,2025-02-16 15:23:18,2025-02-23 15:23:18
20,U0014,5.1.6,2025-02-16 15:23:18,2025-02-23 15:23:18
21,U0014,6.7,2025-02-16 15:23:18,2025-02-23 15:23:18
22,U0015,3.3.7,2025-07-11 22:26:40,2025-07-20 22:26:40
23,U0015,3.6,2025-07-11 22:26:40,2025-07-20 22:26:40
24,U0015,3.10,2025-07-11 22:26:40,2025-07-20 22:26:40
25,U0017,1.3.1,2025-10-29 04:42:00,2025-11-04 04:42:00
26,U0017,3.3.5,2025-10-29 04:42:00,2025-11-04 04:42:00
27,U0019,3.3.5,2025-09-15 16:08:32,2025-09-24 16:08:32
28,U0019,3.7,2025-09-15 16:08:32,2025-09-24 16:08:32
29,U0019,1.3.3,2025-09-15 16:08:32,2025-09-24 16:08:32
30,U0019,5.1.5,2025-09-15 16:08:32,2025-09-24 16:08:32
31,U0021,5.1.11,2025-10-03 17:06:52,2025-10-08 17:06:52
32,U0021,6.7,2025-10-03 17:06:52,2025-10-08 17:06:52
33,U0021,1.1,2025-10-03 17:06:52,2025-10-08 17:06:52
34,U0022,6.2,2025-06-21 15:55:00,2025-06-25 15:55:00
