,user_id,terms_and_conditions,terms_accepted_at,govt_id_path,path_updated_at,skill_codes,availability,current_page,application_status,is_completed,created_at,last_updated_at
0,U0001,True,2025-03-04 21:19:11,/secure/ids/U0001_id.pdf,2025-03-04 21:19:11,"[""6.6"", ""6.4""]","{""weekdays"": false, ""weekends"": false, ""evenings"": true}",4,APPROVED,True,2025-03-04 21:19:11,2025-03-05 21:19:11
1,U0002,True,2025-12-19 08:25:21,/secure/ids/U0002_id.pdf,2025-12-19 08:25:21,"[""6.5""]","{""weekdays"": true, ""weekends"": false, ""evenings"": true}",4,PENDING,True,2025-12-19 08:25:21,2025-12-22 08:25:21
2,U0003,True,2025-04-17 22:10:52,/secure/ids/U0003_id.pdf,2025-04-17 22:10:52,"[""3.6""]","{""weekdays"": false, ""weekends"": true, ""evenings"": true}",4,UNDER_REVIEW,True,2025-04-17 22:10:52,2025-04-19 22:10:52
3,U0004,True,2025-06-10 23:41:45,/secure/ids/U0004_id.pdf,2025-06-10 23:41:45,"[""5.4"", ""3.3.8"", ""6.6""]","{""weekdays"": false, ""weekends"": true, ""evenings"": false}",4,PENDING,True,2025-06-10 23:41:45,2025-06-20 23:41:45
4,U0005,True,2025-04-30 19:35:45,/secure/ids/U0005_id.pdf,2025-04-30 19:35:45,"[""1.3.5""]","{""weekdays"": true, ""weekends"": true, ""evenings"": true}",4,APPROVED,True,2025-04-30 19:35:45,2025-05-06 19:35:45
5,U0006,True,2025-09-27 14:53:47,/secure/ids/U0006_id.pdf,2025-09-27 14:53:47,"[""6.6""]","{""weekdays"": true, ""weekends"": true, ""evenings"": true}",4,PENDING,True,2025-09-27 14:53:47,2025-09-28 14:53:47
6,U0007,True,2025-11-24 14:40:05,/secure/ids/U0007_id.pdf,2025-11-24 14:40:05,"[""5.1.8"", ""4.2"", ""5.1.4""]","{""weekdays"": false, ""weekends"": true, ""evenings"": true}",4,PENDING,True,2025-11-24 14:40:05,2025-12-03 14:40:05
7,U0011,True,2025-02-12 13:18:54,/secure/ids/U0011_id.pdf,2025-02-12 13:18:54,"[""4.3.3"", ""2.2"", ""1.2"", ""5.1.8""]","{""weekdays"": true, ""weekends"": true, ""evenings"": true}",4,UNDER_REVIEW,True,2025-02-12 13:18:54,2025-02-22 13:18:54
8,U0012,True,2025-04-26 06:47:04,/secure/ids/U0012_id.pdf,2025-04-26 06:47:04,"[""6.4"", ""1.2"", ""6.7""]","{""weekdays"": true, ""weekends"": false, ""evenings"": true}",4,APPROVED,True,2025-04-26 06:47:04,2025-04-28 06:47:04
9,U0014,True,2025-02-16 15:23:18,/secure/ids/U0014_id.pdf,2025-02-16 15:23:18,"[""3.3.13"", ""5.1.6"", ""6.7""]","{""weekdays"": true, ""weekends"": true, ""evenings"": true}",4,UNDER_REVIEW,True,2025-02-16 15:23:18,2025-02-23 15:23:18
10,U0015,True,2025-07-11 22:26:40,/secure/ids/U0015_id.pdf,2025-07-11 22:26:40,"[""3.3.7"", ""3.6"", ""3.10""]","{""weekdays"": false, ""weekends"": true, ""evenings"": true}",4,APPROVED,True,2025-07-11 22:26:40,2025-07-20 22:26:40
11,U0017,True,2025-10-29 04:42:00,/secure/ids/U0017_id.pdf,2025-10-29 04:42:00,"[""1.3.1"", ""3.3.5""]","{""weekdays"": false, ""weekends"": true, ""evenings"": false}",4,PENDING,True,2025-10-29 04:42:00,2025-11-04 04:42:00
12,U0019,True,2025-09-15 16:08:32,/secure/ids/U0019_id.pdf,2025-09-15 16:08:32,"[""3.3.5"", ""3.7"", ""1.3.3"", ""5.1.5""]","{""weekdays"": true, ""weekends"": false, ""evenings"": false}",4,APPROVED,True,2025-09-15 16:08:32,2025-09-24 16:08:32
13,U0021,True,2025-10-03 17:06:52,/secure/ids/U0021_id.pdf,2025-10-03 17:06:52,"[""5.1.11"", ""6.7"", ""1.1""]","{""weekdays"": true, ""weekends"": false, ""evenings"": false}",4,PENDING,True,2025-10-03 17:06:52,2025-10-08 17:06:52
14,U0022,True,2025-06-21 15:55:00,/secure/ids/U0022_id.pdf,2025-06-21 15:55:00,"[""6.2"", ""4.3.5"", ""2.4""]","{""weekdays"": false, ""weekends"": true, ""evenings"": true}",4,APPROVED,True,2025-06-21 15:55:00,2025-06-25 15:55:00
15,U0023,True,2025-03-23 20:53:35,/secure/ids/U0023_id.pdf,2025-03-23 20:53:35,"[""5.5"", ""5.1.11"", ""3.6"", ""3.3.11""]","{""weekdays"": true, ""weekends"": false, ""evenings"": true}",4,APPROVED,True,2025-03-23 20:53:35,2025-03-24 20:53:35
16,U0024,True,2025-09-24 21:59:23,/secure/ids/U0024_id.pdf,2025-09-24 21:59:23,"[""5.1.6"", ""6.1"", ""5.1.4""]","{""weekdays"": false, ""weekends"": true, ""evenings"": false}",4,PENDING,True,2025-09-24 21:59:23,2025-10-03 21:59:23
17,U0025,True,2025-06-27 16:07:23,/secure/ids/U0025_id.pdf,2025-06-27 16:07:23,"[""5.1.6"", ""2.2"", ""4.2""]","{""weekdays"": false, ""weekends"": false, ""evenings"": true}",4,APPROVED,True,2025-06-27 16:07:23,2025-07-02 16:07:23
18,U0026,True,2025-04-12 19:38:58,/secure/ids/U0026_id.pdf,2025-04-12 19:38:58,"[""5.1.3"", ""1.3.5"", ""3.3.7"", ""5.1.1""]","{""weekdays"": true, ""weekends"": false, ""evenings"": false}",4,APPROVED,True,2025-04-12 19:38:58,2025-04-22 19:38:58
19,U0028,True,2025-02-14 03:34:27,/secure/ids/U0028_id.pdf,2025-02-14 03:34:27,"[""3.3.1"", ""6.5"", ""1.3.1"", ""5.1.10""]","{""weekdays"": true, ""weekends"": true, ""evenings"": false}",4,APPROVED,True,2025-02-14 03:34:27,2025-02-24 03:34:27
20,U0029,True,2025-02-26 08:09:29,/secure/ids/U0029_id.pdf,2025-02-26 08:09:29,"[""5.1.3"", ""3.7"", ""2.3""]","{""weekdays"": true, ""weekends"": false, ""evenings"": true}",4,UNDER_REVIEW,True,2025-02-26 08:09:29,2025-02-27 08:09:29
21,U0030,True,2025-06-13 07:10:48,/secure/ids/U0030_id.pdf,2025-06-13 07:10:48,"[""3.2"", ""6.9"", ""3.3.8"", ""5.1.9""]","{""weekdays"": false, ""weekends"": true, ""evenings"": true}",4,APPROVED,True,2025-06-13 07:10:48,2025-06-18 07:10:48
22,U0031,True,2025-08-25 19:38:54,/secure/ids/U0031_id.pdf,2025-08-25 19:38:54,"[""3.6""]","{""weekdays"": true, ""weekends"": true, ""evenings"": false}",4,UNDER_REVIEW,True,2025-08-25 19:38:54,2025-08-30 19:38:54
23,U0032,True,2026-01-05 04:34:50,/secure/ids/U0032_id.pdf,2026-01-05 04:34:50,"[""5.1.8"", ""3.3.12"", ""5.1.5""]","{""weekdays"": false, ""weekends"": true, ""evenings"": false}",4,PENDING,True,2026-01-05 04:34:50,2026-01-14 04:34:50
24,U0034,True,2025-12-23 21:35:45,/secure/ids/U0034_id.pdf,2025-12-23 21:35:45,"[""4.5"", ""3.8""]","{""weekdays"": false, ""weekends"": true, ""evenings"": true}",4,APPROVED,True,2025-12-23 21:35:45,2025-12-28 21:35:45
25,U0035,True,2025-11-14 05:21:22,/secure/ids/U0035_id.pdf,2025-11-14 05:21:22,"[""4.3""]","{""weekdays"": true, ""weekends"": false, ""evenings"": false}",4,PENDING,True,2025-11-14 05:21:22,2025-11-21 05:21:22
26,U0036,True,2025-03-12 17:26:12,/secure/ids/U0036_id.pdf,2025-03-12 17:26:12,"[""3.3"", ""3.3.5""]","{""weekdays"": true, ""weekends"": true, ""evenings"": true}",4,UNDER_REVIEW,True,2025-03-12 17:26:12,2025-03-14 17:26:12
27,U0037,True,2025-06-23 22:02:43,/secure/ids/U0037_id.pdf,2025-06-23 22:02:43,"[""4.3.1"", ""1.2""]","{""weekdays"": true, ""weekends"": false, ""evenings"": true}",4,APPROVED,True,2025-06-23 22:02:43,2025-07-02 22:02:43
28,U0038,True,2025-10-10 19:53:38,/secure/ids/U0038_id.pdf,2025-10-10 19:53:38,"[""5.2"", ""5.3"", ""5.1.6""]","{""weekdays"": true, ""weekends"": false, ""evenings"": false}",4,APPROVED,True,2025-10-10 19:53:38,2025-10-13 19:53:38
29,U0039,True,2025-07-13 21:32:59,/secure/ids/U0039_id.pdf,2025-07-13 21:32:59,"[""6.8""]","{""weekdays"": true, ""weekends"": false, ""evenings"": false}",4,PENDING,True,2025-07-13 21:32:59,2025-07-20 21:32:59
30,U0040,True,2025-03-17 05:47:21,/secure/ids/U0040_id.pdf,2025-03-17 05:47:21,"[""3.8"", ""2.3""]","{""weekdays"": true, ""weekends"": true, ""evenings"": true}",4,APPROVED,True,2025-03-17 05:47:21,2025-03-21 05:47:21
31,U0041,True,2025-10-11 16:30:41,/secure/ids/U0041_id.pdf,2025-10-11 16:30:41,"[""2.2"", ""3.4"", ""3.8"", ""3.3.6""]","{""weekdays"": true, ""weekends"": true, ""evenings"": false}",4,APPROVED,True,2025-10-11 16:30:41,2025-10-13 16:30:41
32,U0042,True,2025-07-08 01:12:19,/secure/ids/U0042_id.pdf,2025-07-08 01:12:19,"[""4.3.1"", ""5.1.11"", ""3.9"", ""6.1""]","{""weekdays"": false, ""weekends"": true, ""evenings"": true}",4,PENDING,True,2025-07-08 01:12:19,2025-07-16 01:12:19
33,U0043,True,2025-08-24 23:02:25,/secure/ids/U0043_id.pdf,2025-08-24 23:02:25,"[""3.3.3""]","{""weekdays"": false, ""weekends"": false, ""evenings"": true}",4,UNDER_REVIEW,True,2025-08-24 23:02:25,2025-09-02 23:02:25
34,U0045,True,2025-03-09 12:53:50,/secure/ids/U0045_id.pdf,2025-03-09 12:53:50,"[""3.7"", ""4.3.4"", ""3.2""]","{""weekdays"": true, ""weekends"": false, ""evenings"": false}",4,APPROVED,True,2025-03-09 12:53:50,2025-03-16 12:53:50
35,U0046,True,2025-04-08 05:47:02,/secure/ids/U0046_id.pdf,2025-04-08 05:47:02,"[""5.1.6"", ""5.4"", ""3.3""]","{""weekdays"": true, ""weekends"": true, ""evenings"": false}",4,UNDER_REVIEW,True,2025-04-08 05:47:02,2025-04-18 05:47:02
36,U0048,True,2025-11-07 21:04:42,/secure/ids/U0048_id.pdf,2025-11-07 21:04:42,"[""3.3.5"", ""6.2"", ""3.3.10"", ""2.1""]","{""weekdays"": false, ""weekends"": false, ""evenings"": true}",4,PENDING,True,2025-11-07 21:04:42,2025-11-14 21:04:42
37,U0049,True,2025-06-26 09:38:50,/secure/ids/U0049_id.pdf,2025-06-26 09:38:50,"[""4.3.4"", ""3.3.5"", ""3.5"", ""5.1.1""]","{""weekdays"": true, ""weekends"": false, ""evenings"": false}",4,UNDER_REVIEW,True,2025-06-26 09:38:50,2025-07-03 09:38:50
38,U0050,True,2025-04-14 09:01:57,/secure/ids/U0050_id.pdf,2025-04-14 09:01:57,"[""5.1.6""]","{""weekdays"": false, ""weekends"": true, ""evenings"": true}",4,PENDING,True,2025-04-14 09:01:57,2025-04-23 09:01:57
39,U0051,True,2025-06-12 03:48:48,/secure/ids/U0051_id.pdf,2025-06-12 03:48:48,"[""6.5"", ""5.1"", ""4.3.3""]","{""weekdays"": true, ""weekends"": true, ""evenings"": true}",4,UNDER_REVIEW,True,2025-06-12 03:48:48,2025-06-20 03:48:48
