item_id,field_id,item_value,item_type
1,1,system,style
2,2,candidate,section
3,3,reduce,left
4,4,happy,respond
5,5,box,water
6,6,born,story
7,7,change,imagine
8,8,today,live
9,9,provide,some
10,10,PM,peace
11,11,behind,item
12,12,majority,bar
13,13,range,challenge
14,14,decide,rise
15,15,position,even
16,16,life,a
17,17,article,special
18,18,travel,either
19,19,artist,mother
20,20,series,statement
21,21,off,many
22,22,benefit,direction
23,23,green,doctor
24,24,agree,gun
25,25,part,treatment
26,26,consider,station
27,27,treat,join
28,28,employee,seek
29,29,bar,with
30,30,reveal,threat
31,31,several,low
32,32,green,difficult
33,33,address,officer
34,34,travel,check
35,35,thought,right
36,36,know,catch
37,37,especially,talk
38,38,be,pressure
39,39,nice,certain
40,40,last,build
41,41,become,hold
42,42,control,light
43,43,choice,reach
44,44,I,low
45,45,series,pick
46,46,meeting,population
47,47,project,head
48,48,charge,few
49,49,daughter,art
50,50,compare,week
51,51,likely,continue
52,52,lawyer,treat
53,53,finally,indicate
54,54,arrive,possible
55,55,administration,determine
56,56,throw,million
57,57,scientist,traditional
58,58,though,her
59,59,scientist,stock
60,60,expert,next
61,61,carry,later
62,62,fast,wonder
63,63,many,song
64,64,night,daughter
65,65,wish,form
66,66,project,writer
67,67,official,light
68,68,eye,trial
69,69,tax,those
70,70,rock,store
71,71,affect,store
72,72,visit,rather
73,73,and,standard
74,74,culture,forget
75,75,should,buy
76,76,president,itself
77,77,analysis,visit
78,78,local,in
79,79,detail,building
80,80,senior,spring
81,81,fish,woman
82,82,claim,leg
83,83,tend,skin
84,84,feeling,friend
85,85,ever,hotel
86,86,sign,almost
87,87,back,land
88,88,today,difficult
89,89,add,able
90,90,range,line
91,91,they,dinner
92,92,history,election
93,93,society,four
94,94,movie,vote
95,95,tonight,social
96,96,level,size
97,97,heart,family
98,98,production,professional
99,99,response,over
100,100,action,across
