meeting_id,meeting_date,start_time,end_time,cohost_id
1,2024-06-30,2024-06-30 18:53:43,2024-06-30 19:53:43,U03281
2,2026-01-06,2026-01-06 03:45:25,2026-01-06 04:45:25,U03621
3,2025-02-10,2025-02-10 05:12:51,2025-02-10 08:12:51,U04950
4,2026-02-09,2026-02-09 10:26:28,2026-02-09 12:26:28,U01445
5,2024-09-22,2024-09-22 20:28:14,2024-09-22 21:28:14,U01435
6,2024-05-27,2024-05-27 09:39:38,2024-05-27 11:39:38,U02202
7,2025-04-19,2025-04-19 18:51:13,2025-04-19 19:51:13,U01985
8,2026-04-05,2026-04-05 08:31:48,2026-04-05 11:31:48,U04979
9,2024-12-29,2024-12-29 22:03:44,2024-12-30 01:03:44,U02188
10,2025-11-21,2025-11-21 04:49:05,2025-11-21 06:49:05,U04419
11,2025-02-25,2025-02-25 03:49:24,2025-02-25 04:49:24,U03815
12,2025-03-10,2025-03-10 02:28:50,2025-03-10 03:28:50,U01028
13,2026-01-27,2026-01-27 15:55:59,2026-01-27 18:55:59,U04460
14,2024-01-26,2024-01-26 13:35:28,2024-01-26 15:35:28,U01038
15,2024-02-03,2024-02-03 02:05:22,2024-02-03 05:05:22,U01157
16,2024-09-12,2024-09-12 02:40:37,2024-09-12 04:40:37,U02759
17,2024-06-05,2024-06-05 12:47:23,2024-06-05 14:47:23,U04559
18,2025-06-08,2025-06-08 17:45:22,2025-06-08 20:45:22,U02942
19,2024-08-20,2024-08-20 11:17:56,2024-08-20 12:17:56,U00440
20,2025-02-05,2025-02-05 23:55:20,2025-02-06 01:55:20,U00895
21,2025-01-25,2025-01-25 21:17:15,2025-01-25 22:17:15,U02456
22,2025-09-21,2025-09-21 03:06:55,2025-09-21 06:06:55,U03570
23,2024-11-20,2024-11-20 14:53:04,2024-11-20 16:53:04,U00788
24,2024-02-27,2024-02-27 18:37:25,2024-02-27 21:37:25,U04794
25,2025-09-14,2025-09-14 07:11:46,2025-09-14 09:11:46,U00737
26,2024-09-17,2024-09-17 12:47:04,2024-09-17 14:47:04,U04806
27,2025-07-21,2025-07-21 05:56:18,2025-07-21 07:56:18,U04415
28,2026-04-13,2026-04-13 15:55:52,2026-04-13 18:55:52,U00606
29,2024-04-08,2024-04-08 14:51:57,2024-04-08 15:51:57,U00875
30,2024-08-06,2024-08-06 05:43:23,2024-08-06 08:43:23,U00634
31,2025-11-29,2025-11-29 15:13:36,2025-11-29 17:13:36,U01190
32,2025-10-27,2025-10-27 05:29:40,2025-10-27 08:29:40,U02216
