notification_id,user_id,type_id,channel_id,message,status,created_at,last_update_date
1,U01957,1,1,Rule like real myself adult until space official.,READ,2025-10-27 03:47:20,2025-10-27 04:37:20
2,U00982,13,2,Rich rate second senior shoulder.,PENDING,2024-09-21 07:43:53,2024-09-21 08:27:53
3,U00308,13,4,Customer indeed body daughter there.,FAILED,2025-09-24 11:30:10,2025-09-24 11:53:10
4,U02832,1,4,Treatment part event good someone position before.,READ,2025-01-10 00:01:33,2025-01-10 00:14:33
5,U02774,13,3,Report energy site.,READ,2026-03-17 09:06:20,2026-03-17 09:35:20
6,U03295,12,3,Child cold six baby.,PENDING,2024-08-03 16:11:52,2024-08-03 16:24:52
7,U02827,13,1,Likely pretty mind green they Republican leader start.,FAILED,2025-05-13 00:25:55,2025-05-13 00:38:55
8,U01331,11,3,Become argue month day exactly picture general.,READ,2024-10-29 22:44:09,2024-10-29 23:06:09
9,U02554,13,4,Continue shoulder wrong fish poor.,READ,2026-01-15 12:10:06,2026-01-15 12:48:06
10,U00354,11,2,Participant wrong perform measure.,SENT,2025-11-20 07:02:22,2025-11-20 07:53:22
11,U01314,11,3,Part how fast effect.,FAILED,2024-03-03 01:17:17,2024-03-03 01:59:17
12,U00445,10,2,Measure statement data.,READ,2026-03-22 15:37:59,2026-03-22 16:26:59
13,U01067,11,1,Measure matter she recognize later forget shake treatment.,SENT,2024-02-22 15:08:53,2024-02-22 15:24:53
14,U04162,12,4,Water feeling cultural industry brother million debate.,FAILED,2024-06-23 15:27:35,2024-06-23 16:04:35
15,U04296,12,4,Energy partner sign.,READ,2024-08-24 12:53:17,2024-08-24 13:42:17
16,U02084,13,1,Act cost practice card pretty entire.,READ,2024-06-27 14:07:15,2024-06-27 14:44:15
17,U04563,1,1,Crime law couple enough tell song.,FAILED,2025-09-04 21:03:32,2025-09-04 21:44:32
18,U00824,1,1,Ever keep real school agency.,PENDING,2025-05-21 20:11:15,2025-05-21 20:45:15
19,U01221,11,2,Case certainly color despite special.,READ,2025-02-25 10:19:39,2025-02-25 10:36:39
20,U02579,1,4,Huge argue city continue station.,FAILED,2024-01-31 05:52:30,2024-01-31 06:25:30
21,U00569,13,1,Conference adult program adult high.,READ,2024-07-29 06:49:24,2024-07-29 07:12:24
22,U01216,1,3,Rise away leader find serious.,READ,2025-07-10 09:53:54,2025-07-10 10:02:54
23,U04980,12,3,Billion area add spring begin.,PENDING,2024-03-20 21:39:51,2024-03-20 22:36:51
24,U03904,12,4,Week feeling entire some sport.,FAILED,2025-11-21 07:58:39,2025-11-21 08:56:39
25,U00426,12,2,Reflect head skill tree without support.,PENDING,2024-02-28 13:49:58,2024-02-28 14:02:58
26,U01251,11,3,Story score feel stuff treat large.,READ,2024-09-16 16:56:53,2024-09-16 17:53:53
27,U04358,10,3,How probably five consider consider.,READ,2024-08-27 12:13:50,2024-08-27 12:19:50
28,U00944,11,4,Little yeah hard door include many factor.,FAILED,2024-08-06 23:09:39,2024-08-06 23:32:39
29,U02500,13,4,Management ability each experience.,PENDING,2024-03-19 23:02:17,2024-03-19 23:20:17
30,U02789,1,3,Mrs discussion oil develop.,SENT,2025-12-06 15:20:17,2025-12-06 16:04:17
31,U03158,13,2,Employee happy there police foreign evidence guess.,PENDING,2024-06-17 05:02:52,2024-06-17 05:31:52
32,U03159,12,4,Last always necessary.,READ,2026-01-03 01:41:37,2026-01-03 01:46:37
33,U02695,13,2,Country put where risk all quickly.,PENDING,2026-01-21 07:29:31,2026-01-21 08:22:31
34,U03131,1,4,Who leader center how tend fine.,READ,2024-02-13 05:21:28,2024-02-13 05:55:28
35,U02505,11,3,Beat who tax religious worry organization today.,PENDING,2025-03-12 07:10:40,2025-03-12 07:52:40
36,U00299,10,1,Record knowledge thank some outside military hundred.,SENT,2026-01-18 02:58:22,2026-01-18 03:22:22
37,U03980,10,2,Participant wife trial.,PENDING,2026-03-03 14:20:10,2026-03-03 14:26:10
38,U04547,11,2,Value increase hundred easy enter capital include sport.,PENDING,2025-05-31 11:34:19,2025-05-31 11:41:19
39,U00516,10,3,Body edge suddenly parent.,READ,2024-12-24 12:53:18,2024-12-24 13:49:18
40,U01479,10,4,Whom add professional none.,FAILED,2025-03-19 06:53:00,2025-03-19 07:42:00
41,U02681,10,3,Town discover stand teacher ahead southern theory traditional.,PENDING,2024-11-30 17:17:32,2024-11-30 17:35:32
42,U04828,13,3,Field let clear also common show onto hundred.,PENDING,2024-12-19 17:10:53,2024-12-19 17:17:53
43,U02499,13,1,Staff from themselves.,READ,2024-02-08 02:13:56,2024-02-08 02:32:56
44,U04343,13,1,Arm maybe increase happen computer.,PENDING,2025-02-21 09:25:10,2025-02-21 10:04:10
45,U03771,12,2,Want arm interest put college.,READ,2024-10-05 13:55:13,2024-10-05 14:40:13
46,U03201,10,2,With price turn happy concern may.,FAILED,2026-02-20 02:30:01,2026-02-20 02:31:01
47,U01123,11,1,Quickly father break.,FAILED,2025-04-08 05:20:18,2025-04-08 05:42:18
