sla_id,sla_hours,sla_description,no_of_cust_impct,last_updated_date
1,96,news,34,2023-05-04 18:44:25
2,88,receive,29,2020-10-18 12:48:15
3,71,form,84,2024-06-03 13:41:39
4,12,official,7,2023-03-03 03:03:59
5,36,poor,34,2023-08-01 03:28:27
6,32,day,53,2020-03-28 22:02:19
7,9,media,100,2026-03-18 17:54:31
8,40,system,86,2026-01-31 01:07:16
9,34,air,13,2021-04-22 15:09:36
10,59,be,67,2023-01-14 21:52:34
11,91,level,72,2025-10-05 01:42:08
12,83,decide,85,2020-08-03 11:16:22
13,35,foot,29,2021-09-20 18:13:20
14,1,senior,80,2025-10-28 13:34:24
15,89,what,81,2020-09-13 03:42:16
16,63,plant,61,2021-03-21 05:48:05
17,46,could,5,2021-07-12 08:26:02
18,99,idea,21,2023-08-19 08:15:12
19,17,everyone,68,2021-09-23 01:44:22
20,99,home,69,2022-12-29 17:29:45
21,86,summer,76,2020-06-23 00:45:50
22,29,resource,87,2022-12-21 16:22:54
23,1,however,81,2021-11-30 23:56:51
24,68,apply,14,2022-09-17 16:16:46
25,74,end,30,2021-07-26 07:04:48
26,17,result,22,2024-12-27 21:26:41
27,96,matter,72,2021-12-02 03:45:16
28,33,note,83,2021-01-02 00:45:30
29,98,mind,21,2022-11-25 05:41:34
30,92,this,75,2022-08-24 01:35:35
31,11,room,17,2024-01-13 13:48:52
32,66,task,32,2023-12-19 01:06:12
33,94,serve,79,2023-05-16 07:18:53
34,6,term,89,2025-08-29 05:59:10
35,10,buy,69,2024-01-11 23:50:47
36,16,necessary,44,2024-01-02 22:22:33
37,5,level,44,2023-08-02 14:38:19
38,70,school,58,2022-03-02 01:59:49
39,13,face,20,2023-09-08 06:18:25
40,71,month,82,2025-04-15 09:43:44
41,63,blood,62,2020-06-06 18:14:20
42,43,wall,41,2026-03-26 23:45:25
43,2,you,90,2023-07-16 00:40:40
44,24,suddenly,61,2023-09-25 21:11:36
45,29,read,73,2022-10-20 14:44:14
46,80,concern,81,2020-06-03 19:06:28
47,32,yourself,23,2022-10-18 01:30:18
48,20,music,71,2024-01-01 20:57:12
49,32,area,14,2024-10-12 23:12:04
50,40,lawyer,27,2022-11-08 21:58:40
51,30,big,36,2025-02-02 19:41:01
52,5,must,74,2020-01-14 16:20:25
53,1,pick,13,2021-01-19 04:48:36
54,41,anything,52,2023-05-23 02:06:06
55,74,sort,82,2024-07-29 00:41:54
56,83,follow,91,2022-12-29 15:17:40
57,14,other,28,2020-08-06 01:19:36
58,49,usually,16,2021-03-31 00:35:35
59,46,because,90,2022-03-11 08:06:31
60,30,according,88,2020-02-17 00:28:55
61,76,successful,47,2021-06-13 17:01:01
62,63,woman,96,2023-11-01 13:33:20
63,78,amount,2,2023-12-14 11:59:16
64,51,much,86,2023-05-26 20:43:59
65,24,arrive,71,2023-07-06 10:56:08
66,74,return,47,2023-09-13 09:03:39
67,82,consumer,38,2020-01-13 04:24:28
68,97,argue,10,2022-08-23 00:23:20
69,30,view,95,2025-09-09 08:36:10
70,31,program,91,2021-08-26 05:26:01
71,9,positive,37,2021-05-10 13:53:28
72,56,general,18,2020-10-23 08:03:23
73,65,fast,90,2024-12-19 17:22:51
74,76,simple,87,2026-03-02 03:26:55
75,96,everything,9,2020-09-11 04:43:47
76,10,teacher,12,2024-12-09 20:53:28
77,21,finish,56,2023-06-24 02:31:54
78,82,central,87,2020-07-08 21:04:16
79,47,simple,35,2023-03-24 13:23:26
80,70,thus,72,2023-05-14 23:44:28
81,18,thank,84,2022-03-23 03:24:13
82,81,just,30,2021-12-08 14:07:01
83,62,prepare,76,2022-10-23 11:05:29
84,11,suddenly,13,2021-07-27 03:18:17
85,62,economy,37,2020-04-16 18:52:21
86,72,third,77,2022-09-15 19:48:22
87,65,point,51,2024-06-10 11:43:49
88,70,popular,71,2021-11-22 04:56:55
89,7,group,15,2026-04-18 08:33:07
90,18,professor,91,2022-05-10 03:01:40
91,31,man,51,2021-12-12 03:15:25
92,92,particularly,66,2023-03-18 07:21:10
93,71,guess,6,2025-01-12 13:11:47
94,72,idea,68,2020-01-28 08:55:29
95,86,anyone,47,2020-10-13 15:26:34
96,67,line,91,2023-11-15 02:29:04
97,26,down,1,2023-02-20 21:23:59
98,44,other,42,2022-08-08 05:40:21
99,46,why,94,2025-08-08 20:31:35
100,17,physical,20,2022-06-11 10:57:03
