language_id,language_name,iso_639_1_code,locale_code,writing_direction,total_speakers_m,is_active,created_at,last_updated_at
1,eat,certainly,inside,quickly,21.63,False,follow,2021-10-02 22:26:02
2,even,man,sometimes,above,64.62,False,or,2025-07-25 18:08:07
3,strong,animal,suggest,scientist,31.69,False,structure,2023-06-20 20:47:38
4,personal,success,magazine,worry,19.2,True,appear,2020-03-01 11:08:42
5,board,keep,five,break,87.48,False,special,2020-10-30 11:26:28
6,recognize,term,win,soldier,32.3,False,prevent,2022-12-11 04:23:09
7,must,college,college,care,47.88,False,about,2025-05-13 08:49:20
8,check,compare,home,ready,67.85,False,chair,2025-06-26 01:54:24
9,feeling,imagine,form,position,2.92,False,course,2025-01-28 04:10:37
10,way,player,generation,wish,81.03,True,nearly,2021-01-20 14:51:42
11,dinner,result,fine,already,75.19,False,place,2020-08-23 03:18:26
12,moment,success,pull,stuff,45.75,True,style,2024-06-05 19:07:03
13,rule,probably,during,remember,18.93,False,fill,2021-12-05 06:52:31
14,threat,attack,several,reflect,34.78,False,page,2022-08-26 01:16:26
15,position,partner,important,after,32.49,True,health,2023-11-05 17:23:31
16,support,dog,fight,produce,36.93,True,class,2024-06-26 21:56:04
17,little,today,instead,score,76.85,False,too,2022-12-26 16:13:48
18,begin,draw,each,business,8.07,False,manage,2022-07-21 09:53:30
19,enter,bar,game,produce,78.05,False,fast,2023-11-21 19:11:03
20,office,nature,south,south,92.0,True,season,2021-12-07 20:23:22
21,coach,century,forward,fish,87.19,True,law,2021-01-11 04:06:33
22,campaign,kid,notice,expert,58.47,True,expert,2023-04-27 22:36:16
23,example,assume,market,particularly,10.93,True,owner,2025-09-02 19:30:34
24,candidate,study,industry,glass,21.69,True,I,2024-03-29 16:39:46
25,natural,large,instead,environmental,12.13,True,mean,2022-03-13 16:34:49
26,Congress,everything,firm,serve,40.33,False,situation,2023-05-30 05:20:59
27,bring,party,how,body,91.24,False,box,2025-05-19 06:09:34
28,behavior,I,moment,share,6.61,False,travel,2020-10-01 23:10:48
29,along,tend,clear,trade,93.86,True,feel,2025-12-30 16:39:24
30,on,along,edge,ago,80.45,True,town,2025-11-05 20:49:19
31,drop,central,begin,office,62.04,False,training,2026-03-23 05:04:22
32,more,value,with,choose,99.76,False,game,2026-02-04 20:11:26
33,surface,section,certainly,father,58.28,False,be,2025-10-17 23:31:00
34,once,so,officer,bill,98.04,True,meeting,2024-01-08 17:16:03
35,eye,tough,here,whatever,57.94,True,whatever,2022-01-26 18:00:46
36,even,green,thank,first,82.19,False,history,2025-02-05 20:42:04
37,ten,thus,Mrs,degree,99.65,True,past,2024-08-12 21:39:02
38,travel,voice,lot,see,71.76,False,type,2022-09-03 03:14:11
39,help,amount,let,need,99.16,True,successful,2022-02-28 01:11:28
40,analysis,politics,senior,including,41.43,True,oil,2020-09-24 13:25:21
41,laugh,season,player,interview,15.55,False,bed,2021-10-12 17:02:10
42,home,eat,economy,lawyer,9.4,True,why,2024-05-12 14:31:32
43,senior,suggest,recognize,company,31.18,True,look,2024-11-28 04:27:05
44,us,six,she,little,48.64,False,leader,2023-05-13 16:59:07
45,much,person,quality,professional,76.25,True,arrive,2024-12-06 12:40:22
46,meet,teach,condition,hear,65.11,True,day,2020-05-24 11:32:31
47,reflect,moment,since,couple,36.9,True,agree,2025-01-04 06:52:32
48,else,Democrat,place,about,11.01,True,executive,2020-02-29 11:05:37
49,character,factor,benefit,parent,62.95,True,base,2022-05-23 20:58:44
50,yard,enter,test,both,82.83,False,none,2022-05-14 09:52:35
51,college,card,election,project,73.28,True,network,2025-11-25 05:38:23
52,strategy,state,hot,investment,73.28,True,experience,2026-01-05 09:41:27
53,set,while,serve,explain,42.83,False,must,2023-08-29 05:32:00
54,different,staff,across,reach,79.66,True,throw,2021-06-02 13:52:36
55,important,long,pull,fear,69.34,False,blue,2021-06-14 07:45:37
56,any,affect,head,interview,28.43,True,feeling,2023-01-08 07:16:31
57,rule,executive,official,very,73.53,True,simple,2022-02-24 05:56:52
58,case,chance,bring,listen,41.55,False,exist,2021-11-01 17:20:15
59,service,study,hit,scientist,55.52,False,name,2021-10-03 21:02:06
60,detail,hope,information,line,67.59,False,least,2022-06-14 10:20:21
61,news,think,into,result,10.6,False,national,2024-08-13 09:56:49
62,economic,smile,eight,Republican,67.53,False,western,2020-08-05 21:25:48
63,success,particular,two,maybe,24.29,False,share,2024-08-09 13:59:00
64,rise,body,recognize,walk,75.47,False,thing,2020-07-31 15:33:57
65,billion,inside,sister,beat,97.03,False,into,2020-08-14 18:50:19
66,consider,opportunity,fly,Mrs,52.24,True,magazine,2020-10-18 04:16:28
67,structure,college,action,require,31.78,False,difficult,2024-05-15 14:45:25
68,play,top,line,close,58.87,False,unit,2024-04-17 15:48:24
69,manager,begin,international,phone,35.25,True,because,2020-05-06 17:19:24
70,use,white,if,season,50.19,False,task,2023-01-29 20:34:03
71,western,crime,piece,none,99.31,False,interesting,2024-08-23 11:16:40
