user_availability_id,user_id,day_of_week,start_time,end_time,last_update_date
1,U04250,SUNDAY,2026-01-08 00:40:36,2026-01-08 02:40:36,2026-01-08 02:40:36
2,U02750,MONDAY,2024-06-03 07:49:23,2024-06-03 08:49:23,2024-06-03 08:49:23
3,U02750,TUESDAY,2024-03-15 03:40:32,2024-03-15 06:40:32,2024-03-15 06:40:32
4,U02750,SUNDAY,2025-04-18 12:06:43,2025-04-18 14:06:43,2025-04-18 14:06:43
5,U03313,TUESDAY,2024-05-13 03:16:48,2024-05-13 05:16:48,2024-05-13 05:16:48
6,U03313,THURSDAY,2025-05-17 04:59:54,2025-05-17 09:59:54,2025-05-17 09:59:54
7,U03313,SUNDAY,2024-01-02 22:01:11,2024-01-03 05:01:11,2024-01-03 05:01:11
8,U01533,THURSDAY,2026-02-26 17:08:31,2026-02-26 19:08:31,2026-02-26 19:08:31
9,U01533,SATURDAY,2024-09-21 09:52:36,2024-09-21 16:52:36,2024-09-21 16:52:36
10,U01208,MONDAY,2026-01-11 00:55:32,2026-01-11 04:55:32,2026-01-11 04:55:32
11,U01208,THURSDAY,2026-02-18 19:28:58,2026-02-18 23:28:58,2026-02-18 23:28:58
12,U01208,SUNDAY,2024-12-28 19:01:18,2024-12-29 00:01:18,2024-12-29 00:01:18
13,U00931,THURSDAY,2025-03-17 10:25:54,2025-03-17 14:25:54,2025-03-17 14:25:54
14,U00931,FRIDAY,2025-10-08 03:00:25,2025-10-08 09:00:25,2025-10-08 09:00:25
15,U00187,SATURDAY,2025-02-20 09:48:27,2025-02-20 12:48:27,2025-02-20 12:48:27
16,U03960,WEDNESDAY,2024-07-23 16:22:52,2024-07-23 21:22:52,2024-07-23 21:22:52
17,U03960,TUESDAY,2025-08-13 12:47:42,2025-08-13 19:47:42,2025-08-13 19:47:42
18,U03991,SUNDAY,2025-05-03 03:46:45,2025-05-03 11:46:45,2025-05-03 11:46:45
19,U03748,TUESDAY,2024-08-10 15:12:23,2024-08-10 22:12:23,2024-08-10 22:12:23
20,U03748,THURSDAY,2025-02-22 23:33:15,2025-02-23 06:33:15,2025-02-23 06:33:15
21,U03748,WEDNESDAY,2026-03-17 19:01:30,2026-03-18 00:01:30,2026-03-18 00:01:30
22,U04833,SATURDAY,2024-10-03 00:13:16,2024-10-03 05:13:16,2024-10-03 05:13:16
23,U01980,FRIDAY,2025-01-18 04:33:50,2025-01-18 07:33:50,2025-01-18 07:33:50
