user_id,prev_loc,curr_loc,updated_at
USR00001,a,military,2025-06-12 10:20:09
USR00002,sometimes,under,2022-02-23 05:31:13
USR00003,poor,food,2024-06-04 12:17:00
USR00004,person,know,2020-11-04 08:04:32
USR00005,process,character,2024-07-14 00:01:34
USR00006,cold,thing,2020-12-11 09:26:05
USR00007,camera,what,2022-07-02 12:43:40
USR00008,goal,tell,2023-09-19 18:51:12
USR00009,far,mother,2025-06-12 01:37:26
USR00010,care,moment,2022-10-23 14:32:00
USR00011,join,certainly,2023-10-02 10:46:42
USR00012,rule,how,2022-07-18 10:23:13
USR00013,resource,rest,2022-08-19 08:27:12
USR00014,direction,middle,2024-03-12 23:13:38
USR00015,collection,fish,2024-09-10 01:46:28
USR00016,wait,what,2022-05-02 22:24:38
USR00017,ten,position,2023-10-29 10:55:06
USR00018,cost,or,2026-03-19 15:31:45
USR00019,moment,thus,2024-01-09 03:49:43
USR00020,while,space,2024-09-16 06:14:31
USR00021,state,food,2020-07-01 18:29:12
USR00022,cut,memory,2025-06-06 13:47:37
USR00023,this,challenge,2020-06-12 20:15:52
USR00024,discussion,free,2023-07-11 13:26:00
USR00025,sound,which,2024-12-04 06:52:44
USR00026,professional,budget,2023-06-13 21:05:50
USR00027,budget,worry,2022-06-18 16:58:33
USR00028,both,everyone,2022-09-03 17:16:53
USR00029,close,avoid,2022-06-28 02:05:14
USR00030,indeed,entire,2022-03-07 04:19:18
USR00031,house,no,2024-08-30 09:00:32
USR00032,new,stay,2022-10-23 05:15:48
USR00033,forward,meeting,2023-05-01 02:52:02
USR00034,our,call,2020-07-03 15:24:06
USR00035,sure,sort,2025-12-04 18:45:46
USR00036,life,late,2025-01-25 02:53:47
USR00037,around,challenge,2023-11-16 20:52:32
USR00038,involve,class,2021-01-31 20:54:44
USR00039,low,really,2022-08-07 17:53:56
USR00040,page,fact,2026-02-15 23:33:58
USR00041,participant,southern,2026-02-19 17:13:56
USR00042,activity,indicate,2025-08-07 03:12:40
USR00043,road,identify,2025-08-26 19:14:25
USR00044,become,throw,2022-04-27 15:32:36
USR00045,enjoy,meeting,2024-04-03 14:42:03
USR00046,democratic,attention,2022-02-19 23:04:39
USR00047,national,stay,2021-08-30 18:20:08
USR00048,large,consumer,2025-11-24 07:26:12
USR00049,inside,customer,2024-04-04 01:12:18
USR00050,garden,decision,2023-03-13 03:51:08
USR00051,fight,short,2020-09-02 07:03:55
USR00052,case,ago,2022-04-24 21:31:33
USR00053,quite,administration,2020-02-22 19:17:36
USR00054,action,country,2021-03-17 01:03:19
USR00055,difficult,capital,2023-08-31 14:47:44
USR00056,form,while,2021-11-10 03:47:05
USR00057,interview,however,2024-05-29 05:18:49
USR00058,great,method,2022-01-22 08:22:55
USR00059,manager,look,2021-10-05 23:58:56
USR00060,produce,next,2023-10-21 10:19:07
USR00061,us,think,2023-03-02 23:04:44
USR00062,structure,difference,2026-01-22 03:12:05
USR00063,party,generation,2020-12-13 14:12:40
USR00064,which,still,2025-06-11 12:38:27
USR00065,executive,them,2021-08-28 14:05:24
USR00066,green,brother,2024-08-02 12:26:26
USR00067,network,decision,2022-11-05 05:38:51
USR00068,young,environmental,2025-11-12 13:14:27
USR00069,believe,respond,2021-10-11 06:27:51
USR00070,enjoy,tell,2022-09-09 09:20:49
USR00071,reach,trouble,2025-01-23 06:53:25
USR00072,people,full,2024-08-21 11:34:29
USR00073,put,free,2023-07-03 12:00:25
USR00074,general,voice,2023-10-09 08:43:19
USR00075,executive,indeed,2020-05-31 06:30:26
USR00076,staff,rest,2021-08-10 12:38:13
USR00077,wear,top,2022-01-27 21:39:10
USR00078,create,character,2025-09-24 23:33:23
USR00079,guy,player,2021-03-21 02:26:36
USR00080,hundred,item,2024-07-25 04:08:41
USR00081,find,size,2024-04-05 15:47:53
USR00082,mind,federal,2024-11-25 06:18:53
USR00083,take,turn,2025-06-14 22:02:06
USR00084,analysis,process,2022-02-05 11:20:00
USR00085,outside,everything,2022-06-29 09:48:26
USR00086,phone,fall,2024-11-22 07:41:27
USR00087,by,no,2021-06-19 15:14:40
USR00088,carry,little,2023-09-24 19:12:17
USR00089,tonight,firm,2022-09-12 23:17:03
USR00090,almost,Republican,2024-09-22 04:00:20
USR00091,point,live,2025-09-03 09:27:29
USR00092,him,near,2021-09-15 23:13:39
USR00093,process,outside,2020-06-23 18:20:20
USR00094,behavior,set,2022-03-27 02:38:28
USR00095,pressure,modern,2024-06-19 05:24:20
USR00096,you,history,2020-12-20 09:46:45
USR00097,through,price,2020-11-20 06:51:02
USR00098,we,call,2023-05-13 09:28:23
USR00099,this,already,2025-05-29 12:34:38
USR00100,collection,news,2021-12-07 01:13:40
