user_notification_preferences_id,user_id,channel_id,preference
1,U04012,1,DISABLED
2,U04012,2,DISABLED
3,U04012,3,DISABLED
4,U04012,4,DISABLED
5,U02368,1,ENABLED
6,U02368,2,DISABLED
7,U02368,3,ENABLED
8,U02368,4,ENABLED
9,U02487,1,DISABLED
10,U02487,2,DISABLED
11,U02487,3,DISABLED
12,U02487,4,DISABLED
13,U01241,1,DISABLED
14,U01241,2,ENABLED
15,U01241,3,DISABLED
16,U01241,4,ENABLED
17,U03286,1,DISABLED
18,U03286,2,ENABLED
19,U03286,3,ENABLED
20,U03286,4,DISABLED
21,U04265,1,DISABLED
22,U04265,2,DISABLED
23,U04265,3,ENABLED
24,U04265,4,ENABLED
25,U03218,1,ENABLED
26,U03218,2,ENABLED
27,U03218,3,ENABLED
28,U03218,4,DISABLED
29,U03129,1,ENABLED
30,U03129,2,DISABLED
31,U03129,3,DISABLED
32,U03129,4,DISABLED
33,U01768,1,ENABLED
34,U01768,2,DISABLED
35,U01768,3,DISABLED
36,U01768,4,DISABLED
37,U02401,1,DISABLED
38,U02401,2,ENABLED
39,U02401,3,ENABLED
40,U02401,4,DISABLED
41,U02240,1,ENABLED
42,U02240,2,ENABLED
43,U02240,3,DISABLED
44,U02240,4,ENABLED
45,U04690,1,ENABLED
46,U04690,2,DISABLED
47,U04690,3,DISABLED
48,U04690,4,ENABLED
49,U03915,1,ENABLED
50,U03915,2,DISABLED
51,U03915,3,DISABLED
52,U03915,4,ENABLED
53,U03495,1,ENABLED
54,U03495,2,DISABLED
55,U03495,3,ENABLED
56,U03495,4,ENABLED
57,U02676,1,DISABLED
58,U02676,2,DISABLED
59,U02676,3,DISABLED
60,U02676,4,ENABLED
61,U02060,1,DISABLED
62,U02060,2,DISABLED
63,U02060,3,DISABLED
64,U02060,4,ENABLED
65,U03512,1,ENABLED
66,U03512,2,ENABLED
67,U03512,3,ENABLED
68,U03512,4,ENABLED
69,U00016,1,DISABLED
70,U00016,2,DISABLED
71,U00016,3,ENABLED
72,U00016,4,ENABLED
73,U03954,1,ENABLED
74,U03954,2,ENABLED
75,U03954,3,DISABLED
76,U03954,4,DISABLED
77,U01533,1,DISABLED
78,U01533,2,DISABLED
79,U01533,3,ENABLED
80,U01533,4,DISABLED
81,U01574,1,ENABLED
82,U01574,2,ENABLED
83,U01574,3,DISABLED
84,U01574,4,DISABLED
85,U03130,1,ENABLED
86,U03130,2,ENABLED
87,U03130,3,DISABLED
88,U03130,4,ENABLED
89,U02309,1,ENABLED
90,U02309,2,DISABLED
91,U02309,3,DISABLED
92,U02309,4,DISABLED
93,U03569,1,ENABLED
94,U03569,2,ENABLED
95,U03569,3,DISABLED
96,U03569,4,DISABLED
97,U00801,1,DISABLED
98,U00801,2,DISABLED
99,U00801,3,ENABLED
100,U00801,4,DISABLED
101,U00760,1,ENABLED
102,U00760,2,DISABLED
103,U00760,3,ENABLED
104,U00760,4,DISABLED
105,U00781,1,DISABLED
106,U00781,2,ENABLED
107,U00781,3,ENABLED
108,U00781,4,DISABLED
109,U03692,1,DISABLED
110,U03692,2,DISABLED
111,U03692,3,DISABLED
112,U03692,4,ENABLED
113,U02369,1,DISABLED
114,U02369,2,ENABLED
115,U02369,3,DISABLED
116,U02369,4,ENABLED
117,U01798,1,ENABLED
118,U01798,2,DISABLED
119,U01798,3,DISABLED
120,U01798,4,DISABLED
121,U00894,1,ENABLED
122,U00894,2,ENABLED
123,U00894,3,DISABLED
124,U00894,4,DISABLED
