user_id,cat_id,created_date,last_update_date
USR00001,1,2021-03-06 01:57:04,2021-07-14 02:03:20
USR00002,2,2025-10-10 00:52:02,2021-05-31 21:51:39
USR00003,3,2025-01-13 09:27:05,2020-09-12 01:03:56
USR00004,4,2025-09-05 17:27:33,2023-06-21 00:59:28
USR00005,5,2024-04-26 05:27:15,2022-03-24 23:56:56
USR00006,6,2023-09-17 04:51:08,2023-11-13 10:19:08
USR00007,7,2023-10-23 14:20:32,2024-03-16 14:50:38
USR00008,8,2023-07-29 02:41:15,2023-05-08 15:47:05
USR00009,9,2023-01-24 12:15:32,2024-07-13 01:06:34
USR00010,10,2025-11-09 07:27:05,2025-11-15 12:40:15
USR00011,11,2024-02-16 11:41:03,2021-05-20 08:06:45
USR00012,12,2023-07-02 02:48:49,2024-02-24 04:46:58
USR00013,13,2025-12-07 08:07:15,2021-07-27 10:57:46
USR00014,14,2022-02-06 09:49:02,2023-06-17 18:57:09
USR00015,15,2020-07-22 05:20:43,2021-04-21 18:43:32
USR00016,16,2024-08-27 00:02:15,2024-08-30 23:40:00
USR00017,17,2022-11-19 18:58:06,2024-09-19 02:39:25
USR00018,18,2022-09-10 15:50:59,2023-03-30 14:57:25
USR00019,19,2025-09-08 02:47:27,2024-08-22 22:35:13
USR00020,20,2023-07-26 04:03:01,2022-12-18 01:13:57
USR00021,21,2022-07-27 01:42:32,2025-02-07 01:06:57
USR00022,22,2024-09-03 11:36:49,2021-12-26 04:36:03
USR00023,23,2022-10-20 01:09:43,2026-03-28 04:35:46
USR00024,24,2022-11-23 00:37:26,2020-09-05 14:40:01
USR00025,25,2023-12-28 23:23:32,2023-04-07 08:54:20
USR00026,26,2020-11-13 01:32:49,2020-09-06 01:43:01
USR00027,27,2023-07-14 03:00:16,2020-06-12 16:52:57
USR00028,28,2021-03-19 22:52:33,2025-03-02 05:55:28
USR00029,29,2023-05-28 22:00:01,2020-08-26 04:14:40
USR00030,30,2022-07-01 18:13:48,2025-06-08 17:47:24
USR00031,31,2020-09-23 10:42:54,2021-04-08 16:21:10
USR00032,32,2021-09-10 11:32:57,2024-10-20 19:49:54
USR00033,33,2020-11-08 04:26:26,2025-06-12 04:08:24
USR00034,34,2026-03-22 13:11:00,2024-04-26 01:59:45
USR00035,35,2022-03-04 10:35:14,2023-05-15 16:12:13
USR00036,36,2024-04-21 01:49:47,2025-06-20 07:03:47
USR00037,37,2025-10-03 10:43:38,2024-02-25 22:08:12
USR00038,38,2024-04-10 06:02:48,2021-04-24 16:16:32
USR00039,39,2024-10-20 17:12:59,2021-09-22 17:08:19
USR00040,40,2023-03-20 18:47:57,2024-08-11 10:53:25
USR00041,41,2022-11-29 01:01:55,2025-02-23 02:42:42
USR00042,42,2021-07-05 08:12:13,2025-08-30 08:04:19
USR00043,43,2024-03-28 16:45:48,2021-07-09 02:29:12
USR00044,44,2023-04-23 08:09:37,2024-12-03 16:52:25
USR00045,45,2024-12-17 05:47:16,2024-02-27 13:07:58
USR00046,46,2025-01-13 13:16:19,2022-12-19 17:00:40
USR00047,47,2022-04-28 14:01:47,2024-05-30 13:38:28
USR00048,48,2023-11-26 19:22:35,2023-02-27 16:54:08
USR00049,49,2024-06-23 09:26:51,2022-12-07 00:30:34
USR00050,50,2025-06-22 00:23:26,2024-04-05 13:14:35
USR00051,51,2024-02-10 02:43:15,2024-05-06 11:08:55
USR00052,52,2020-03-29 04:49:54,2024-04-06 17:50:29
USR00053,53,2022-12-20 00:32:52,2022-10-11 03:42:51
USR00054,54,2024-02-07 18:23:45,2024-09-02 05:54:29
USR00055,55,2020-03-22 22:45:54,2024-03-24 07:12:12
USR00056,56,2022-12-15 02:33:04,2021-02-04 09:26:42
USR00057,57,2023-07-02 11:51:57,2020-07-03 21:55:46
USR00058,58,2026-04-10 21:43:40,2025-05-23 23:28:48
