user_id,prev_loc,curr_loc,updated_at
U04260,POINT(-78.677532 30.975621),POINT(-120.784932 31.425867),2024-08-13 14:16:04
U03636,POINT(-106.849724 35.423738),POINT(-108.995604 33.273140),2025-09-13 19:38:06
U00058,POINT(-111.005356 34.999600),POINT(-122.106248 33.631187),2025-01-11 18:43:22
U02277,POINT(-95.758360 44.504122),POINT(-84.315461 45.313326),2024-12-23 11:31:09
U04018,POINT(-105.449007 27.258398),POINT(-97.434812 35.584154),2025-07-27 12:45:43
U00655,POINT(-97.196208 44.674123),POINT(-87.942970 27.730891),2025-07-03 06:03:25
U02149,POINT(-68.162236 36.399615),POINT(-101.098284 31.286057),2026-01-22 12:26:58
U03216,POINT(-105.880423 42.711774),POINT(-68.596480 46.642519),2025-07-09 05:55:50
U03112,POINT(-72.218303 28.402094),POINT(-123.389884 30.684406),2024-11-04 16:28:20
U01280,POINT(-98.452716 42.852137),POINT(-67.944156 37.211814),2026-01-13 23:27:32
U00353,POINT(-74.533636 26.907426),POINT(-96.103531 38.332666),2025-05-07 23:45:35
U03179,POINT(-101.920447 47.665776),POINT(-102.771030 44.592593),2024-11-03 08:50:33
U02304,POINT(-74.112364 48.164589),POINT(-111.340492 35.240003),2024-01-17 23:06:24
U04504,POINT(-117.390440 31.688998),POINT(-106.480193 26.527010),2025-03-17 18:22:55
U02769,POINT(-71.954393 41.839935),POINT(-100.338506 25.716255),2025-12-30 13:21:19
U03623,POINT(-120.212291 29.821560),POINT(-108.317554 37.837550),2026-01-19 14:15:57
U03777,POINT(-101.151203 26.076060),POINT(-104.612717 38.239771),2024-05-01 17:34:18
U04764,POINT(-117.441839 38.902689),POINT(-68.618655 39.311190),2025-12-29 00:14:27
U04524,POINT(-90.025435 39.909714),POINT(-82.935895 43.937340),2024-03-06 20:37:56
U04456,POINT(-91.274880 35.556156),POINT(-89.846885 28.231908),2024-05-31 03:21:13
U02228,POINT(-99.746338 27.845164),POINT(-115.934154 33.539174),2024-01-14 22:42:09
U03848,POINT(-72.441975 34.554755),POINT(-95.634395 31.076080),2024-08-15 18:01:24
U01315,POINT(-103.134209 30.248138),POINT(-103.867949 47.676242),2025-08-31 02:26:27
U04463,POINT(-118.360142 29.292435),POINT(-77.935577 30.658260),2025-11-24 07:13:47
U02463,POINT(-90.605051 34.488134),POINT(-120.313308 40.482548),2024-07-30 16:34:16
U03517,POINT(-84.285548 26.641395),POINT(-117.214999 26.840134),2024-02-06 05:24:21
U01598,POINT(-117.425129 34.083495),POINT(-90.830980 46.093712),2025-10-06 23:00:25
U02600,POINT(-105.387764 29.238475),POINT(-123.503893 40.921881),2024-04-25 22:33:20
U04048,POINT(-103.391234 41.251174),POINT(-106.310175 38.828020),2026-01-06 02:36:57
U04181,POINT(-83.269482 28.857933),POINT(-97.905613 47.482456),2024-08-27 14:47:40
U02666,POINT(-73.859986 31.028716),POINT(-118.430171 28.536140),2025-12-05 08:49:12
U03292,POINT(-96.571096 34.112180),POINT(-90.406245 48.584634),2026-02-26 04:37:11
U04756,POINT(-83.435301 43.560889),POINT(-86.089344 48.709543),2025-07-11 15:41:44
U04943,POINT(-104.061777 32.918009),POINT(-109.694407 34.978536),2025-12-03 20:21:44
U03575,POINT(-107.694946 27.432430),POINT(-81.627612 28.290415),2024-04-21 03:50:10
U01953,POINT(-90.376773 25.379816),POINT(-75.096766 40.726655),2024-03-09 02:27:22
U01222,POINT(-81.687335 28.066836),POINT(-89.145040 45.180024),2025-07-30 19:24:20
U02142,POINT(-93.091555 48.018373),POINT(-72.294670 25.187084),2024-05-16 19:02:56
U02687,POINT(-87.324210 29.756409),POINT(-67.895481 27.962235),2026-02-25 10:43:45
U03038,POINT(-111.499061 43.316217),POINT(-83.887196 31.636201),2026-02-05 08:04:55
U00144,POINT(-101.980384 26.009997),POINT(-106.188625 47.017505),2025-02-23 14:16:16
U01673,POINT(-104.922424 40.647408),POINT(-97.931840 41.613673),2025-12-20 00:05:45
U02594,POINT(-79.745754 44.373941),POINT(-74.411768 34.423636),2024-08-25 04:41:51
U02648,POINT(-87.605089 33.059955),POINT(-106.270896 43.835817),2024-03-02 20:46:29
U02112,POINT(-77.165578 30.861309),POINT(-78.954282 37.011441),2024-10-17 21:37:56
U00171,POINT(-90.867273 33.419355),POINT(-123.408956 34.544510),2024-05-25 06:09:06
U02498,POINT(-122.976085 31.264764),POINT(-69.570369 39.599891),2025-07-02 06:24:03
U00545,POINT(-103.599006 37.516476),POINT(-75.136137 29.526353),2025-08-03 14:10:18
U01968,POINT(-69.079758 38.026102),POINT(-115.971694 43.002635),2025-03-14 15:12:51
U04163,POINT(-74.455440 30.028880),POINT(-85.037909 34.284056),2024-06-11 07:06:23
